Source: CPS Annual Social and Economic (March) Supplement 201603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th Grade No Diploma,399216,18521,1061,5600,3644,5618,0,0,1195,2967,33719,29865,0,0,8618,3502,0,0,6877,17823,0,6264,3995,15084,0,10990,6039,0,897,3105,0,5168,0,40739,18682,202,11756,0,1265,16786,2146,21495,0,17925,54763,0,0,21071,0,1834,0,0
High school graduate-high school diploma,4952685,176845,3360,25926,64256,264596,39754,36119,28078,39799,392933,378129,6310,0,210524,107296,11762,19506,57024,186390,4516,234258,45040,207282,18335,140931,76497,1775,8477,19415,922,162885,5087,300342,229138,2705,227812,34933,8026,183239,14080,177602,1098,139462,348160,3997,839,220002,28047,5491,53233,452
Some College But No Degree,2901905,109226,3062,34464,31263,250690,31295,24173,14310,18925,230534,204679,3999,2293,131266,22367,6949,15430,28762,89333,2666,100688,50461,100541,29911,71280,55112,737,9490,18787,569,81956,6318,226302,141651,2143,64845,25481,5288,89634,5906,67855,1766,75567,229895,4037,197,118284,20261,8068,33189,0
Assc degree-occupation/vocation,425281,14431,580,1652,672,21004,2095,3640,2360,2061,28877,45340,0,0,12121,0,1418,0,2979,18193,0,14614,8030,10114,9089,18203,15182,0,1758,6433,0,6080,463,43522,34998,218,3516,4112,0,18861,959,14816,244,9014,29116,0,0,11714,3459,872,2234,237
Assc degree-academic program,537929,21672,280,5181,4062,59537,0,5736,1654,4427,53684,39970,2304,0,21345,6478,0,1240,6206,7377,0,18589,5275,7556,2156,13683,8679,0,1350,3944,433,26911,2274,53585,12065,0,17760,4113,940,17189,0,13811,290,13469,40791,0,0,16124,8968,1152,4973,696
"Bachelor's degree (BA,AB,BS)",1683994,20528,787,17130,10990,111624,4388,8238,8696,15555,112894,129363,2720,474,93899,15705,1418,3881,4976,46622,0,95280,28168,31242,31234,24559,26736,720,3817,12947,2515,60651,3145,179296,104114,2325,44617,11124,3058,59803,2517,30703,2158,34944,175195,1165,246,70936,19024,1726,9831,310
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",654090,14702,949,3730,4106,93185,4738,9041,1931,10085,48418,29619,0,0,28463,11831,1416,2187,1866,12336,0,49220,16785,14110,14650,12291,8498,0,0,0,837,20865,837,37893,22443,333,21471,7734,1858,25112,861,11349,0,12930,55334,0,0,29520,7693,289,2574,0
"Professional school degree (MD,DDS,DVM,L",69183,1967,0,1244,0,2516,0,0,0,2316,6038,3598,0,0,7187,0,0,0,0,803,0,4420,0,4570,0,612,0,0,0,2446,0,6086,0,3967,4435,0,0,0,1117,0,576,0,0,3427,7368,0,0,0,4490,0,0,0
"Doctorate degree (PHD,EDD)",108320,4405,0,1283,2442,7452,2277,0,394,2240,6460,3593,0,0,13024,3246,1056,1072,0,3876,0,13712,5667,0,1752,733,0,0,0,0,0,4042,0,3539,2524,0,4935,0,0,0,0,0,0,3139,13257,0,0,1921,0,279,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,8441174,44925,24004,93448,27418,2720734,84754,66585,16458,15657,223967,221209,246718,12109,404840,58549,31855,44910,43649,51455,12937,154716,224521,145117,82257,34560,47483,3895,18653,105456,17513,480516,11788,746638,111912,5797,125359,29121,64896,194631,19686,37353,2550,78452,639523,24662,3063,228340,274603,3270,77297,1365
Children,1511718,10385,5744,20500,5229,438383,19616,10221,4638,1018,30750,25662,27491,1974,100156,4359,4942,8649,8322,12665,2310,31256,56665,28590,21432,10606,7283,617,3003,22637,4240,79923,2398,139109,22282,879,17210,3550,6912,31963,3868,9167,293,13487,133579,5511,164,44758,49034,0,18095,193
Less Than 1st Grade,63656,0,284,8423,0,16192,0,0,0,0,1781,2130,400,669,0,0,1231,1138,1536,0,0,2085,3514,0,6823,0,0,0,1967,0,0,0,516,2819,0,0,2428,0,0,0,0,0,0,0,2513,0,0,7207,0,0,0,0
"1st,2nd,3rd,or 4th grade",39692,0,0,1793,0,11717,0,0,0,248,0,2021,2206,0,2253,0,0,0,5820,0,0,0,0,1965,0,0,0,0,0,1145,0,2666,0,6921,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,74178,0,530,4610,1252,20557,3606,0,0,0,2231,4453,3477,0,0,0,0,0,0,1371,0,0,2361,0,0,0,0,0,0,0,0,0,0,19083,0,0,0,0,1320,4733,0,0,0,0,2235,0,0,2359,0,0,0,0
7th and 8th grade,108794,1001,458,3300,0,23033,0,0,0,0,0,3890,2421,1014,5974,3781,1536,0,0,0,654,5763,6098,4934,0,0,4312,0,732,0,896,4738,0,11489,0,381,0,0,0,0,0,0,0,0,11719,0,270,2866,5645,0,1889,0
9th Grade,133483,0,0,0,0,51660,1888,0,472,237,5820,7862,5227,0,8063,0,2747,925,1183,0,0,4439,1398,2464,0,1460,0,276,0,0,535,3424,0,9188,0,0,2475,0,0,2169,0,0,0,6871,0,0,0,1641,11059,0,0,0
10th Grade,163757,0,216,1366,601,54114,0,1259,0,0,2169,1878,4969,407,7178,2010,1374,843,0,3232,0,6763,4231,0,0,1655,0,0,730,1592,0,1471,360,13050,8619,251,2082,2485,1099,8133,588,1418,0,1941,16564,0,0,4385,2504,336,1884,0
11th Grade,157230,0,1081,0,0,58224,1821,2061,0,0,1896,5130,1924,469,3196,0,1098,963,4030,1682,0,4241,2107,0,6375,4172,0,0,803,3253,492,6164,0,12666,5742,251,1503,978,878,7620,0,0,0,0,5988,0,270,5811,4341,0,0,0
12th Grade No Diploma,104149,1244,309,0,0,43800,0,0,0,311,1739,0,3469,0,0,1415,0,1567,0,843,0,4931,1293,3819,1146,0,0,0,0,0,0,0,0,14374,1901,569,1586,0,1100,2501,0,1377,0,0,8596,1017,0,1595,3647,0,0,0
High school graduate-high school diploma,1126153,9681,4886,3610,5490,337245,27653,7873,1535,1382,45708,42695,63705,1280,43566,15659,2995,3761,4904,5443,5016,22358,39070,8552,3559,4449,1877,1036,3037,26353,1084,36632,2243,111240,16514,854,15200,0,11397,27717,2636,8366,0,15613,57640,5740,0,26867,35438,423,5953,218
Some College But No Degree,948212,2563,4056,6737,1501,387618,6791,5904,641,647,33075,23013,30982,2039,28715,6366,1786,6374,11654,3899,1957,11140,17773,8650,11727,9652,5646,782,592,14170,1173,30228,2474,70675,12382,742,14860,7890,11728,17408,610,4253,1257,3123,55695,3091,0,30759,25607,452,7355,0
Assc degree-occupation/vocation,149926,0,1573,0,0,45506,2856,0,550,0,4070,2355,14124,0,5232,0,0,0,0,1323,0,8494,0,0,0,509,0,0,1300,5915,0,11311,441,6718,0,0,1697,2629,0,5008,0,0,399,0,17379,830,192,3181,6154,0,0,180
Assc degree-academic program,234370,0,1027,0,0,81549,0,3252,313,154,14517,7041,16818,814,8551,3434,0,0,0,0,0,5160,0,0,1985,0,0,725,805,4256,0,2610,403,24223,7327,0,1849,0,0,0,2666,1014,0,0,18864,4592,267,7145,9340,0,3669,0
"Bachelor's degree (BA,AB,BS)",1991962,11632,1805,30104,6310,725812,16181,16751,3659,4963,40654,62183,54784,2448,104031,12723,4544,18350,6200,8141,661,26195,44637,27699,12280,2057,10445,459,2981,19258,6172,140727,1335,192071,14287,1157,16319,7001,14501,41423,4296,1442,601,12175,141452,1945,906,42838,63261,941,9016,149
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1110552,5626,754,8037,5895,289733,1979,13493,2538,3233,17169,28909,7410,995,54005,5045,5270,1060,0,10758,678,17083,34268,42231,14650,0,3473,0,2703,1849,2427,125313,782,73912,17559,499,30191,2502,8272,25146,3906,7525,0,17403,123981,1936,496,22987,49997,418,16014,442
"Professional school degree (MD,DDS,DVM,L",165911,0,1037,3384,1140,58513,0,0,513,2117,4811,0,5188,0,20111,1785,0,1280,0,2098,707,0,3372,5284,0,0,1783,0,0,2973,0,7703,415,14046,1405,0,1997,1149,4243,0,0,0,0,1671,5963,0,0,6615,3908,700,0,0
"Doctorate degree (PHD,EDD)",357431,2793,244,1584,0,77078,2363,5771,1599,1347,17577,1987,2123,0,13809,1972,4332,0,0,0,954,4808,7734,10929,2280,0,12664,0,0,2055,494,27606,421,25054,3894,214,15962,0,3446,20810,1116,2791,0,6168,37355,0,498,17326,4668,0,13422,183
 -> Total -> Total Female,156007743,2420190,253061,3226818,1458865,18559073,2585763,1779691,477577,342463,10137837,5098599,453173,808255,6376097,3274123,1536909,1355278,2161978,2297506,653769,2924165,3404066,4853376,2648819,1502774,2988701,479766,914791,1333164,645826,4470835,855928,9774767,4916356,334175,5697387,1636841,1931784,6282315,518356,2463665,364684,3294218,13502625,1436671,308426,4098963,3265762,894578,2734311,272623
 -> Total -> Total Female -> Total Hispanic,26486502,72460,17159,1174146,96906,6808944,509632,256856,49566,35419,2580654,521070,26017,93157,989634,224814,108823,168760,54837,103142,14539,237270,369200,196403,123458,34735,114547,11449,104203,330817,17503,758802,428003,1655438,494285,10151,232743,172940,277074,435877,67198,127922,10782,195629,4927138,177952,3119,375299,411500,10887,242044,25599
 -> Total -> Total Female -> Total Hispanic -> Total White Only,24911012,68978,16205,1164039,89561,6520549,499976,199323,42821,26643,2477981,479208,14229,90759,914901,216190,107315,155476,51347,87898,10762,212270,327301,191694,121614,30197,106779,11449,101644,312323,15167,700224,419399,1281465,464926,9250,213265,167475,276034,333099,65230,111002,9900,188571,4824793,176192,3119,342883,395441,8223,230323,25599
Children,6494229,24451,4186,339931,24268,1665565,156612,52791,12250,5352,487083,164043,4611,28018,238480,75209,31925,52653,17518,27015,483,47130,83629,44533,45240,8942,31523,2602,34389,77963,3998,152464,92035,270519,144908,3458,77477,49457,78917,79056,13043,30317,3639,75826,1283672,54835,1352,83703,116530,2114,79882,8632
Less Than 1st Grade,193110,0,0,6160,1134,75416,0,1378,314,0,6518,3182,0,0,6545,1419,0,614,1570,752,0,3469,1491,0,0,543,1544,0,1048,897,0,0,1228,7042,7287,0,3563,949,0,1423,537,2343,0,2620,44064,0,0,1835,3140,0,3085,0
"1st,2nd,3rd,or 4th grade",525720,1499,161,21936,2059,185305,3539,1378,0,1747,18950,11379,0,2645,15297,1243,3105,5145,1551,3413,0,7345,9631,0,2919,1431,0,0,3666,5036,0,8630,3657,38477,11631,0,0,3313,10323,10642,900,2018,0,8960,98657,641,0,2884,11166,0,3138,303
5th Or 6th Grade,1232114,863,370,52058,4062,397259,10837,11955,3294,816,102652,17319,0,3988,57686,11180,8414,4407,4392,2274,0,8190,13289,14320,9579,2106,4976,0,7857,14994,0,23826,18450,56192,24943,0,4532,6160,13377,9000,7168,5235,496,21602,224171,7184,0,18048,17495,326,4463,309
7th and 8th grade,878891,738,197,53978,2549,224724,10100,5128,2534,1436,75451,14659,0,3048,47709,10761,8663,9235,1416,4267,0,13987,19829,4862,1470,446,0,565,6436,10509,0,27762,11666,59328,25069,0,9093,6104,3309,3015,2699,5273,0,5609,158466,3152,0,3270,13783,0,6133,463
9th Grade,1079718,2574,676,63571,5147,291942,24689,3612,1747,1035,84902,27640,0,3836,25180,8982,1084,5794,3458,2954,0,6838,7930,14494,7310,1104,4515,421,6740,16771,2106,26257,16399,41841,34863,180,5006,9545,20572,7622,3480,2328,320,5152,220527,6692,0,18774,14620,0,17412,1076
10th Grade,856117,2788,353,39083,8206,190656,21416,10766,1465,485,71622,20864,423,2834,39956,1400,6945,8536,3427,710,1223,4882,6456,7772,3120,0,0,577,2737,11210,1763,16159,13113,34901,10111,424,17748,9802,12940,17826,3755,2372,0,2815,201736,7213,0,13395,11203,593,7433,903
11th Grade,898119,2596,423,63363,1407,239021,16684,11741,2132,119,62639,17853,0,5270,36470,9363,5687,3071,0,5499,747,7046,11729,4832,0,924,0,159,3749,14515,0,21628,14701,50525,7957,185,1895,9169,12940,11525,3377,3077,770,1233,176565,4027,181,14297,28215,296,7508,1009
12th Grade No Diploma,550525,5624,393,30696,4889,156799,4739,2783,1061,503,55659,19396,0,1156,11172,4284,2008,6240,0,2269,664,3787,6910,4748,4884,489,3046,415,4255,3226,0,15980,7695,36316,5359,181,3054,1679,11031,4638,2161,905,0,3838,95628,3604,0,4946,8161,0,2627,627
High school graduate-high school diploma,5114095,8308,2802,232455,15753,1307434,122530,44530,9697,3211,609998,74224,2808,20343,187543,54403,21626,23763,8102,14155,3030,35938,70396,44697,27170,4118,25045,2012,11319,82990,2815,175169,100652,264927,86506,1165,32200,36200,42085,89028,11289,26939,2415,27040,950576,35105,294,62125,56589,647,34915,5014
Some College But No Degree,3112012,8112,2546,141391,8322,933517,51586,20618,3056,2311,261027,49965,3072,10881,94151,15863,3393,21073,4688,8708,1337,27647,38625,23100,6982,3545,19549,2650,11150,39928,657,87627,55118,144920,31868,2242,18328,12283,35496,47894,9985,14132,1714,16138,651462,25270,197,49553,53759,1686,29621,3269
Assc degree-occupation/vocation,601460,1110,453,12838,0,161019,1309,0,1479,0,64998,3930,897,1339,27373,4457,2076,1556,0,1324,0,5791,9263,9020,1605,919,0,0,0,7973,0,15510,9594,28603,1831,804,6771,3555,5082,7740,0,3447,279,2763,170115,5724,0,3354,6080,597,7672,1210
Assc degree-academic program,750259,3109,582,26348,3669,190292,12518,6224,307,329,145538,15395,321,1919,28955,1286,3721,6043,1388,710,611,1599,9713,7111,0,542,5745,535,466,3006,0,18451,21267,47094,11142,0,5239,3765,10131,4738,1888,3356,0,1228,104971,5345,167,17561,11813,663,2868,590
"Bachelor's degree (BA,AB,BS)",1790295,3797,2062,50312,5814,325700,39837,21023,1900,3381,329004,28038,1198,3553,49024,14830,5600,4742,1245,10071,1446,14347,20228,6917,8061,4585,4283,1144,5861,17203,2935,87972,33423,118931,40735,611,18210,14408,14671,29991,3939,5503,267,9481,320616,13181,577,40269,31320,674,16128,1247
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",648576,2709,1001,20054,0,142411,14943,5396,1585,3645,70519,7211,899,1602,40635,1510,1923,2604,1404,1506,1221,15820,13192,3743,3274,0,3211,369,482,5246,370,22789,16497,69008,12080,0,5964,1086,2876,6008,1009,3757,0,2882,107464,4219,180,7011,11567,627,4429,638
"Professional school degree (MD,DDS,DVM,L",91619,0,0,7130,476,17504,3716,0,0,1569,17408,0,0,327,1541,0,1145,0,1188,890,0,1631,1497,1545,0,0,3342,0,0,856,523,0,3525,7726,2487,0,4185,0,1173,0,0,0,0,1384,5671,0,171,0,0,0,3009,0
"Doctorate degree (PHD,EDD)",94153,700,0,2735,1806,15985,4921,0,0,704,14013,4110,0,0,7184,0,0,0,0,1381,0,6823,3493,0,0,503,0,0,1489,0,0,0,379,5115,6149,0,0,0,1111,2953,0,0,0,0,10432,0,0,1858,0,0,0,309
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1315000,3482,298,7337,5610,144947,9656,46388,6745,8524,94118,41862,1375,2398,74733,8624,1508,13284,3490,12820,2907,20538,41899,4709,1844,4538,7768,0,2559,7276,2336,55841,7372,352867,23337,901,16863,0,1040,102778,1968,16920,882,7058,89703,1760,0,29947,11123,2664,8403,0
Children,367918,0,0,2477,4579,28065,4111,7929,1094,1337,20526,13255,0,0,25646,0,0,2731,0,7285,0,2105,13230,2741,0,0,4672,0,0,1214,0,23993,1071,65883,5918,901,1661,0,0,47592,0,10753,543,5152,44177,1760,0,8428,3063,652,3374,0
Less Than 1st Grade,3283,0,0,0,0,0,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",19232,0,0,0,0,0,0,0,0,0,2517,0,0,0,0,2289,0,0,0,0,0,0,0,0,0,1943,0,0,0,0,0,0,0,10145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0
5th Or 6th Grade,28782,0,0,0,0,0,0,0,496,0,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,0,17041,0,0,0,0,0,2423,0,2930,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,46165,0,0,0,0,0,0,1702,0,707,2301,3611,0,0,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3124,555,21348,9823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,34959,0,0,0,0,6119,0,5975,0,298,0,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830,0,5616,0,0,0,0,0,0,0,0,0,0,8753,0,0,2525,0,0,0,0
10th Grade,60313,1336,0,0,1031,2903,0,1817,0,0,5732,0,0,0,4950,1970,0,7010,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,18468,0,0,0,0,0,0,1050,1628,0,0,8488,0,0,0,0,858,2529,0
11th Grade,43721,0,0,0,0,3295,0,6138,0,0,2431,2592,0,0,2595,2409,0,0,0,801,0,0,2682,0,0,0,0,0,0,0,0,0,0,15281,0,0,0,0,0,2566,0,0,0,0,0,0,0,2554,0,377,0,0
12th Grade No Diploma,41257,0,0,0,0,3016,0,1722,1562,1402,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,29265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,249087,0,0,2344,0,25623,0,9681,1160,849,29498,9656,0,2398,8147,1956,0,1233,0,898,0,7739,9726,1968,0,0,0,0,0,0,0,17013,2370,56382,0,0,5983,0,0,31526,918,0,0,0,11201,0,0,8234,2584,0,0,0
Some College But No Degree,165278,0,0,2516,0,40240,2822,6587,1379,251,8012,4802,768,0,11130,0,1508,2310,0,1737,0,2798,2138,0,0,750,3096,0,0,0,1200,0,1697,35955,1828,0,3309,0,0,11870,0,0,0,1906,8226,0,0,2528,3138,777,0,0
Assc degree-occupation/vocation,41483,0,0,0,0,5811,0,0,0,1803,2616,0,0,0,2475,0,0,0,0,0,0,0,4823,0,1844,0,0,0,0,1475,0,0,0,13336,0,0,0,0,0,0,0,1609,0,0,3191,0,0,0,0,0,2500,0
Assc degree-academic program,47250,0,0,0,0,6495,0,0,0,0,0,2775,607,0,4985,0,0,0,0,1059,2907,2640,2259,0,0,0,0,0,787,1519,0,2637,553,14937,0,0,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",95712,2146,0,0,0,10269,0,0,1054,1877,4927,0,0,0,9231,0,0,0,3490,1040,0,0,4477,0,0,0,0,0,0,1428,0,2869,566,29799,2638,0,5910,0,1040,3711,0,0,339,0,5667,0,0,3234,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",67785,0,298,0,0,13111,0,2062,0,0,10523,2328,0,0,2580,0,0,0,0,0,0,5256,2564,0,0,1845,0,0,0,1640,593,0,0,19411,3130,0,0,0,0,0,0,0,0,0,0,0,0,2444,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",2775,0,0,0,0,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,260490,0,656,2770,1735,143448,0,11145,0,252,8555,0,10413,0,0,0,0,0,0,2424,870,4462,0,0,0,0,0,0,0,11218,0,2737,1232,21106,6022,0,2615,5465,0,0,0,0,0,0,12642,0,0,2469,4936,0,3318,0
Children,73726,0,0,0,0,48615,0,2164,0,0,3013,0,4426,0,0,0,0,0,0,1190,870,0,0,0,0,0,0,0,0,2151,0,2737,0,3230,0,0,0,1272,0,0,0,0,0,0,4058,0,0,0,0,0,0,0
Less Than 1st Grade,5234,0,0,0,0,5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,5872,0,0,0,0,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,5122,0,0,0,0,3052,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,5199,0,0,0,0,5199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,10104,0,0,0,0,2925,0,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,0,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,7062,0,0,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162,0,0,0,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,36213,0,360,0,0,13331,0,4481,0,0,2526,0,2163,0,0,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,1425,0,0,0,3205,1969,0,0,0,0,0,0,0,0,0,5519,0,0,0,0,0,0,0
Some College But No Degree,31557,0,0,0,0,20491,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,2429,0,0,0,0,0,0,0,1531,0,0,671,2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,0,0
Assc degree-occupation/vocation,5590,0,0,2770,0,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,14606,0,0,0,885,11346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",36361,0,0,0,850,16177,0,2077,0,0,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8570,0,0,0,1252,0,0,0,0,0,0,3065,0,0,0,2386,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",3956,0,296,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469,0,0,0,0
"Doctorate degree (PHD,EDD)",13676,0,0,0,0,7090,0,0,0,252,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3318,0
 -> Total -> Total Female -> Total Non-Hispanic,129521241,2347730,235902,2052672,1361959,11750129,2076131,1522835,428011,307044,7557183,4577529,427156,715098,5386463,3049309,1428086,1186518,2107141,2194364,639230,2686895,3034866,4656973,2525361,1468039,2874154,468317,810588,1002347,628323,3712033,427925,8119329,4422071,324024,5464644,1463901,1654710,5846438,451158,2335743,353902,3098589,8575487,1258719,305307,3723664,2854262,883691,2492267,247024
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99373579,1605106,196571,1777163,1103281,7567051,1907279,1269640,301475,123740,5592915,2641494,121257,702626,4099278,2671872,1333996,1075162,1899056,1367736,618046,1559040,2531330,3761249,2265374,842396,2458815,459345,748255,741635,604096,2608837,396972,5785330,3159727,309379,4588827,1272944,1533741,4909429,390896,1588294,345002,2439094,6154933,1219747,296568,2652378,2457184,853414,2222591,242013
Children,15046030,246766,33955,186691,191303,974208,267338,173625,43873,13895,662595,396254,20249,143089,652938,482285,228360,183157,330463,217960,91802,257466,341147,578638,375366,143904,408470,78260,130064,112148,89762,389767,47634,809977,465055,56768,724858,187310,215765,717150,54647,254550,60704,371974,1008931,292517,42641,425193,356142,136338,327609,44469
Less Than 1st Grade,83843,5935,0,0,0,4827,0,0,0,0,1445,1684,548,1568,2048,3055,0,0,0,0,0,0,14174,3423,0,0,0,0,685,0,0,0,435,13007,0,623,5785,2056,0,0,1890,1400,0,4432,7215,1853,0,1844,3911,0,0,0
"1st,2nd,3rd,or 4th grade",145375,3146,0,4700,2203,33991,0,0,0,302,4222,0,0,359,0,1515,0,0,0,1900,0,0,17364,5549,0,0,4564,315,721,0,0,10477,645,20520,0,0,3184,0,2179,0,2678,0,0,0,14539,0,0,0,5108,1225,3596,373
5th Or 6th Grade,178715,7959,0,3476,3670,24562,3888,0,1094,0,12938,5658,0,1380,10939,0,0,0,7254,3720,0,0,3873,6054,0,5461,0,0,0,0,1083,5849,0,7611,5154,0,1693,3194,0,3347,4263,6747,0,1608,7237,714,0,17315,6664,4310,0,0
7th and 8th grade,1287662,31651,697,5497,23188,41111,14240,19600,3774,452,63754,41433,2055,5937,54337,59273,17520,11925,59796,24484,10601,3929,26988,33590,23224,22728,48743,6797,5365,911,7697,16585,3735,47052,26808,3436,108211,15320,5654,80487,4842,21390,6065,50245,75569,6507,3171,34480,21370,29054,54009,2375
9th Grade,1622620,57177,2591,22131,24799,69859,27798,25652,2343,0,58714,47451,1042,10452,80166,49705,17140,25170,61734,38166,6255,19722,37936,83554,30634,20533,59157,8343,10986,5640,9441,29929,3745,77673,65675,2751,68601,13166,21646,77672,9881,21563,3964,61760,90974,13810,6622,54354,35842,19791,27332,1578
10th Grade,2130981,47811,4237,31541,27991,118664,36639,37750,3730,205,91664,66201,2257,11151,66372,85722,24743,22253,68916,34157,12272,28476,32681,68165,44859,24080,68678,11028,19216,17708,10531,72739,5152,111517,84421,5515,102631,35570,15149,121126,8305,27851,6436,67157,127225,19711,6747,56862,60565,31799,38665,6140
