Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"1st,2nd,3rd,or 4th grade",2217,0,0,0,0,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,12361,0,0,0,0,4520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856,0,0,3027,0,0,0,0
10th Grade,15449,0,0,0,0,8647,2710,0,0,0,0,0,920,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,6650,0,0,0,0,6218,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,367,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,52071,0,292,0,0,24291,0,10277,0,215,2765,0,3987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5029,2671,0,0,0,1556,0,0,0,439,0,0,0,0,0,0,549,0,0
Some College But No Degree,40715,0,315,0,0,32711,0,0,0,217,0,0,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,0,0,0,0,0,0,0,0,0,0,2785,0,0,0,0,0,0,0
Assc degree-occupation/vocation,9488,0,0,0,0,4158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0,0,1402,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,20253,0,260,0,0,4088,0,1863,0,0,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4493,0,0,0,3808,2300,0,0,0,0,0,1043,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",32846,0,0,2264,0,6489,2459,0,0,188,0,2454,1457,0,2743,0,0,0,0,0,0,0,0,0,3149,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,0,0,0,0,0,7619,0,0,0,2418,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",13570,0,0,0,0,2103,2947,0,0,0,0,0,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,4797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,130174354,2322064,235840,2169672,1368145,11714350,2139814,1451246,440635,316533,7744052,4705064,421066,738976,5115889,2976548,1422625,1196570,2111532,2156564,634504,2691695,3040185,4732716,2576916,1456620,2810364,480445,813584,1046614,641403,3725144,413434,8018936,4575202,326905,5576994,1414113,1736264,5844301,428009,2447772,372441,3120162,8425609,1286680,305296,3720465,2995902,858873,2668492,241129
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99006721,1589181,195774,1832987,1108715,7497776,1920833,1172526,307322,134822,5713417,2649988,121547,717506,3790865,2590949,1333735,1086161,1900456,1328742,619391,1583388,2528126,3810518,2277507,858484,2392756,473945,738693,773415,608690,2657244,384221,5634687,3183010,308701,4646237,1236976,1600508,4854970,375624,1697396,356313,2482345,5892521,1248961,293578,2556799,2460531,824752,2417076,236056
Children,14678359,248996,34929,232702,168528,970727,305764,159287,40004,14866,691526,397988,17374,131899,540786,387835,223968,186456,277400,209477,81831,249558,324069,589062,386266,149853,379182,80960,129580,102862,85783,394925,44369,854498,445133,58280,706737,181374,215702,744600,47615,262539,69276,380570,895557,276421,38643,399508,330416,122846,371012,38820
Less Than 1st Grade,65029,2113,0,0,0,17408,0,0,0,0,0,1871,428,2164,0,0,1007,0,0,0,0,0,3066,4799,0,0,0,483,491,1772,1016,7248,0,2060,0,0,6085,0,1041,0,0,2649,0,5226,0,0,336,0,2450,712,0,604
"1st,2nd,3rd,or 4th grade",68150,2018,338,0,868,8165,3071,2199,0,0,0,2319,0,0,2002,0,0,0,0,847,0,0,2592,1693,0,765,0,0,0,0,0,0,0,3755,3415,359,0,1842,0,3811,2805,2359,0,5184,12574,1566,920,2108,0,368,0,207
5th Or 6th Grade,175938,0,227,1970,2872,34267,7267,2817,0,0,13415,2117,0,0,5203,6405,0,0,5510,2698,607,0,5395,9181,3065,1764,5216,0,1549,0,0,0,849,7795,5924,238,4028,3749,3872,3312,2012,2595,0,9342,13275,0,1365,1902,1529,2312,0,294
7th and 8th grade,1148020,22460,2323,20485,21482,52430,18086,19225,5102,0,32343,29222,977,8071,40751,39028,16000,6841,51981,20116,7789,17901,28156,30059,31555,11548,21137,3940,7399,4759,6032,21963,2816,57499,36277,2958,95676,17520,5368,87628,4046,20035,4674,37744,61467,8949,3927,32212,26519,21133,20335,2076
9th Grade,1529117,40440,3045,16248,26668,65453,33835,15321,4787,412,80438,58252,768,10747,44223,49426,19090,17305,53745,32430,11444,28764,25332,70504,26728,11557,42657,4007,13230,8206,6041,21688,3447,87894,64264,3976,63273,23118,16049,84324,8240,20796,4756,49382,97139,16433,5203,43204,41190,21746,27660,4232
10th Grade,1874685,48733,1254,21322,27719,104904,22627,20526,3740,1187,95320,69172,480,7415,66542,66141,23504,12398,50634,37106,9578,24646,43488,95837,31627,19528,65040,9590,15445,11217,12519,45391,3335,73374,64634,6050,73627,33005,43347,83442,8869,43570,6334,73640,82839,22961,4906,40132,60773,28159,51845,5213
11th Grade,2148068,36273,2587,27793,22442,125014,24260,26005,7066,189,107715,87209,1756,20473,60941,71896,32198,22775,45802,29634,9276,27053,39651,116697,37570,15885,63454,8246,17865,19980,18226,59718,4522,99005,65233,4488,141093,33836,40810,137321,4740,23851,8640,53771,129300,26541,4407,52098,39695,31284,57343,4441
12th Grade No Diploma,837799,16587,2010,23865,14842,87086,7112,11589,3554,0,39615,19501,410,7162,23903,16994,0,6904,24476,7422,3341,17770,18273,33093,21041,15001,12451,5355,2125,4678,4392,18003,2610,50331,33459,2540,47025,14992,9227,9970,4717,17406,4245,24157,50513,20826,3701,37559,14162,8463,12357,984
High school graduate-high school diploma,21535206,403246,35621,372686,310498,1216078,268515,247721,81890,3937,1437035,580514,25201,170518,737172,708489,316936,204014,423756,329796,162037,301524,502731,852935,363148,197673,550849,114984,164262,194943,128603,579947,80383,1167102,620920,57483,1241226,302721,338402,1439967,78914,358518,71493,595988,1129322,220005,58849,483304,424823,275016,545201,58310
Some College But No Degree,14822560,240041,32130,292848,183438,1361400,272109,129275,44752,4260,883474,297513,16655,129694,643641,347409,175193,189086,345615,214862,97942,192792,327713,680034,345509,142272,340066,75012,113899,155857,79071,335119,65144,639606,482948,50069,662612,230676,296416,498272,52009,215189,44963,403309,1076132,220426,39626,300978,406050,106800,300628,42026
Assc degree-occupation/vocation,3746792,61706,7769,63547,32737,287645,67474,30673,8294,776,205752,118741,2480,34072,119278,106532,92307,46238,99957,52457,23706,46888,57936,88672,161008,33532,79522,26530,33451,23936,23892,82699,14347,127207,141416,17038,186379,38402,51329,157687,8553,106526,23310,62380,187558,59960,10642,69317,102059,37117,214300,11058
Assc degree-academic program,5532479,99822,11003,139079,60949,425192,107085,63396,13839,0,390594,162665,7400,37929,176750,163558,94658,52729,104568,44749,35520,57555,153348,232844,149857,60422,111157,20574,34556,43281,41839,113142,28197,291588,227463,17933,218966,58866,91729,272924,25138,127301,25290,117259,251397,69027,16171,104485,221916,33593,109080,14096
"Bachelor's degree (BA,AB,BS)",19564046,218994,41302,393538,165722,1814188,473084,263611,60481,51898,1130972,496985,29316,121713,788182,422582,248975,224031,280254,236509,111168,337269,505142,607864,480156,127509,456306,88264,147005,142225,114849,623027,73522,1221496,670621,64091,780261,200175,325492,834334,69968,333651,66679,429468,1264354,228052,64224,597183,491833,85983,523798,35740
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",9028895,107379,17288,172268,53806,685549,255806,154465,28374,38020,452866,237982,13714,30900,438664,184292,73360,92148,125855,84192,55346,234266,399646,335671,184028,60578,229422,28512,48838,41186,76521,278523,45497,789372,262752,16423,377013,77480,112893,395895,45166,113620,21517,182915,495656,65849,34383,291792,267882,40412,156970,15943
"Professional school degree (MD,DDS,DVM,L",892506,7751,1075,15840,5957,72078,24086,10154,2621,11226,53438,39283,1029,1779,43075,15669,10179,9676,4135,14494,5678,21281,28291,22493,24554,4739,11572,2910,2206,7493,6777,36506,4516,70848,25078,3017,28898,5704,18947,32225,5357,22302,2541,26571,55258,4525,2904,32616,10970,3823,17816,545
"Doctorate degree (PHD,EDD)",1359072,32622,2873,38796,10187,170192,30652,16262,2818,8051,98914,48654,3559,2970,59752,4693,6360,15560,6768,11953,4128,26121,63297,39080,31395,5858,24725,4578,6792,11020,3129,39345,10667,91257,33473,3758,13338,13516,29884,69258,7475,24489,2595,25439,90180,7420,3371,68401,18264,4985,8731,1467
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,21151718,694650,10845,157486,240959,1109799,105522,191049,110293,165203,1719566,1746980,5330,10518,929010,324879,53740,77180,178838,779950,10907,889225,269757,732288,186574,589901,373439,2310,43710,143537,13060,620473,15235,1380012,1216773,11655,777035,143343,42053,732270,26756,704911,9409,581874,1796631,12835,3773,853702,136128,27915,190028,2402
Children,4116127,124650,1538,42100,49868,199456,20610,30653,20633,26379,346950,346906,716,3694,166175,81446,15908,18833,43968,160536,3148,152623,47600,133261,43185,113433,80998,858,9229,37658,4018,108959,2559,212919,231882,4024,170659,30176,8493,150429,5680,129176,3225,111317,350528,7502,1348,145252,43983,5572,64400,1014
Less Than 1st Grade,80203,0,0,0,0,2126,0,0,407,484,22141,4403,0,0,0,0,0,0,0,991,287,0,3980,0,7831,0,3442,0,709,0,0,0,0,2782,2316,0,10311,7553,0,1856,522,994,218,1776,2771,0,0,0,0,342,1961,0
"1st,2nd,3rd,or 4th grade",50712,1119,0,0,0,5944,0,0,0,1068,3879,0,0,0,0,0,2377,0,2040,2984,353,0,1203,2966,2543,695,0,0,0,0,0,0,0,9667,0,110,0,0,1414,2234,0,0,0,0,6319,0,0,0,1534,302,1961,0
5th Or 6th Grade,64258,5446,263,1825,2088,2575,0,0,0,798,4387,3760,0,0,0,0,0,0,0,3250,343,0,1596,0,1925,2574,2053,0,0,0,0,1944,0,10445,7978,232,2854,0,0,0,0,2450,0,3393,0,0,0,2079,0,0,0,0
7th and 8th grade,285228,9709,0,0,1264,4358,2815,0,506,2839,24928,33367,0,575,9210,4400,0,3986,3250,18241,0,10814,4307,11004,2542,11716,0,0,1665,1581,343,14706,0,15938,14417,168,8596,4141,1913,15014,0,9481,0,8965,21629,0,0,6017,0,823,0,0
9th Grade,437059,12591,0,3154,5419,13079,0,0,1368,2464,48792,47629,0,0,17936,1606,2454,1008,5118,25756,465,13580,3928,16168,0,15323,5180,468,1641,1724,439,16646,0,29214,25590,321,8496,0,0,5681,586,10695,247,6791,33358,0,229,34617,7170,1199,8929,0
10th Grade,581739,15711,0,5157,6913,16490,2461,12691,4869,4089,56128,31645,653,564,13147,19647,1922,3851,6356,28512,364,23834,5423,21762,6114,27335,10566,0,2295,4830,0,21571,784,52542,33575,496,15855,1847,1787,15697,575,22330,592,16119,31983,0,0,28047,1662,330,2618,0
11th Grade,774443,34494,663,9266,14070,36725,9775,5876,2548,6029,68966,60438,0,624,35275,16143,3366,4165,5452,42847,0,31052,7216,30893,4563,24837,6803,0,740,1428,343,3216,0,46664,33920,538,45294,2953,1490,25556,853,35244,857,17027,51517,0,0,29542,4555,812,9473,335
12th Grade No Diploma,359145,18167,0,0,727,22755,0,1977,4049,1685,30820,24712,0,0,13927,5095,0,664,3979,21084,828,3634,5046,10407,2019,11864,5427,0,900,1888,0,4192,403,38045,24203,178,12649,1889,0,19265,0,10630,316,6442,30540,0,0,16807,0,0,1932,0
High school graduate-high school diploma,5000839,210331,2888,27417,72356,219642,15886,47414,33410,39903,432101,380726,687,2631,199104,70727,11255,15677,35302,191586,1932,188501,61642,190260,43787,148918,114655,148,10160,32410,3364,160843,2737,321560,274804,1318,142301,41310,14969,227653,4845,188766,2486,140379,396545,0,549,196709,19130,7241,51140,734
Some College But No Degree,3483451,104223,2803,17041,24249,225442,24472,40078,12132,24842,209130,273986,1251,1335,196160,58053,9843,17525,30289,126167,1782,170494,29034,146014,28480,101573,58163,836,6137,31017,908,94063,1282,209166,234068,2032,141437,22047,5126,110705,4974,89214,1184,118762,330996,1291,612,103144,11788,5003,23098,0
Assc degree-occupation/vocation,676721,19038,373,1868,8996,45281,3297,4114,1880,3523,60729,58176,0,0,22450,14139,0,1683,0,28320,319,8812,9485,11101,6279,21205,20934,0,1275,9268,367,11222,633,44026,61821,0,19538,8608,0,16775,519,37025,0,16873,56644,0,0,34851,3404,1870,0,0
Assc degree-academic program,1045577,22228,707,12700,2673,77015,5837,15888,6469,4397,121908,81622,0,0,35011,24158,3285,3376,9798,20616,0,28338,18946,26889,2926,27596,11306,0,676,7944,575,21410,410,85780,61350,1042,62189,5405,1642,30669,1920,31192,0,27033,78776,2534,0,45273,11452,0,4297,319
"Bachelor's degree (BA,AB,BS)",2577911,76685,1364,18539,30735,157615,14665,17874,13711,23838,193860,233055,641,1095,144084,21945,3330,3252,18513,66611,400,144947,50073,69208,25425,47541,29601,0,6947,6497,2281,108423,4535,203456,134819,927,73616,12207,0,55282,4671,89331,0,51328,248108,1508,880,127679,18623,3385,14801,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1333616,33294,246,18419,15534,72599,2910,10621,7475,16972,88328,137407,1382,0,71330,7520,0,3160,10042,35366,686,79712,20278,51827,6817,29615,19647,0,1336,5449,422,46737,1892,82318,64933,269,51212,5207,5219,32005,1015,42090,284,40446,140037,0,155,58032,7625,328,5418,0
"Professional school degree (MD,DDS,DVM,L",117344,1645,0,0,1341,2379,2794,3863,0,4173,2174,12129,0,0,0,0,0,0,0,1999,0,17037,0,2219,2138,2216,0,0,0,1038,0,4346,0,4182,4619,0,2408,0,0,13009,596,0,0,5975,10283,0,0,9212,5202,367,0,0
"Doctorate degree (PHD,EDD)",167345,5319,0,0,4726,6318,0,0,836,1720,4345,17019,0,0,5201,0,0,0,4731,5084,0,15847,0,8309,0,3460,4664,0,0,805,0,2195,0,11308,6478,0,9620,0,0,10440,0,6293,0,9248,6597,0,0,16441,0,341,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,10015915,38233,29221,179199,18471,3106775,113459,87671,23020,16508,311069,308096,294189,10952,396014,60720,35150,33229,32238,47872,4206,219082,242302,189910,112835,8235,44169,4190,31181,129662,19653,447427,13978,1004237,175419,6549,153722,33794,93703,257061,25629,45465,6719,55943,736457,24884,7945,309964,399243,6206,61388,2671
Children,1543345,7976,3810,31347,2935,415529,24200,13018,4190,1003,45117,65513,26398,652,83221,9142,7428,6042,9738,9687,0,25926,36398,22629,18976,1041,9282,819,3600,8206,3215,86143,455,143380,22900,688,36206,5827,15979,29157,4125,5711,1235,10332,143413,5509,1350,59947,65307,617,7752,274
Less Than 1st Grade,113354,0,0,0,0,29734,3830,0,0,0,2481,0,0,0,0,2091,0,0,0,1062,0,0,0,2143,10884,0,2658,0,0,0,0,7828,0,30147,0,0,4491,1830,2800,0,1035,0,0,0,7112,0,402,2424,0,402,0,0
"1st,2nd,3rd,or 4th grade",75385,0,0,4624,0,24717,0,0,0,170,10008,0,2137,0,2163,2267,0,2143,0,1102,0,0,3157,0,0,0,0,0,0,2039,0,4392,620,2268,2122,0,0,0,0,2331,0,0,0,0,5587,0,289,0,3249,0,0,0
5th Or 6th Grade,116878,0,730,2842,848,49461,2007,0,0,190,2500,4926,6299,0,2356,2076,0,0,0,0,0,2249,1648,0,0,0,2596,0,0,0,0,0,0,16408,0,213,0,0,2943,0,531,0,0,0,11295,0,0,2294,2466,0,0,0
7th and 8th grade,158986,0,1515,5057,688,44216,3652,0,0,0,6821,4766,3485,0,4431,0,1514,0,0,1958,914,7611,3141,0,0,0,0,0,710,1176,479,4027,474,26111,4078,0,1963,806,2606,9657,0,0,527,1513,5267,497,0,2028,5211,0,2087,0
9th Grade,190191,0,314,8827,0,40371,2599,0,920,0,8276,11426,2198,0,3804,2450,0,1741,0,0,0,2540,5616,3001,0,0,0,0,428,1827,334,10482,0,40695,1756,0,0,1119,0,4660,0,2276,287,0,21294,514,0,3106,7330,0,0,0
10th Grade,228585,2775,856,4407,877,63538,5991,5505,443,349,4938,11969,3345,1007,7467,0,0,1941,0,2930,0,3907,0,5324,4962,0,2007,0,1269,1187,351,4536,0,34266,0,0,4947,972,1151,7419,0,1647,0,0,9724,0,228,8273,13710,0,4154,213
11th Grade,165170,905,1126,4139,0,41663,0,1734,0,0,4575,3447,7730,581,6691,0,1424,0,0,2504,0,2143,4519,4032,2375,678,2992,0,750,1345,0,4700,0,14988,6852,0,3086,1105,0,4868,580,0,0,0,6724,1010,0,15607,10297,0,0,0
12th Grade No Diploma,110971,0,0,2345,0,30332,0,0,0,344,2797,13235,2890,0,0,1890,0,0,0,0,0,7260,3217,0,5097,0,3215,288,0,1012,0,0,0,13910,6695,0,5162,0,0,0,573,0,0,0,8540,0,0,2169,0,0,0,0
High school graduate-high school diploma,1467484,3940,8833,15767,3095,443783,14334,12387,2758,620,52172,63124,73114,2953,37632,9096,1225,5318,1401,5406,1505,19587,25329,31757,17644,3668,2594,285,7358,21797,1719,49556,2005,205997,33119,1080,19910,2903,6638,42225,3844,6063,1625,7863,90287,2957,585,24853,66244,1165,7105,1259
Some College But No Degree,900141,9037,4970,17502,929,351317,7820,6418,1289,224,39225,22861,36213,1592,27382,4823,6991,1689,4804,3577,0,14867,20854,12629,2413,2096,0,254,5950,33244,3173,29712,626,51516,8833,1861,4899,5922,9861,18503,1015,1478,0,10904,42972,1683,678,18455,33909,1225,11946,0
Assc degree-occupation/vocation,194785,1220,840,4103,0,72262,2073,0,0,0,7347,3021,15088,0,7145,0,0,0,0,724,0,0,0,2530,0,0,2357,623,0,4661,1928,2272,780,17864,0,268,2472,0,1601,2424,0,1522,0,0,12782,0,0,2369,17908,404,6197,0
Assc degree-academic program,358945,1472,693,6974,0,116370,0,1514,1299,0,15142,11525,15187,563,10466,0,1107,0,0,0,0,10207,6467,8402,4365,0,3142,290,0,8441,555,16381,1353,36845,3507,216,2542,0,1432,17534,2973,4318,0,0,24861,2405,580,4727,14776,0,0,314
"Bachelor's degree (BA,AB,BS)",2741501,5468,5269,42180,7079,932537,24977,30334,6833,6462,82520,43589,76119,1126,107984,16272,5812,4757,6761,9980,0,68020,64952,48743,30942,0,10823,850,5681,30515,5370,140224,4794,234691,54179,1395,38342,10100,28593,64024,6021,13161,1771,18359,208476,7814,1223,118773,93478,1590,12135,403
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1200872,5440,265,19038,2020,325538,15378,11845,4504,4424,20120,41388,16759,1551,67991,1936,8565,8646,6365,5282,1066,37302,50547,36991,12881,752,2503,532,3001,10280,941,59489,2220,94434,21754,272,23074,3210,16191,35342,3943,2732,1274,6972,111555,1775,2414,27972,51375,803,10012,208
"Professional school degree (MD,DDS,DVM,L",184440,0,0,7205,0,60919,2089,1351,0,1590,2580,5558,3807,0,6175,4666,1084,952,0,0,0,4899,6548,6097,0,0,0,249,880,1954,482,9415,0,22615,4880,0,0,0,0,7662,0,4677,0,0,7402,0,0,5683,3021,0,0,0
"Doctorate degree (PHD,EDD)",264882,0,0,2842,0,64488,4509,3565,784,1132,4450,1748,3420,927,21106,4011,0,0,3169,3660,721,12564,9909,5632,2296,0,0,0,1554,1978,1106,18270,651,18102,4744,556,6628,0,3908,11255,989,1880,0,0,19166,720,196,11284,10962,0,0,0
