Source: CPS Annual Social and Economic (March) Supplement 201903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5th Or 6th Grade,33968,0,0,0,0,2227,0,0,0,0,2552,0,0,0,0,0,0,0,0,0,0,5229,0,0,0,0,0,0,0,0,0,4373,0,17387,0,0,0,0,0,0,1134,1066,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,53286,0,0,0,0,8883,0,0,0,0,5464,0,0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,0,17492,0,0,0,0,0,0,0,1570,0,1764,11243,0,0,0,0,460,0,0
9th Grade,85797,0,0,2824,0,2439,0,0,0,706,2284,4349,0,828,0,0,0,0,0,0,0,7860,3001,0,0,0,2303,0,0,1269,0,0,0,48209,0,0,8876,0,0,0,590,0,259,0,0,0,0,0,0,0,0,0
10th Grade,61447,0,0,0,0,2146,0,0,548,0,3411,2314,0,0,0,0,0,0,0,1310,0,3634,0,0,0,0,0,0,0,0,0,0,568,39601,5088,0,0,0,0,0,506,0,0,0,0,0,0,1980,0,341,0,0
11th Grade,65486,0,179,2569,0,10047,0,3135,0,667,8042,1925,0,0,0,0,0,0,0,0,0,5337,0,0,0,681,0,0,0,0,0,0,0,22873,0,0,0,0,0,0,1192,0,0,0,8839,0,0,0,0,0,0,0
12th Grade No Diploma,33639,0,0,0,0,3356,0,0,0,648,1720,0,0,0,0,0,0,0,0,0,0,3619,1343,0,0,0,0,0,0,1269,0,0,0,18729,0,0,0,0,0,0,0,0,0,0,2955,0,0,0,0,0,0,0
High school graduate-high school diploma,331965,0,293,2677,0,44002,4273,8061,3691,703,39658,18634,0,0,4508,2683,0,0,0,2380,0,23790,8914,0,0,0,1916,0,713,1008,430,23012,1043,90752,1698,0,3470,0,0,10004,5029,4037,0,4470,16511,1292,181,0,1713,419,0,0
Some College But No Degree,140947,1083,917,0,0,17068,4820,0,1077,649,24323,7265,809,0,2996,0,0,0,1907,0,0,8477,1533,0,0,759,0,0,614,0,411,8838,527,30342,2684,0,0,1177,0,1898,629,3358,0,0,9504,0,0,5412,1870,0,0,0
Assc degree-occupation/vocation,32672,0,0,1465,0,6775,0,0,0,233,7209,2350,630,0,3460,0,0,0,0,0,0,2861,0,0,0,0,0,0,0,0,0,0,0,2207,0,0,0,0,0,0,539,0,0,2455,2488,0,0,0,0,0,0,0
Assc degree-academic program,42743,0,0,0,744,7949,0,0,0,323,3411,2753,0,0,0,0,0,0,0,0,0,3933,0,0,0,0,0,0,0,0,0,4239,0,16935,0,0,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
