Source: CPS Annual Social and Economic (March) Supplement 201503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th Grade No Diploma,354877,12272,188,0,3615,20949,1034,0,3575,1998,28004,28134,0,0,10840,0,0,1552,0,24512,944,7568,1400,5984,12272,11585,8214,0,1673,1586,0,7985,1065,30956,14059,0,10608,0,0,15314,0,14397,0,8604,37813,0,0,24626,0,0,1551,0
High school graduate-high school diploma,4826557,166988,1658,23610,79920,277346,34666,48832,27951,38396,398376,352475,3107,2113,215018,107253,14220,23701,28179,180497,1823,203356,51833,180195,38281,152837,70982,574,6601,24437,2321,150478,5414,262013,250894,1413,204053,26297,9245,198763,6748,199003,4059,134916,354707,4835,1125,168183,33922,10030,41148,1765
Some College But No Degree,2923362,92276,2088,42546,27324,194183,15864,29383,16503,19202,235323,205690,3894,1299,149146,18189,4174,9456,17227,106598,0,124566,33549,108980,16678,56995,65575,2322,9910,26709,1599,96302,2460,169973,145491,670,81998,22490,7053,86991,6743,79297,2615,114181,267530,3583,0,144576,24733,5120,24308,0
Assc degree-occupation/vocation,463906,17869,615,1482,4201,28097,5048,3770,400,1215,32662,38603,896,729,5873,1921,567,1779,6740,10839,0,10880,5024,11561,3609,12829,21251,0,1306,4326,0,8465,0,42041,36346,212,13826,2986,3878,16914,1221,23767,444,13306,38504,0,360,15385,9344,615,2200,0
Assc degree-academic program,499629,11262,0,5298,5944,33834,1118,8551,1365,2479,48420,43309,2732,518,17900,4816,0,1504,7303,7329,844,18503,6880,12091,6443,12171,3787,0,2213,2198,0,16752,442,51131,24063,258,17297,5747,7771,15804,963,10123,0,14453,22706,0,0,29542,4867,2856,5616,426
"Bachelor's degree (BA,AB,BS)",1605194,25331,1003,27793,13194,92962,4644,9843,4314,19058,105438,124183,2190,1551,90335,15416,3526,7063,13689,35050,4115,98186,42637,24813,17598,23814,18892,0,3132,8138,696,65583,2353,178255,95992,1136,52780,12407,4147,33748,1611,24892,1194,23370,185528,2020,439,59677,16941,800,3717,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",620599,6605,920,2207,2098,69325,0,3430,2318,9006,46811,45797,0,571,24611,12523,0,2904,4587,11432,0,53527,7426,9990,11366,17633,13352,0,445,1907,1757,18601,0,53677,26815,403,25655,3283,1308,17947,3324,3446,0,16752,48954,0,0,31095,4024,1244,1523,0
"Professional school degree (MD,DDS,DVM,L",82955,4592,0,0,0,6360,959,0,553,2421,10148,7780,0,0,3997,0,0,678,0,1578,539,10111,2297,8681,0,0,1650,0,363,681,390,0,0,2071,2601,0,0,0,1294,1787,0,1698,0,1603,4134,0,0,1653,2336,0,0,0
"Doctorate degree (PHD,EDD)",86577,913,0,0,0,0,931,2532,607,1650,9960,3359,0,0,7915,0,2245,0,0,746,0,5570,5118,0,0,3215,2910,0,0,612,0,6071,0,6238,4450,0,1952,0,1052,0,0,0,0,4381,9718,0,0,4432,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,8288626,33669,24026,109350,23017,2576601,55511,99407,18091,10245,233296,185597,234324,9125,341516,79154,33082,61933,36490,47590,9915,157100,257382,157635,142175,21294,33014,1895,25150,83592,18911,375057,22396,960302,152096,6126,103145,24844,97876,153011,19209,31414,4320,43336,533291,38894,4704,302183,243312,3440,47164,2419
Children,1509427,5556,5204,21184,5459,451864,17011,20910,3182,381,34952,24910,28842,825,74918,22138,5115,13631,9450,6255,935,29614,42158,46887,37661,5370,6199,0,6757,11608,3235,58997,6208,153319,17736,631,18504,6034,15774,20585,5931,9240,967,11377,104777,14265,516,55309,58736,329,7612,369
Less Than 1st Grade,42648,0,0,6692,0,15997,0,0,0,0,4232,0,631,0,0,0,4251,0,0,0,1022,0,0,0,0,0,0,0,2736,0,0,0,0,4512,1884,0,0,0,0,0,379,0,0,0,0,0,312,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",50517,0,268,2988,0,14076,1880,0,0,0,2155,0,2280,0,0,0,0,2304,1801,0,0,1168,1298,0,4931,0,0,0,0,0,0,0,0,7195,3391,0,0,912,1237,0,0,1060,0,0,1573,0,0,0,0,0,0,0
5th Or 6th Grade,77471,0,755,0,0,22917,4023,0,180,0,2654,0,4568,0,0,1862,733,0,0,0,0,0,2954,0,0,0,1785,0,0,0,0,0,0,26163,0,0,0,0,0,5806,0,0,366,0,0,729,0,0,1616,360,0,0
7th and 8th grade,126924,1013,480,1734,0,26982,0,1422,0,0,5881,1142,2330,0,9127,1479,2270,736,0,1582,0,2043,5225,2029,4560,0,3807,0,0,0,0,3702,289,15441,6619,0,2029,1023,1387,3683,566,692,0,2932,7344,0,190,2894,3176,0,1115,0
9th Grade,131347,2228,0,0,0,40345,2904,2500,126,0,7278,1602,5490,0,3893,1621,983,1923,0,614,0,2095,4742,1895,1367,0,0,0,0,4375,675,4306,0,12589,4702,0,2132,756,0,3436,0,0,184,0,9553,0,0,2303,1765,385,2580,0
10th Grade,153440,1840,0,1690,1337,37294,1252,877,512,0,1844,6980,3769,661,1760,5064,563,943,0,2776,799,3342,8427,0,3986,0,0,0,0,0,531,5210,0,18721,13077,375,1120,0,849,3575,0,0,430,0,10771,1002,190,1371,9244,0,1258,0
11th Grade,168570,0,294,6926,0,56245,2066,1869,446,167,3028,5960,6465,683,2122,1481,0,0,0,946,0,0,4581,0,7039,0,0,0,482,2154,0,2978,0,36133,7908,393,1804,945,0,3521,546,1221,0,0,6983,978,638,1568,0,0,0,0
12th Grade No Diploma,109017,0,242,0,2952,32432,851,1576,332,0,9067,1714,2404,0,2859,1694,786,2330,0,900,0,1215,1566,1895,3092,0,1232,0,0,0,248,2116,0,10630,5466,0,0,0,0,0,0,0,0,0,9541,0,0,11877,0,0,0,0
High school graduate-high school diploma,1155590,6703,8575,4490,2563,359278,2218,11336,2806,546,42486,20091,57711,3026,36180,15150,4049,14554,12395,10031,2646,10713,24943,15903,27429,5397,2127,407,3376,13702,1357,31350,1483,164650,21852,483,6518,3236,12698,23665,1153,5204,347,5007,52929,7014,650,30837,52819,405,10892,210
Some College But No Degree,1004712,4088,3170,16136,2021,383074,3742,9204,2139,809,20260,20753,34181,893,29093,4270,2637,5565,975,8094,1946,17522,21072,15104,17384,6199,6944,493,2057,21360,1521,38049,6056,98843,13231,1663,28852,3070,13960,12993,2936,2902,562,1583,43753,2548,232,42328,21930,393,5706,416
Assc degree-occupation/vocation,135845,0,1157,0,0,44249,0,723,0,0,0,5461,16071,0,5354,0,0,0,0,1646,0,3198,0,2216,2708,0,0,0,440,2552,311,4170,0,14802,4440,186,0,0,3380,4311,252,1303,0,1340,7983,0,0,2276,5316,0,0,0
Assc degree-academic program,221063,0,881,1776,0,77748,1963,2074,571,0,20148,3406,9010,923,5404,2163,0,1132,0,0,456,3430,2552,2003,4342,0,0,204,0,3055,318,7313,0,20725,2088,941,1779,0,2416,0,750,0,0,1690,15530,2381,0,15152,6739,0,0,0
"Bachelor's degree (BA,AB,BS)",1980802,2940,1967,31258,5392,628209,13024,22924,3134,4075,48474,60876,47100,939,112909,5415,4457,12292,7117,7909,524,29883,71074,37048,18231,3672,4968,791,6626,18012,5290,108784,3230,238434,30803,1231,23449,3869,26382,31435,3094,7376,894,8060,122979,7370,692,82584,57004,569,5286,747
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",942427,1898,805,6560,1728,264876,4577,13772,1812,1742,11189,26769,6444,588,44139,7288,5236,5956,1809,0,687,27144,50227,23971,4723,656,1800,0,1293,4422,4363,80736,2752,95247,9501,0,6613,1123,17358,22765,1262,2416,315,6094,101778,1574,1107,36209,18827,274,9480,522
"Professional school degree (MD,DDS,DVM,L",158890,4543,228,1776,1565,36614,0,3941,221,2048,6681,0,4339,0,1776,2305,855,0,1666,1156,900,3228,4036,4640,0,0,2459,0,0,1281,0,10693,401,23240,3928,0,4324,0,2435,5576,449,0,0,0,12542,0,0,5248,3796,0,0,0
"Doctorate degree (PHD,EDD)",319936,2860,0,6140,0,84401,0,6279,2630,477,12967,5933,2689,587,11982,7224,1147,567,1277,5681,0,22505,12527,4044,4722,0,1693,0,1383,1071,1062,16653,1977,19658,5470,223,6021,3876,0,11660,1891,0,255,5253,25255,1033,177,12227,2344,725,3235,155
 -> Total -> Total Female,154923018,2439650,252743,3156703,1434188,18515520,2527713,1788410,468007,337454,10012722,5020210,436363,790504,6397299,3246671,1527819,1371203,2179513,2296698,650513,2924834,3346518,4858108,2604877,1505773,2983152,473891,904028,1272608,659202,4451043,879407,9821195,4804589,338095,5693380,1680782,1877106,6244259,524164,2436740,365473,3258184,13119202,1420229,308265,4097638,3261624,900772,2785711,272266
 -> Total -> Total Female -> Total Hispanic,26016388,71784,23776,1234230,91932,6925304,511787,239285,48618,36708,2445569,439175,25860,87073,966071,226748,69870,145376,84035,123729,9893,232016,342777,239134,135841,43364,106226,11815,100122,327357,18046,776873,424788,1686549,426118,6658,182008,187470,190123,378670,56623,126115,7916,155223,4915951,166328,3111,322656,399227,10124,208932,21404
 -> Total -> Total Female -> Total Hispanic -> Total White Only,24388076,69081,19548,1210197,91932,6610905,498962,184065,38178,26022,2356378,407268,13852,87073,878690,226748,65885,135487,70384,105571,8622,184656,309021,226109,130950,41777,106226,11815,95993,321651,16864,715217,415190,1265970,385622,6205,154620,181400,190123,313845,44014,115351,7916,153235,4804632,166328,3111,302564,390652,10124,191627,20420
Children,6438363,19050,5342,337819,31662,1659703,146020,41055,12495,5560,468918,154158,4339,27851,234968,76933,23694,41065,25099,36708,1804,42928,76738,58867,44375,14297,37726,1311,34592,88484,5059,153949,102212,295935,135645,2270,47481,64306,58196,78413,11534,38983,2662,50613,1297838,49659,403,91293,125192,1638,64488,7033
Less Than 1st Grade,206961,2724,0,10281,0,96152,3754,1444,286,280,6206,1768,0,0,10725,1420,0,0,0,0,0,1474,1685,0,0,0,1262,0,2399,1594,0,1278,344,8989,2766,0,1655,961,2909,1435,306,0,0,0,40801,0,0,2063,0,0,0,0
"1st,2nd,3rd,or 4th grade",586884,1589,675,21330,2550,210380,12527,4852,844,1751,26435,13162,0,3583,22464,0,0,928,7217,1922,0,3025,8069,0,0,673,0,0,2621,6864,237,7778,6614,31990,13431,0,4992,3275,4920,11602,1792,2785,0,2812,118689,1376,0,11471,4674,0,4985,0
5th Or 6th Grade,1233536,0,539,57522,7700,410183,14708,7359,1351,743,90416,20068,0,7330,46086,15137,4252,6981,2520,4546,0,8001,9427,8815,10468,4483,4145,0,7843,19416,0,32950,11125,52656,22460,219,5390,14271,6861,6969,1780,5003,0,13029,237848,8087,0,13185,22582,357,8404,321
7th and 8th grade,895238,5002,0,47207,5803,243515,15648,5445,2178,1142,63957,18651,294,5492,56153,9908,1896,7077,3525,5611,0,12180,10063,9440,4213,4292,3446,190,1824,12016,421,27327,12507,42654,20544,0,3053,5328,3981,13343,761,2097,0,4076,172819,5770,0,6018,10752,0,7012,607
9th Grade,1072003,4485,268,60493,1763,285756,22320,6042,1639,2002,77988,23943,0,4381,40845,8087,2450,7617,6590,6175,0,6252,9432,13223,9146,680,3059,233,4231,10724,656,25215,12357,47243,15782,0,4998,7236,13986,7548,2543,5979,0,4177,271461,2744,0,10193,12088,296,7161,516
10th Grade,883586,0,384,40568,7161,201476,26747,7694,0,822,73860,20230,0,3645,19596,8704,5129,6463,1124,2706,0,7574,13089,9140,4243,2018,1600,347,1637,6970,341,20410,13496,58210,12648,0,5990,8722,5267,14244,3671,4229,494,5905,204694,10723,0,17169,14644,271,8708,823
11th Grade,956205,3188,653,74128,4405,263654,21678,10920,2608,254,57434,13802,539,2566,38255,8017,920,6900,3778,6063,0,5114,16155,1477,2116,0,7998,324,5756,8736,574,19381,18225,59495,8617,0,1471,6726,9265,19104,2875,4972,0,2672,174550,10037,0,4655,36392,0,9356,400
12th Grade No Diploma,587054,2389,256,30997,2344,200262,9413,3814,1409,0,44414,8626,795,799,15642,4101,546,5165,0,1558,568,0,1202,0,2912,0,5143,218,2189,10184,795,35327,9313,32311,5469,0,4518,8817,3487,1744,227,739,0,4168,100868,4631,0,7950,7769,0,3531,444
High school graduate-high school diploma,4976257,17124,4233,243324,9499,1285831,114644,31214,7792,2697,576920,75477,3709,15486,182534,55844,11596,21226,5453,17659,1368,37231,74159,61742,28093,4335,17031,2887,13471,92612,4192,165751,83490,276807,65782,2015,36203,35419,41533,67501,10134,25764,1315,30008,931626,31961,793,43249,61859,4036,36270,5358
Some College But No Degree,2882516,6222,2404,133584,5994,912496,54663,28395,2675,1634,240448,26229,1966,9078,97566,20893,2656,16443,9067,9385,1520,19451,43170,31614,10076,3008,10799,2442,10022,25995,294,88915,65499,142762,25103,382,20089,10459,18420,30186,5313,8148,685,10202,589036,21999,157,38244,44816,2702,17226,1984
Assc degree-occupation/vocation,554623,0,598,29338,501,145516,11592,5486,435,0,68680,8021,492,1171,13364,1672,1039,2273,1308,4438,0,4333,3402,1874,2015,1116,1375,846,1386,11589,292,10031,8812,27207,4129,222,1775,6346,2188,7842,0,2229,446,4356,135070,3668,0,3948,4761,0,6755,686
Assc degree-academic program,680951,3172,871,42569,2864,171558,10786,5314,1923,115,123702,5828,600,1809,21031,0,2174,4264,975,0,831,875,5098,3222,0,818,4003,162,540,9427,948,21734,18052,25161,9909,0,3090,4453,8846,15477,1011,2316,421,1650,112094,3890,184,10173,10737,555,4794,925
"Bachelor's degree (BA,AB,BS)",1711203,2865,2621,48213,4352,379833,22092,15699,1467,3672,336855,14458,1118,3410,56176,14538,4450,8435,1324,8048,2531,20697,18543,25098,10440,5589,5585,2345,6973,13581,1888,77531,33523,103574,20874,1097,5990,4402,5451,29061,1479,7722,475,14400,295968,7179,742,31363,17252,0,9412,812
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",545072,1271,704,26635,2521,111227,9949,8206,762,4331,69911,2847,0,472,17159,1494,951,650,1294,752,0,11641,13705,1597,2853,468,1480,510,509,2856,1167,24458,14553,45656,16690,0,2806,679,2927,6027,588,3252,774,3170,93840,3888,351,9468,13855,269,3525,374
"Professional school degree (MD,DDS,DVM,L",97338,0,0,2925,2377,18822,0,524,0,905,19016,0,0,0,3025,0,2070,0,1110,0,0,0,2740,0,0,0,1574,0,0,603,0,1561,2519,8780,4309,0,1679,0,1145,0,0,0,0,0,19039,0,0,1016,1599,0,0,0
"Doctorate degree (PHD,EDD)",80286,0,0,3264,436,14541,2421,602,314,114,11218,0,0,0,3101,0,2062,0,0,0,0,3880,2344,0,0,0,0,0,0,0,0,1621,2549,6540,1464,0,3440,0,741,3349,0,1133,644,1997,8391,716,481,1106,1680,0,0,137
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1384682,2703,4228,15912,0,200919,11245,53743,10440,9680,86389,26744,612,0,87381,0,3985,7435,2073,16792,0,47360,33756,9927,4891,1587,0,0,4129,5706,1182,54903,9598,402351,35184,0,15870,3832,0,64825,10406,10764,0,1988,84700,0,0,20092,3061,0,17305,984
Children,394214,0,1154,3140,0,57158,3596,8852,2677,2735,19912,12225,0,0,42748,0,1170,2488,0,10662,0,11831,10138,2683,0,1587,0,0,2601,2469,0,13495,1291,92232,13237,0,3528,0,0,22250,2394,4418,0,0,32291,0,0,2038,0,0,6705,509
Less Than 1st Grade,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",24498,0,245,0,0,3006,0,0,0,0,2351,0,0,0,0,0,0,0,0,0,0,1510,1785,0,0,0,0,0,0,0,0,0,0,11661,3399,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,41621,0,207,0,0,5739,0,0,440,390,9401,0,0,0,2349,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,0,14600,0,0,0,0,0,2471,0,0,0,0,3084,0,0,0,0,0,0,0
7th and 8th grade,29912,0,0,0,0,0,0,4724,0,662,2696,0,0,0,0,0,0,0,0,1984,0,0,0,0,1110,0,0,0,0,0,0,0,0,12269,0,0,0,0,0,2870,1018,0,0,0,2579,0,0,0,0,0,0,0
9th Grade,23696,0,471,0,0,0,0,0,727,965,4785,0,0,0,0,0,0,0,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,3062,0,0,0,2055,0,0,0,0,0,0,8290,0,0,0,0,0,0,0
10th Grade,51672,0,262,0,0,4913,0,3262,1285,0,0,0,0,0,0,0,0,1102,0,0,0,1831,2491,0,0,0,0,0,403,0,0,0,0,33092,0,0,0,0,0,0,0,0,0,0,3031,0,0,0,0,0,0,0
11th Grade,63676,0,0,3276,0,8828,2003,5781,373,437,0,0,0,0,0,0,0,0,0,0,0,0,1807,4794,0,0,0,0,0,0,0,6244,0,16826,0,0,0,0,0,10056,440,0,0,0,2811,0,0,0,0,0,0,0
12th Grade No Diploma,27804,0,433,0,0,6851,0,8337,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911,0,0,0,0,0,0,0,0,0,0,2928,0,0,0,0,0,0,0
High school graduate-high school diploma,257345,0,0,3241,0,44972,3319,16272,2487,1286,10850,2200,612,0,11635,0,1466,0,0,0,0,15143,7004,2450,981,0,0,0,0,0,0,9203,2685,79080,3529,0,0,1777,0,12003,2315,2333,0,0,7809,0,0,2925,1693,0,7600,475
Some College But No Degree,228528,0,718,3350,0,39851,2327,3388,331,540,20985,7655,0,0,13353,0,0,3003,0,1116,0,2790,10531,0,1077,0,0,0,1125,836,1182,5133,3706,50026,12186,0,10089,0,0,7937,2253,2111,0,1988,10625,0,0,5316,0,0,3000,0
Assc degree-occupation/vocation,34420,0,0,2905,0,2079,0,0,0,261,0,0,0,0,2847,0,0,0,0,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,13441,0,0,0,0,0,2660,0,1902,0,0,6132,0,0,0,0,0,0,0
Assc degree-academic program,50104,1340,490,0,0,6674,0,1044,776,0,3255,4664,0,0,0,0,0,0,0,0,0,2625,0,0,1723,0,0,0,0,1222,0,3025,0,20136,0,0,0,0,0,0,550,0,0,0,0,0,0,2580,0,0,0,0
"Bachelor's degree (BA,AB,BS)",99110,1363,248,0,0,13236,0,1044,0,1738,9199,0,0,0,8555,0,1349,842,0,837,0,8690,0,0,0,0,0,0,0,0,0,8452,0,30573,2833,0,0,0,0,2569,895,0,0,0,2745,0,0,2574,1368,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",57434,0,0,0,0,7612,0,1039,0,666,2955,0,0,0,5894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,0,9351,0,17442,0,0,2253,0,0,2009,0,0,0,0,2375,0,0,4659,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,243630,0,0,8121,0,113480,1580,1477,0,1006,2802,5163,11396,0,0,0,0,2454,11578,1366,1271,0,0,3098,0,0,0,0,0,0,0,6753,0,18228,5312,453,11518,2238,0,0,2203,0,0,0,26619,0,0,0,5514,0,0,0
Children,79571,0,0,0,0,36187,0,1477,0,0,2802,0,1818,0,0,0,0,0,11578,0,1271,0,0,0,0,0,0,0,0,0,0,3430,0,0,0,453,4473,0,0,0,1117,0,0,0,14965,0,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",2670,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2932,0,0,0,0,2486,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,5075,0,0,0,0,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,2960,0,0,0,0,2727,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2792,0,0,0
11th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,44308,0,0,0,0,23319,0,0,0,0,0,0,1831,0,0,0,0,0,0,1366,0,0,0,3098,0,0,0,0,0,0,0,0,0,5633,0,0,3119,0,0,0,0,0,0,0,5942,0,0,0,0,0,0,0
Some College But No Degree,42452,0,0,0,0,24217,0,0,0,0,0,0,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3323,0,3027,5312,0,0,1105,0,0,1086,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,7407,0,0,2430,0,2643,0,0,0,0,0,0,995,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,4540,0,0,0,0,4540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",30801,0,0,5691,0,9501,1580,0,0,541,0,5163,1924,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564,0,0,0,2722,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",13897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6823,0,0,3926,0,0,0,0,0,0,0,3148,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",3092,0,0,0,0,2860,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,128906630,2367866,228967,1922473,1342256,11590216,2015926,1549125,419389,300746,7567153,4581035,410503,703431,5431228,3019923,1457949,1225827,2095478,2172969,640620,2692818,3003741,4618974,2469036,1462409,2876926,462076,803906,945251,641156,3674170,454619,8134646,4378471,331437,5511372,1493312,1686983,5865589,467541,2310625,357557,3102961,8203251,1253901,305154,3774982,2862397,890648,2576779,250862
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99326181,1649420,189823,1653958,1072056,7655869,1851382,1281512,301616,120700,5611034,2709128,116713,688593,4179271,2617264,1370472,1083864,1869141,1350246,621461,1584518,2505607,3711440,2171048,860798,2460537,455725,742140,705515,616107,2623887,407342,5706782,3118060,317782,4645991,1313913,1544526,4943623,417252,1581799,348073,2466191,5989522,1213150,296407,2656846,2481780,854297,2345092,246908
Children,15161330,272199,33028,215604,167729,1038717,268146,190972,40896,12711,692327,416531,15591,129710,690729,457285,246264,191490,301438,218870,93755,250574,344633,547843,366571,144305,394626,78187,129723,99339,93736,397151,48347,827415,444463,56995,738949,202594,226915,711009,55036,244247,61949,390832,935893,296781,42822,432571,369081,133622,355198,45931
Less Than 1st Grade,100095,3725,0,2173,3705,16221,1575,0,873,0,1439,0,0,2024,3756,0,2859,0,0,1871,0,0,1965,5936,0,0,2296,0,551,0,0,4610,0,12215,3069,345,0,1435,1623,1889,1687,0,0,6101,10205,0,414,5533,0,0,0,0
"1st,2nd,3rd,or 4th grade",149221,5261,0,1576,3836,29441,0,2301,0,0,15660,0,0,1180,2868,0,0,0,3315,4103,0,0,10591,13463,0,0,3785,0,4243,0,0,9867,362,8112,3135,641,2514,3077,1812,3353,3620,0,0,2230,3658,0,354,4863,0,0,0,0
5th Or 6th Grade,172736,4837,0,0,672,27805,2992,2430,240,154,22088,3265,0,707,6124,0,0,0,2244,2740,1946,0,3479,11166,4545,6004,0,0,1345,0,0,0,0,12437,9386,233,7799,2768,0,6338,2522,3817,0,2468,10130,0,0,4523,0,2199,3204,129
7th and 8th grade,1430326,34792,546,20862,15622,61805,8429,8331,4011,141,41911,48319,0,12579,58875,40876,19041,19342,56331,30140,10200,6807,31998,54313,19958,17520,62265,8091,2113,2852,7926,27387,2778,50097,52977,7317,85727,26678,11323,94960,6520,28059,7569,81615,93062,10184,4195,37073,22177,31213,40937,2482
9th Grade,1670827,44064,2516,16741,20016,77312,24816,20532,4599,205,69336,74812,323,9346,66916,53921,16176,22601,43876,40639,5670,17026,33021,55273,22054,26767,40413,8185,8524,17843,9175,24732,5282,63213,74930,7123,103091,16014,22853,127547,7844,27571,5557,48780,105644,29415,3497,48472,46628,16838,29590,3508
10th Grade,2288026,59216,1791,19697,37487,113618,47023,36468,4516,1023,119603,93799,2896,17560,103447,76168,29472,21928,80495,41558,11704,33126,37875,96809,32839,25310,79403,9223,19782,12729,11903,49996,6914,100930,67166,4086,123324,37327,33303,107048,9952,36875,5149,97733,97068,21737,3536,73835,50531,35368,41093,6587
