Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"1st,2nd,3rd,or 4th grade",19957,0,0,0,0,0,0,0,0,438,2141,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,0,0,0,0,0,0,0,0,8713,3565,0,0,0,0,0,0,0,0,0,3102,0,0,0,0,0,0,0
5th Or 6th Grade,18730,0,0,0,0,3357,0,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,2900,0,0,0,0,0,0,0,0,0,0,0,5538,0,0,3887,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,35123,0,0,0,0,3691,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,8960,0,16000,0,0,2462,0,0,0,0,0,0,0,2811,0,0,0,0,0,0,0
9th Grade,31926,0,0,0,0,0,0,8913,0,575,0,5070,0,0,0,0,0,0,1530,0,0,0,0,0,0,0,2118,0,0,0,0,0,520,5160,0,0,0,0,0,0,0,0,0,0,5858,0,0,2182,0,0,0,0
10th Grade,27584,0,0,2374,0,5023,0,0,0,0,5655,1783,0,0,0,0,0,0,0,982,0,3002,0,0,0,0,0,0,0,0,0,0,0,3113,0,0,0,0,0,0,0,0,0,0,2565,0,0,3087,0,0,0,0
11th Grade,80842,0,926,2210,0,4310,0,5848,0,0,9987,5863,0,0,0,0,0,0,1177,1578,0,0,5392,1624,0,1297,0,0,0,0,0,5796,0,20383,0,0,0,0,0,0,0,0,0,0,2928,0,0,0,6357,0,5166,0
12th Grade No Diploma,32723,0,0,0,0,5143,0,9878,0,259,0,6882,0,0,4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,375120,3193,863,8922,0,39753,5193,8692,394,744,32975,6130,0,0,6470,0,0,0,0,1680,0,30484,2841,0,0,1043,9345,0,1286,6362,512,28408,3108,116824,8908,0,16446,0,0,7502,1197,2574,0,4934,2313,1914,0,9255,2652,0,2203,0
Some College But No Degree,144138,0,0,5514,0,22158,0,0,690,892,9138,7023,0,0,0,0,0,0,0,878,0,3931,9488,0,0,610,0,0,0,1183,0,18012,1402,17965,8239,0,0,0,2506,6652,824,4352,0,1981,15471,765,0,0,4223,0,0,241
Assc degree-occupation/vocation,19299,0,0,1407,0,3009,0,0,0,144,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,4364,2363,0,1949,0
