Source: CPS Annual Social and Economic (March) Supplement 201803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Assc degree-occupation/vocation,10970,0,0,0,0,6757,0,1577,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,0,0,0
Assc degree-academic program,14012,0,354,2077,0,7266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",64229,0,0,0,0,40112,0,0,0,314,2942,0,828,0,0,0,0,0,0,0,0,3795,0,2697,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,2337,0,0,0,0,0,2354,0,0,0,5716,0,0,194
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",15302,0,0,0,0,2291,2458,0,0,652,0,0,0,0,2519,0,0,0,0,0,0,2503,1855,0,0,0,0,0,0,0,0,0,0,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,130188271,2322881,234244,2121851,1320362,11653204,2091802,1490240,420040,316821,7821397,4790425,424909,725728,5213357,3073360,1426657,1144943,2116203,2193886,641563,2728745,2982096,4720069,2561580,1454299,2850855,468647,820084,994365,633397,3652151,428851,8187226,4456808,316989,5583431,1436965,1717163,5794187,422384,2412907,353440,3209490,8443180,1284517,297820,3712900,2959841,866056,2656354,237601
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99224981,1612609,197951,1798503,1063970,7589405,1888467,1204250,290193,128564,5796046,2740716,125021,699137,3859810,2688588,1327596,1039235,1915815,1353428,628288,1593197,2469141,3800129,2227975,852580,2429499,461991,747102,755913,596942,2612584,392442,5675497,3156569,300908,4713482,1246922,1595226,4792699,376400,1685750,336629,2559596,5992681,1228916,288584,2546846,2363613,829242,2415014,233320
Children,14830697,254039,36292,195026,161561,1046471,260352,153585,38491,14996,720274,423683,17453,127204,561239,437251,223055,167298,305813,208256,89296,241081,308913,582054,359391,143394,406308,78710,123687,107713,87501,376773,46439,849889,470420,50893,775208,176449,239545,667422,39932,257902,59943,411836,953873,281055,40481,402953,312971,119244,378350,38732
Less Than 1st Grade,97072,1116,0,0,2262,20842,0,0,0,0,3973,1974,0,0,1781,3094,1110,0,6705,1631,0,1796,3573,14316,0,0,0,518,1173,0,0,0,0,2542,0,518,7182,0,1340,0,0,2501,0,2978,6096,3401,673,3977,0,0,0,0
"1st,2nd,3rd,or 4th grade",103463,2944,0,0,1478,16814,0,2553,0,784,3366,0,0,0,0,0,2298,0,6547,0,0,0,12247,0,0,0,2105,0,1331,1149,0,3082,0,10493,3809,0,0,2790,4790,13237,896,0,0,3164,5453,0,225,0,1581,0,0,327
5th Or 6th Grade,166944,5356,0,0,3648,26363,0,3024,312,0,0,2129,0,0,5056,8818,2372,3981,0,4397,0,1930,8808,16037,2936,772,0,0,2227,1149,0,0,0,17668,5299,259,0,4179,1827,2165,3792,0,455,8158,11152,0,482,1325,7734,2805,0,329
7th and 8th grade,1206303,23261,1744,25084,24814,41904,16150,14568,4213,0,23020,28343,0,7239,61452,65826,7587,12156,56496,29713,10984,7214,34681,24259,27762,14884,23554,2590,9292,2077,10040,17429,2168,65294,20720,5053,65102,14641,9895,100853,6590,20343,4058,52427,67597,9821,2276,26196,30797,16099,55757,2280
9th Grade,1441532,34464,2235,35859,30808,72205,14631,19141,4887,351,62520,57351,926,11907,36152,42470,18323,11495,41793,37484,6655,21196,24485,61386,33506,17720,33791,5998,16623,13916,8412,37683,5220,36218,66078,5365,80748,24776,16464,88198,6913,30005,5151,34231,79897,26520,4002,29776,26989,23025,32231,3352
10th Grade,2064780,55331,918,18830,22275,137430,19487,21341,4242,586,103782,40404,407,16145,61676,67705,23485,16797,81120,49351,11715,24559,27917,95549,50061,28483,81309,7121,16299,14020,12892,65371,6908,95880,101723,4890,90509,29155,25829,121315,6768,39561,6787,35826,112444,28360,6335,53222,37357,33444,47225,4634
11th Grade,2266110,47109,1770,33864,22152,110505,36841,30327,6704,549,124595,75262,1452,12976,54327,70825,41955,33442,51719,30255,18312,29750,44264,105859,54941,27628,59628,9729,20322,13274,9656,49380,5521,106996,80906,3528,154637,31084,18474,168830,4421,37286,8395,54968,147830,25914,5296,48359,41940,22833,65297,4223
12th Grade No Diploma,862186,24097,858,22040,15880,91047,16523,2694,3334,188,46484,31583,0,2004,22854,24746,12365,12639,25389,6669,3461,9527,16688,72316,14436,15276,10308,3597,5446,11017,1162,13434,3650,30091,21669,1754,26189,19704,17198,24680,5023,18048,2468,23085,52865,8857,5189,12674,26628,7463,14123,2766
High school graduate-high school diploma,22085390,392597,34322,380010,277117,1272387,287028,231068,73319,2625,1487024,750147,22471,169465,812290,671726,267153,206405,433317,350887,163462,300392,532945,823695,421566,181311,583102,111394,162692,195938,149094,626316,74077,1274025,574664,61388,1287752,325467,312869,1284242,87702,374766,74857,602136,1186431,229231,67141,517083,425487,283318,612558,56931
Some College But No Degree,15191840,250231,36865,302556,158666,1349097,280878,155623,44281,3330,925528,350210,17551,132304,622027,437555,232242,173106,332633,222345,107016,233169,295806,613295,296216,129644,340903,74203,139512,164366,77670,309046,76377,592639,466982,48024,653283,211083,312815,538106,68916,244008,43532,419065,1154529,201515,38649,395905,452642,113836,307463,44597
Assc degree-occupation/vocation,3723604,66012,6033,78818,44638,214634,56360,26397,5392,1017,190979,97502,3819,26730,111923,124206,85910,28899,68297,81977,30806,35816,74485,113726,171292,33271,127025,21105,35235,26619,22480,68424,8429,141974,155861,13639,192018,42477,64345,158961,18156,85326,21854,88987,153912,45643,8854,86616,133067,29260,185656,8742
Assc degree-academic program,5443297,88910,14498,122375,62805,492829,114126,61301,14831,831,380919,123210,3719,37997,160059,108515,97924,42028,94989,51248,25104,57116,153097,204550,147373,64544,110116,17579,26908,37046,33140,128561,19940,383064,199447,25813,203035,43811,92710,300625,12229,75883,23326,164362,280935,87431,20438,87372,139929,45547,142352,16800
"Bachelor's degree (BA,AB,BS)",18817176,239220,38736,357347,171387,1726920,529545,262663,62651,45094,1157125,499104,34719,117885,806442,415844,214431,234371,249943,193515,112821,327038,488449,698080,432362,117117,406842,86936,132677,114621,117242,558660,80370,1133766,626940,58064,798212,214402,311531,822849,72209,312537,60006,440465,1119188,211807,55434,570411,470599,80964,392780,34855
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",8645779,103228,17665,193651,42845,764827,214403,183286,22999,38394,401612,172496,17311,30020,444036,169213,78991,77217,116706,64127,39621,242414,342055,288883,177595,65779,215765,33728,48558,40615,58369,281957,44034,770597,273513,17367,324890,80918,120873,393091,35132,146676,18642,159806,542273,58583,25806,248041,193387,44256,146892,12636
"Professional school degree (MD,DDS,DVM,L",979714,15100,1711,6928,6919,107172,7370,16380,1481,10662,73517,54940,1195,2725,44815,27031,11051,4470,20955,12078,1192,19282,44630,32772,13917,5076,13443,2136,2029,3965,4555,41301,4026,68675,32665,2464,32504,7230,24852,36272,3680,8189,2661,25527,47955,3105,4251,21977,22400,4936,14302,1245
"Doctorate degree (PHD,EDD)",1299094,9594,4304,26115,14715,97958,34773,20299,3056,9157,91328,32378,3998,4536,53681,13763,7344,14931,23393,9495,7843,40917,56098,53352,24621,7681,15300,6647,3091,8428,4729,35167,15283,95686,55873,1889,22213,18756,19869,71853,4041,32719,4494,32575,70251,7673,3052,40959,40105,2212,20028,871
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,21126339,678534,11010,136643,240106,1073325,101582,196961,106749,169115,1735857,1762350,8386,7261,955339,325891,58210,74366,182385,786917,6618,936243,236685,736351,180904,588429,359627,2740,42924,146321,7675,618617,19416,1499831,1163234,10306,747345,147288,42102,738692,30766,703562,7421,578263,1761745,24084,3316,831966,132814,29246,179141,1680
Children,4141492,119083,2895,42826,47966,190119,26985,33785,19881,27359,357520,347830,1362,3371,167803,65137,16809,12442,51271,164866,3617,169988,44850,150513,58952,119297,68593,1428,9367,26594,1575,113672,3574,237705,213110,3504,160309,38662,10651,158656,5130,125383,1526,112081,360037,6610,0,140171,45736,6575,43661,655
Less Than 1st Grade,57830,0,0,3114,0,6145,2503,0,0,218,9688,0,0,489,3954,0,1292,0,0,1411,0,3111,0,5352,4110,1075,0,0,0,1646,0,0,0,0,0,183,2617,4686,0,2730,0,0,372,0,0,0,0,0,2829,305,0,0
"1st,2nd,3rd,or 4th grade",56562,810,0,0,0,0,2286,0,1118,191,3817,3654,0,667,7907,0,0,0,0,3196,0,0,2200,3755,0,0,0,0,644,0,0,1761,0,6326,0,178,0,0,0,0,948,935,0,4893,8942,0,0,0,0,287,2047,0
5th Or 6th Grade,71188,5610,0,3426,797,2611,3394,0,395,454,6444,5267,0,0,0,2323,0,0,1008,1495,0,4049,5078,0,0,1308,0,0,0,0,0,0,0,7981,1840,0,0,0,1667,4678,0,5745,0,1735,1535,0,0,2056,0,292,0,0
7th and 8th grade,305259,9482,0,4969,6370,7638,0,3810,382,831,26823,26425,596,0,10583,7454,0,1202,2366,21078,0,19103,7541,8231,7149,8216,2615,0,1095,0,0,5569,0,24213,16462,0,12843,1257,0,8441,1298,9957,0,8497,20209,0,0,10733,0,0,1821,0
9th Grade,447243,15071,285,0,6474,18076,2755,4217,2959,1993,48010,35439,0,0,23504,14220,2389,5032,6072,15480,0,15413,7280,2124,2985,15637,6386,0,526,1581,545,8354,0,40725,17326,268,9573,2948,2159,8266,1986,13984,610,6248,45442,1929,0,20879,0,289,11804,0
10th Grade,638770,20017,0,3453,12361,14594,0,5719,4241,4752,50956,59715,0,0,32864,5863,3308,0,3406,35741,0,25133,6369,23098,5964,26294,12334,0,1288,3149,0,9144,1076,44136,44800,0,26331,3982,0,32660,656,27649,438,15071,25574,0,0,31896,2986,897,10855,0
11th Grade,805040,33760,1286,4720,10104,12356,0,6044,1992,6384,53936,80498,0,498,61135,16009,2990,2711,4880,48723,0,20564,2407,31018,6389,31101,4878,0,2934,6435,545,27519,0,48819,44423,413,23933,10825,1799,21595,563,43520,446,28844,40276,0,836,43314,8638,977,4003,0
12th Grade No Diploma,392314,15990,275,0,4948,10840,2377,7002,4196,5532,27976,35660,0,0,12189,6192,0,0,1471,21952,0,14864,3930,15820,3199,7893,3988,0,0,3557,0,7790,0,56152,10623,314,5558,3390,0,24312,0,7811,729,22613,17541,0,0,25324,0,0,0,306
High school graduate-high school diploma,4822567,170283,2033,12682,54549,196859,27005,43064,30379,40770,477250,332222,582,428,205216,90290,11340,20809,38646,207449,1967,171179,60934,191776,35084,137024,112702,503,6850,44382,3343,141629,7542,338493,263256,1547,212610,25484,4886,191677,5461,203596,1575,116454,319309,2150,383,176734,18291,7480,56058,352
Some College But No Degree,3666100,121823,1132,25501,31036,313274,7599,42429,16936,28077,227320,293796,2516,0,204199,52641,5704,12773,25745,116247,1034,177137,28457,139998,30959,92225,57378,277,4385,16845,857,79325,2993,232041,220681,1906,130665,25784,10032,119416,6789,117416,1008,113805,347149,4858,709,116869,24014,4386,27954,0
Assc degree-occupation/vocation,711596,21486,0,3220,9857,24451,2544,11330,1782,4305,80887,61596,1253,949,30466,14805,4881,1340,9392,27143,0,22666,9582,15799,7072,25052,16226,0,565,9048,466,28786,0,46861,30943,618,15152,7993,0,16622,412,22148,367,25685,65281,3457,365,20494,2776,2320,3000,153
Assc degree-academic program,1016987,32207,506,6772,6246,40190,7452,10383,5169,4140,104209,94944,0,0,26202,13521,4367,1774,6617,15320,0,45145,8540,42534,8325,31474,16930,0,2133,4587,0,49586,0,81421,68222,450,31030,1449,3254,38349,2032,34666,0,20020,88451,0,229,48027,0,1272,8628,214
"Bachelor's degree (BA,AB,BS)",2566681,75669,1403,12452,25959,137691,13606,15269,8692,25466,173002,250133,2077,420,81515,17325,3887,5398,20767,72646,0,123419,32066,79700,2974,61983,34597,532,10541,20606,344,93283,2903,231828,159288,746,84485,16881,5611,74641,3744,63231,350,64898,282618,3327,794,138043,19747,2564,7560,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1128223,28035,1195,13508,20556,72449,3076,11676,8153,14204,74473,117435,0,0,70528,18506,1243,9280,7938,28097,0,84119,13320,21610,6447,26098,21121,0,2002,3985,0,40222,879,79382,55554,179,20972,3947,2043,31006,788,24927,0,30611,115230,0,0,40256,2210,963,0,0
"Professional school degree (MD,DDS,DVM,L",111887,2992,0,0,1367,0,0,2233,0,2284,4455,6329,0,439,5491,0,0,0,1520,4314,0,13096,1778,0,1295,2956,1879,0,594,1224,0,2631,0,8275,9861,0,2953,0,0,5643,959,0,0,3463,14532,0,0,7274,0,300,1750,0
"Doctorate degree (PHD,EDD)",186600,6216,0,0,1516,26032,0,0,474,2155,9091,11407,0,0,11783,1605,0,1605,1286,1759,0,27257,2353,5023,0,796,0,0,0,2682,0,9346,449,15473,6845,0,8314,0,0,0,0,2594,0,3345,9619,1753,0,9896,5587,339,0,0
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,9836951,31738,25283,186705,16286,2990474,101753,89029,23098,19142,289494,287359,291502,19330,398208,58881,40851,31342,18003,53541,6657,199305,276270,183589,152701,13290,61729,3916,30058,92131,28780,420950,16993,1011898,137005,5775,122604,42755,79835,262796,15218,23595,9390,71631,688754,31517,5920,334088,463414,7568,62199,2601
Children,1557212,5154,4024,42842,838,398364,14690,17442,4408,1238,36384,72580,32670,2958,60421,8152,7503,5868,4092,7936,1956,40983,40524,29275,32847,3072,16054,361,6719,4676,5973,82253,2359,148371,19441,1418,34398,8170,3528,32050,1317,1247,2778,22978,118044,2737,1357,83368,73213,1791,6390,0
Less Than 1st Grade,109608,0,0,2283,0,22508,0,0,0,0,1863,2415,1238,747,0,1614,0,0,0,1098,0,6311,1684,0,9559,0,0,0,0,1274,429,0,0,23005,0,0,0,0,3135,15642,0,1625,0,0,4840,0,859,0,5659,0,1820,0
"1st,2nd,3rd,or 4th grade",90701,0,0,3777,0,37655,5942,0,0,0,4750,3938,0,1748,2053,1490,0,2639,0,0,0,0,4140,0,5202,0,0,0,0,3179,0,1833,1000,2226,1798,438,0,0,0,4206,521,0,478,0,0,0,0,0,1688,0,0,0
5th Or 6th Grade,195548,1035,576,4064,617,70234,5491,0,412,121,8525,1959,6621,700,0,0,1362,1966,0,1982,0,4630,1860,0,1865,0,0,0,732,1039,0,6186,0,42244,2192,0,0,0,1147,4534,1645,0,0,0,9139,0,0,4779,7891,0,0,0
7th and 8th grade,127158,0,308,6587,0,40168,1528,3459,0,213,2266,0,2957,0,2984,0,0,0,0,462,0,0,4376,2286,1603,0,0,0,585,733,0,1813,541,25060,1806,0,0,1071,1417,2188,476,0,0,0,8945,0,317,6706,0,408,5895,0
9th Grade,199931,0,253,2781,0,37436,0,0,0,0,5402,11166,2703,0,10128,1615,1082,929,0,1790,0,11175,5242,0,8009,0,0,0,0,1712,0,8568,419,47312,1972,0,0,3656,1350,4063,0,1316,0,1652,16545,0,0,2047,7161,309,1986,152
10th Grade,180219,2086,1312,1655,0,54974,3148,1964,0,128,6577,8200,3214,468,13150,1995,1195,2940,0,939,0,3454,4637,6444,0,1415,2032,0,0,930,0,5566,0,14463,0,0,0,0,0,6500,479,0,317,0,18418,0,219,4220,1537,0,5643,0
11th Grade,157194,0,1333,2105,0,38799,0,0,0,169,8486,11404,4083,451,4076,3681,1026,0,0,1430,0,1691,2410,3937,2367,655,4220,0,556,1642,594,5588,594,7206,3479,0,1694,2364,1141,4358,567,0,385,0,14348,1794,0,7106,8641,358,2202,254
12th Grade No Diploma,146049,1243,317,2777,0,38113,2204,0,731,0,7136,15475,687,0,0,4737,0,0,0,0,0,0,0,1595,7233,660,0,0,0,846,669,7692,0,24498,2093,0,1833,3659,1440,0,499,0,380,0,4711,0,0,3698,11123,0,0,0
High school graduate-high school diploma,1496383,5876,6709,11610,2829,448146,10859,20682,2100,1364,65986,61952,62174,5364,46550,1685,5991,2877,1977,10134,1593,29593,27170,19589,22306,1318,8852,432,3971,19570,4837,31342,2145,213860,23957,935,16050,6143,10758,40712,3018,0,2407,7301,90109,4340,686,37570,77860,1127,10926,1041
Some College But No Degree,917789,4758,4191,14310,1962,358720,10445,13617,4399,512,19334,14347,42875,1209,39673,7024,3493,0,0,9340,0,10219,17922,10616,9110,600,5568,1335,6978,14220,3449,25545,1373,82805,9615,0,15698,1425,16057,24953,428,6196,0,6968,30776,4369,286,19146,33066,0,8658,199
Assc degree-occupation/vocation,206207,1237,587,0,0,64323,1986,1746,0,0,8178,2085,13427,0,13767,1807,0,0,0,984,808,7769,0,1705,1922,938,0,609,0,3166,0,7563,0,27407,0,201,0,0,0,4412,0,0,327,0,19869,1725,181,5556,11709,0,0,213
Assc degree-academic program,340154,0,1430,14520,1526,104790,1902,1718,577,435,19636,6100,10431,869,7917,4135,3480,3012,0,1881,0,4102,8288,3044,6225,0,1813,0,0,5693,878,12346,1053,32642,6346,0,6084,0,1768,6835,1309,2951,0,0,20931,947,419,8278,23843,0,0,0
"Bachelor's degree (BA,AB,BS)",2459492,6565,3969,46499,6290,845133,19871,17602,3133,8516,59219,46607,80328,2583,105360,9411,8755,8160,8116,12106,2300,52091,87929,52658,24097,3116,16148,573,8211,24408,5431,118387,6097,196947,33139,1333,18287,5369,23623,46682,3728,5730,1481,21633,193570,9225,279,76562,111844,1850,7972,569
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1203164,3784,274,16930,2224,319992,15821,6316,5515,3455,22118,15020,17943,641,76564,5853,3808,2094,0,2350,0,14050,42695,42128,16354,0,4610,271,1543,4002,4288,85638,1412,89422,24288,1236,17435,8399,12000,43739,1231,0,837,9305,104970,3586,839,63608,74764,1308,8331,173
"Professional school degree (MD,DDS,DVM,L",177923,0,0,7331,0,55100,4151,0,356,1571,8684,5604,6651,0,1776,3873,1138,857,0,1109,0,2003,8711,1781,2315,0,0,335,763,992,1097,5440,0,11977,6879,0,4644,0,0,9782,0,0,0,0,12997,0,222,1977,5431,0,2376,0
"Doctorate degree (PHD,EDD)",272219,0,0,6634,0,56019,3715,4483,1467,1420,4950,8507,3500,1592,13789,1809,2018,0,3818,0,0,11234,18682,8531,1687,1516,2432,0,0,4049,1135,15190,0,22453,0,214,6481,2499,2471,12140,0,4530,0,1794,20542,2794,256,9467,7984,417,0,0
