Source: CPS Annual Social and Economic (March) Supplement 201703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th Grade No Diploma,324900,14222,0,3088,2752,15979,0,0,3157,2937,24626,14670,824,0,13916,2571,0,1433,7095,27186,0,6749,6202,1914,1632,8888,3416,0,0,0,0,3582,940,51960,12036,0,9015,1399,0,15315,1983,13147,213,7504,27465,0,0,11623,0,2200,3261,0
High school graduate-high school diploma,4785781,176427,2438,35558,57352,244677,31950,48417,27893,42733,390029,409661,1744,1023,210819,97850,9867,29753,51393,179599,0,192655,46286,192290,14253,142787,49264,1302,4940,39493,1211,112116,4045,327754,280354,3304,159346,29807,13945,193644,11484,148402,3590,151138,339818,5809,942,194891,23178,9176,38606,768
Some College But No Degree,2898251,99518,2690,18372,33058,191070,29270,20252,12097,19794,231238,195894,2531,1019,110434,37764,4400,14157,35051,90286,1299,112334,34838,122859,37191,65559,57259,943,4674,24985,316,101173,5074,218018,144481,1020,128803,12015,3974,93023,2553,70079,1512,82152,287774,1942,599,80570,28397,5000,18940,0
Assc degree-occupation/vocation,465706,20861,1133,5356,4402,34650,4524,6128,521,2552,16462,35994,0,0,28499,0,1115,1079,6431,13737,0,25693,2822,6862,3508,18178,12414,209,1375,4320,0,0,1614,28478,26689,436,5016,0,1633,27688,1756,18122,0,12796,63087,0,0,14060,0,786,4536,184
Assc degree-academic program,661640,22731,1553,0,3904,46816,4563,4757,3499,3526,47709,66530,1407,0,51113,10228,2234,2457,2270,19347,0,21732,6602,16995,2916,13608,13892,210,1247,2066,363,25633,0,62676,30556,552,9555,8441,0,15418,631,15243,429,17680,69203,0,206,18569,10260,2152,0,161
"Bachelor's degree (BA,AB,BS)",1815076,35922,217,17372,9532,147205,17700,19857,5658,17251,145231,138042,1195,897,102721,18598,6411,7766,11182,35052,0,90728,38757,36036,25590,18796,22477,583,3860,8828,1072,63847,6536,148712,113250,1790,60289,16190,3081,33034,2253,41689,813,50454,170397,2108,186,83971,8993,2203,20542,202
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",656978,13097,0,4997,1787,39958,8824,9059,3010,8318,53854,51780,796,0,45630,5722,0,1015,4994,15522,0,60503,7705,17018,6451,11603,7642,0,2272,3603,1040,17200,877,46723,10817,0,20585,6225,2749,18167,891,23483,0,12749,59191,1887,442,25048,21820,0,1924,0
"Professional school degree (MD,DDS,DVM,L",63739,1787,0,2155,0,7029,0,0,534,2341,6161,8410,0,0,8320,3237,0,0,0,914,0,0,0,2018,0,1710,0,0,0,4254,0,0,0,3540,4375,0,0,0,0,0,0,0,0,2341,0,0,0,0,4613,0,0,0
"Doctorate degree (PHD,EDD)",128015,10747,0,0,5172,10715,0,0,495,1573,2410,13498,797,0,11818,0,0,1498,2083,2562,0,6552,8481,0,1469,628,2592,0,0,1274,0,5371,0,9711,2191,0,0,1348,0,1890,0,5399,0,4237,9727,0,189,2308,0,1280,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,8780601,20425,12413,112567,29461,2779769,111785,86321,15867,13087,271985,206731,248561,12882,375344,54642,37635,29828,36041,36651,4358,148373,236747,179881,86552,8220,72512,2047,21973,107085,14631,466216,14235,827129,122962,5441,118633,34903,71935,239309,19881,52147,5421,61005,644702,19860,4319,251314,346850,6001,93090,874
Children,1558535,4023,1590,14121,5993,415700,24015,14775,3279,630,59328,28589,26992,3469,89900,11822,9427,9908,1023,6087,1763,23646,43296,35700,15459,637,14077,173,4943,22126,2340,106388,2149,142992,18765,1477,18109,14521,5531,50647,5079,10735,2086,13565,143299,6190,1416,48746,55467,521,16021,0
Less Than 1st Grade,33302,0,325,0,0,13616,0,0,0,0,2115,0,1008,389,0,0,0,0,1192,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,2366,0,234,1727,1079,0,5118,0,0,0,0,0,0,0,0,1726,0,1307,0
"1st,2nd,3rd,or 4th grade",52139,0,0,0,614,13862,0,0,355,0,0,5666,1515,0,4638,1712,1333,0,0,0,0,0,1604,0,0,0,0,0,671,0,0,5298,0,7187,1948,0,0,1079,0,0,0,1291,0,0,1769,0,0,0,1597,0,0,0
5th Or 6th Grade,78148,658,268,0,1266,26062,1849,0,0,0,0,3788,3327,0,0,0,0,1115,1432,0,0,1565,0,0,0,0,1788,0,0,718,0,0,0,21344,0,247,0,0,0,5198,0,0,0,0,2165,0,0,0,5358,0,0,0
7th and 8th grade,123696,0,303,5873,0,31748,1959,0,0,0,0,3389,2810,626,1780,1645,1723,907,0,0,0,2653,4010,2061,0,0,5267,0,578,1841,390,8360,0,30292,2026,346,0,880,0,0,0,0,436,1720,6469,0,0,0,0,0,3604,0
9th Grade,127286,0,204,0,0,51376,3359,2212,823,172,4136,2993,4558,0,3499,1942,0,0,939,739,0,3564,0,1728,0,0,1665,302,0,890,799,6690,0,7753,1861,0,0,1079,1018,0,0,1269,0,0,9054,0,0,3055,9315,292,0,0
10th Grade,164756,883,189,9196,868,43740,1721,1038,0,198,4015,8342,4155,0,11947,0,868,2698,1966,822,0,8911,2935,3187,2457,527,4084,0,0,3082,0,3525,0,12432,2892,219,0,1289,1377,4034,0,3094,0,1440,9769,719,0,2187,3950,0,0,0
11th Grade,150551,0,656,0,0,56868,0,1206,0,165,1389,4065,3226,548,6097,0,0,0,2257,772,0,0,1158,1579,6171,0,0,0,0,1441,0,1586,0,19615,4823,0,1908,0,5021,2114,0,0,0,0,14032,0,0,3982,8042,0,1830,0
12th Grade No Diploma,90953,965,0,1609,0,26138,0,3402,0,0,7176,0,2316,0,2513,0,0,0,1702,1673,0,0,0,0,0,1250,0,0,992,2500,367,0,462,20378,4261,0,0,2173,1722,2148,0,0,0,0,5436,0,0,0,1770,0,0,0
High school graduate-high school diploma,1322084,1855,4367,8291,6709,397163,31423,10413,1311,2206,49572,37805,64690,2149,40154,6099,5315,1070,970,7061,731,17683,39003,28639,11362,3492,7053,0,6755,27429,1076,31050,2536,156745,20120,624,23626,3855,10986,43019,1413,6849,535,12704,57386,3620,0,42281,63941,2496,16452,0
Some College But No Degree,1090884,0,1545,21099,2797,461698,12878,1928,1352,915,23663,30153,33878,1499,30840,3689,5282,1998,11575,5536,0,20093,23176,19867,18889,825,4177,363,746,13639,629,26908,656,52304,17383,1249,12538,5249,18643,32507,2134,9437,0,1766,58238,2224,379,38520,48972,449,6468,131
Assc degree-occupation/vocation,123557,0,720,8332,0,37133,0,0,0,0,3942,2080,16792,405,8030,0,0,0,0,0,0,3540,1660,6105,0,0,1500,0,0,3436,0,0,0,6619,2197,195,0,0,0,0,0,0,906,0,7760,0,261,3524,6128,0,2292,0
Assc degree-academic program,249605,1008,280,2082,660,91673,0,7307,0,159,8302,6344,15863,0,6470,1826,1282,2013,2109,776,0,9256,1557,2501,2294,0,2408,0,0,7470,889,9198,884,25041,6348,424,0,0,0,0,903,0,0,0,16380,949,204,2155,9179,0,3411,0
"Bachelor's degree (BA,AB,BS)",1894687,8142,1014,21475,3715,658566,10586,23618,5178,3021,65661,43756,55095,1916,88383,13310,6164,4329,2836,6639,600,18690,38547,29924,18440,545,23644,380,1337,18635,3437,135600,5676,185722,19460,193,15566,1490,13293,43202,4991,10747,844,10991,120146,1788,1134,61439,62811,1469,20340,202
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1200044,2891,704,15356,6173,304841,20008,12546,1902,2360,25157,26796,9939,1881,53252,6288,3538,5790,3880,3901,575,29234,60329,35965,9510,0,5330,829,3062,2411,4291,113314,927,79513,15105,233,29604,1229,5519,30990,3339,2598,0,12352,142211,2713,725,34607,56608,389,8938,391
"Professional school degree (MD,DDS,DVM,L",139046,0,248,3152,0,27776,0,2774,982,1986,1640,2965,879,0,6431,2758,1280,0,4160,2645,0,0,4246,8852,0,0,1519,0,0,0,0,0,0,25025,1911,0,0,0,0,9185,666,2878,0,2997,17437,0,200,0,1845,385,2224,0
"Doctorate degree (PHD,EDD)",381328,0,0,1981,666,121809,3987,5102,685,1275,15889,0,1518,0,21410,3551,1423,0,0,0,689,9538,14126,3773,1970,944,0,0,2889,1467,413,18299,945,31801,3862,0,15555,980,8825,11147,1356,3249,614,3470,33151,1657,0,10818,10141,0,10203,150
 -> Total -> Total Female,156788645,2436633,256381,3336028,1455151,18439889,2616083,1731302,475708,346467,10403839,5153328,452460,820170,6297765,3253413,1526777,1346495,2183064,2326975,640613,2974803,3393885,4896010,2635598,1491347,2925589,471906,920483,1360647,651128,4490704,866894,9827407,4974415,330001,5676516,1643974,1954684,6283080,510725,2503799,373317,3338682,13648625,1452897,302742,4096816,3369356,894264,2759457,270353
 -> Total -> Total Female -> Total Hispanic,27054452,88182,19372,1161288,100800,6959061,465142,273018,54119,31208,2717700,487738,30643,101100,1048282,160550,92609,172860,86138,105902,13572,281636,401712,254448,143539,36492,87217,12870,116794,348196,15025,733083,445892,1696963,491918,9659,225125,187676,291035,399081,73872,115338,11345,166725,5064180,206765,2568,381767,454417,8952,196479,24399
 -> Total -> Total Female -> Total Hispanic -> Total White Only,25310867,88182,16024,1157945,98053,6621790,447404,226855,48741,26882,2532830,451586,19495,100362,988782,160550,91108,172860,74991,96462,12549,225698,321701,247532,143539,33205,81734,12870,111417,325472,14040,668375,440349,1298109,465906,9659,197785,185748,291035,351569,63579,89664,11345,156877,4965435,192435,2332,332498,426603,8952,178664,23289
Children,6564451,34916,5256,324366,28173,1620332,107703,70639,14032,5362,512245,131233,2527,29073,276120,43525,29261,59127,21420,25776,3098,67687,75662,71903,50348,10527,29524,2803,30209,84538,4070,142816,103579,279303,154879,4204,62407,66982,89199,106163,15172,30515,4375,55051,1340416,58386,620,75104,145516,1836,50077,6396
Less Than 1st Grade,181949,0,0,2977,1631,74126,1820,1342,0,560,4818,3397,0,851,4358,2737,0,1557,0,0,0,8867,0,0,0,0,0,0,543,0,0,3077,773,1709,2584,0,2228,0,1161,0,0,0,593,1233,49043,0,0,3738,5963,263,0,0
"1st,2nd,3rd,or 4th grade",488270,704,0,27371,3739,177183,4697,0,345,921,20692,12179,0,739,19076,4605,1936,735,1167,2271,0,0,7465,2149,3303,695,3849,0,2858,5549,0,3325,4821,37374,7098,0,0,1889,7530,7385,1696,0,0,4537,86844,3149,0,8475,5932,274,3383,330
5th Or 6th Grade,1080252,5812,192,46380,5507,361437,11242,7065,3663,1168,82996,19456,294,4910,51613,7380,5250,2671,1440,2866,0,8248,9380,10426,9555,1233,3320,0,4344,8231,0,31214,15801,53468,18189,164,4611,8532,18444,6931,2779,2415,0,6050,197701,2239,0,15667,14865,0,4422,681
7th and 8th grade,836003,2815,254,38742,4175,218470,10615,2669,3377,1030,51065,14436,308,2736,24527,5517,0,10348,7839,1723,0,9837,15228,8065,3083,599,0,752,8426,4673,330,29100,9591,59591,13609,156,6815,7095,9849,10810,3083,4520,0,5712,185305,2755,307,13988,14979,0,6362,737
9th Grade,1072470,4431,363,62569,6086,278220,17598,11250,3176,497,70094,14717,0,3471,36401,9991,6921,9258,3322,5822,0,6028,9582,8070,4591,739,6820,155,6559,11288,737,18643,18837,42708,24937,186,6957,5459,16085,5363,3938,4086,423,11439,258905,9237,0,17152,17200,0,11335,824
10th Grade,899934,3455,274,41883,2760,207788,15832,10082,0,787,57536,30611,226,6502,37698,8492,2816,7067,1372,6256,0,8381,8950,15944,1824,401,0,349,8053,9054,294,10621,14843,35972,19233,0,10427,8055,12106,15911,3378,1246,229,4492,231943,6596,0,6861,15323,561,6185,1265
11th Grade,836620,1618,193,53936,3345,234722,19576,12817,658,793,69527,19560,589,4528,19738,1744,2843,9501,3397,0,0,0,7445,9245,5242,0,0,620,5161,11603,1600,14348,16715,25657,14897,0,5658,4084,9467,14408,1120,3653,2207,0,171515,6026,0,17321,20813,318,7598,814
12th Grade No Diploma,559491,2095,0,46850,2669,176290,3308,5644,1498,254,56401,12321,0,762,21666,4024,927,3037,1567,3141,0,3425,3856,9810,3192,477,1678,383,1284,10571,0,16130,10214,23100,7752,390,1534,0,8482,4012,0,1329,277,6511,84272,3575,0,4171,7720,290,2095,507
High school graduate-high school diploma,5130240,8360,2881,200561,20596,1366434,121110,42699,6891,1713,534543,89140,4604,20050,170046,37395,23860,26106,16635,16989,5952,52465,83411,37409,30466,5409,20011,3354,24354,91816,3524,173006,104490,261819,86094,1312,40530,44788,46925,82318,13841,14022,2178,33820,956101,40126,218,46258,67820,1214,37557,7019
Some College But No Degree,3227187,12825,3412,142146,11631,968494,52420,23655,6186,1863,269842,33719,6009,14808,177011,10873,1077,18981,2999,15735,468,23247,38328,27212,14263,5885,7818,2438,10962,47071,665,85308,62552,165674,47001,1097,25192,19192,38271,28068,9165,9047,212,13610,625741,23449,567,43570,54513,1518,19162,2235
Assc degree-occupation/vocation,646578,939,482,29203,0,151002,10207,4707,512,409,67622,3660,0,1561,12169,7686,3842,3506,0,2933,1854,3652,6539,6938,3369,678,1687,617,656,5031,477,11547,14239,37456,5979,397,3252,950,1831,9306,561,6715,0,2795,174814,13678,0,12296,11161,291,7233,139
Assc degree-academic program,864045,1755,397,26404,0,216716,10213,5256,1539,175,178155,9326,940,3285,30073,3819,5736,8453,4981,0,672,1877,15264,8435,6000,0,2794,0,642,5639,777,16477,14703,64215,8531,230,5764,5836,8473,10940,1180,2224,305,1524,135838,4432,0,14683,10716,258,7513,880
"Bachelor's degree (BA,AB,BS)",2120229,5927,1717,88085,4637,435160,41087,21398,4165,5536,406893,47307,2440,5958,64676,8241,5664,9126,8852,11424,505,17130,24275,22411,8303,5351,2714,1093,6683,26896,1566,81066,33331,122000,36820,1243,20406,9985,13004,35551,6840,6574,0,7457,366539,14282,0,35039,21957,1532,10240,1143
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",629305,1767,418,17384,2083,106938,15370,7632,1905,3936,116352,8589,1252,741,36766,4521,975,3387,0,814,0,12238,8352,3602,0,540,0,306,683,3512,0,25231,13316,73019,15185,0,0,1711,5769,7526,826,3318,546,2646,85822,4505,620,14493,8742,279,5502,186
"Professional school degree (MD,DDS,DVM,L",64923,0,0,2992,519,18073,3041,0,484,1616,10338,0,306,387,3125,0,0,0,0,0,0,0,2837,0,0,0,1519,0,0,0,0,1700,2067,1609,0,0,2004,1190,0,4053,0,0,0,0,3471,0,0,1874,1718,0,0,0
"Doctorate degree (PHD,EDD)",108920,763,185,6096,502,10405,1565,0,310,262,23711,1935,0,0,3719,0,0,0,0,712,0,2616,5127,5913,0,671,0,0,0,0,0,4766,477,13435,3118,280,0,0,4439,2824,0,0,0,0,11165,0,0,1808,1665,318,0,133
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1464835,0,1955,3343,1058,194353,17738,36053,5378,4326,182802,36152,2490,738,41858,0,1501,0,11147,7726,1023,48247,75702,6916,0,3287,5483,0,5377,14658,985,61654,4878,375142,23793,0,27340,1928,0,47512,10293,25674,0,9848,76228,3489,236,49269,21069,0,15076,1110
Children,360153,0,0,0,0,39955,5772,10518,0,1079,52789,6239,1061,0,10229,0,1501,0,4646,2591,0,0,26288,6916,0,0,0,0,2731,8219,512,6296,0,76209,10327,0,7875,1928,0,7749,1676,12497,0,5083,23972,2032,0,13510,3023,0,6676,254
Less Than 1st Grade,9651,0,0,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",9840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,2696,0,0,0,0,0,0,0,0,0,0,0,0,2085,0,0,0,2841,0,0,0
5th Or 6th Grade,31046,0,0,0,0,4894,0,0,0,0,5836,0,0,0,0,0,0,0,2244,0,0,0,4202,0,0,0,0,0,0,0,0,3134,0,7324,0,0,0,0,0,0,0,1208,0,0,0,0,0,2204,0,0,0,0
7th and 8th grade,56304,0,0,0,0,1891,0,2122,0,254,2825,5679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,0,0,0,0,8900,0,24794,3840,0,0,0,0,0,0,0,0,0,2960,0,0,0,0,0,0,0
9th Grade,54053,0,0,0,0,12552,0,2324,0,0,0,5876,0,0,0,0,0,0,0,0,0,5576,0,0,0,0,0,0,0,0,0,0,0,13049,3138,0,0,0,0,2948,1120,1275,0,0,6195,0,0,0,0,0,0,0
10th Grade,68000,0,0,0,1058,0,0,3344,0,0,7855,8219,0,0,3203,0,0,0,0,992,0,7093,4362,0,0,0,0,0,0,0,0,0,0,26135,0,0,0,0,0,2543,0,0,0,0,3196,0,0,0,0,0,0,0
11th Grade,65225,0,460,0,0,15649,0,0,0,431,15484,2759,0,0,0,0,0,0,0,0,0,4355,0,0,0,0,0,0,0,0,0,0,0,17830,2612,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,2283,596
12th Grade No Diploma,32429,0,0,0,0,5406,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,4821,0,0,0,0,0,779,0,0,2710,0,14243,0,0,0,0,0,0,666,0,0,0,3557,0,0,0,0,0,0,0
High school graduate-high school diploma,299742,0,646,0,0,33606,5791,4536,2561,1070,51727,5303,0,738,18166,0,0,0,0,2085,0,5988,14749,0,0,0,0,0,1867,4783,473,14981,715,63527,2060,0,9467,0,0,15053,1510,4386,0,3221,12199,0,0,9440,9094,0,0,0
Some College But No Degree,196242,0,494,0,0,37232,3084,5750,933,0,20690,2077,959,0,10260,0,0,0,0,997,0,7991,6755,0,0,0,0,0,0,0,0,8816,2063,41894,1816,0,7364,0,0,5533,2334,4706,0,0,6074,0,0,16527,0,0,1893,0
Assc degree-occupation/vocation,27160,0,0,0,0,8683,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,3145,0,0,0,2247,0,0,0,0,0,0,0,7756,0,0,0,0,0,0,0,0,0,0,2779,0,0,0,0,0,2005,260
Assc degree-academic program,67587,0,0,0,0,11999,0,2590,0,0,2367,0,470,0,0,0,0,0,0,1061,1023,5264,0,0,0,0,0,0,0,1656,0,2804,749,30784,0,0,0,0,0,0,1390,0,0,0,0,0,236,5194,0,0,0,0
"Bachelor's degree (BA,AB,BS)",127147,0,0,0,0,16324,3091,4869,1404,206,17649,0,0,0,0,0,0,0,0,0,0,6503,3044,0,0,0,0,0,0,0,0,2643,1351,47066,0,0,0,0,0,8765,938,1602,0,1544,6297,1457,0,2394,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",49646,0,355,0,0,3102,0,0,480,754,5580,0,0,0,0,0,0,0,0,0,0,2332,9263,0,0,1040,2444,0,0,0,0,2366,0,4531,0,0,0,0,0,2155,0,0,0,0,6914,0,0,0,6111,0,2219,0
"Professional school degree (MD,DDS,DVM,L",4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",6353,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,278750,0,1393,0,1689,142918,0,10110,0,0,2068,0,8658,0,17642,0,0,0,0,1714,0,7691,4309,0,0,0,0,0,0,8066,0,3054,665,23712,2219,0,0,0,0,0,0,0,0,0,22517,10841,0,0,6745,0,2739,0
Children,59777,0,0,0,953,27245,0,0,0,0,0,0,1667,0,7800,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,2144,0,3054,665,3242,0,0,0,0,0,0,0,0,0,0,9390,1903,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,2479,0,0,0,0,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,5186,0,0,0,0,3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0
9th Grade,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0,0,0,0,1379,0,0,0,0,0,0
10th Grade,11262,0,0,0,0,5345,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,1211,0,0,0,0,0,0
11th Grade,12385,0,0,0,0,5301,0,3535,0,0,0,0,0,0,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0
12th Grade No Diploma,5269,0,0,0,0,5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,63179,0,1393,0,736,26614,0,4656,0,0,0,0,2347,0,4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,7127,0,0,0,0,0,0,0,0,0,0,7383,2818,0,0,4283,0,0,0
Some College But No Degree,54074,0,0,0,0,36747,0,0,0,0,2068,0,654,0,2674,0,0,0,0,0,0,7691,0,0,0,0,0,0,0,1109,0,0,0,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,2520,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,10468,0,0,0,0,6817,0,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",34890,0,0,0,0,20723,0,1919,0,0,0,0,1968,0,0,0,0,0,0,0,0,0,2548,0,0,0,0,0,0,0,0,0,0,2532,0,0,0,0,0,0,0,0,0,0,2738,0,0,0,2462,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",9904,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0,0,0,0,0,0,7680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",3759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,2739,0
 -> Total -> Total Female -> Total Non-Hispanic,129734193,2348451,237009,2174740,1354351,11480828,2150941,1458284,421589,315259,7686139,4665590,421817,719070,5249483,3092863,1434168,1173635,2096926,2221073,627041,2693167,2992173,4641562,2492059,1454855,2838372,459036,803689,1012451,636103,3757621,421002,8130444,4482497,320342,5451391,1456298,1663649,5883999,436853,2388461,361972,3171957,8584445,1246132,300174,3715049,2914939,885312,2562978,245954
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99281691,1636272,204575,1900163,1088166,7393916,1949640,1199687,296761,126657,5764109,2696644,123998,694827,3942931,2708822,1349890,1054739,1905949,1391081,613055,1614800,2495372,3755283,2199065,852036,2396861,452762,736652,767456,615816,2637972,380476,5642452,3148188,305779,4582788,1255230,1546224,4889393,384743,1639322,346631,2499670,6161585,1197493,291999,2628146,2418886,850072,2304141,242516
Children,14929808,247635,35328,251011,175705,983608,300489,137034,40556,14302,676543,425539,15767,129704,592893,478831,223530,174822,312820,219709,80411,251478,346345,567470,365663,138617,393961,69928,123732,110998,87787,396279,44131,823128,456499,50886,724075,187532,194300,714022,48966,262009,63271,386748,1024014,270389,41311,397981,338106,133171,355278,45496
Less Than 1st Grade,73230,1014,0,3558,1393,10836,0,0,0,0,2070,4058,0,399,0,6037,0,0,0,4250,699,1655,4499,1656,0,0,0,0,0,0,0,1786,2018,3508,0,600,1860,1851,0,4174,876,2342,0,3992,3681,0,0,4075,0,0,0,343
"1st,2nd,3rd,or 4th grade",123036,1611,0,1594,3463,15373,0,0,281,0,13827,0,0,761,0,0,0,1205,0,2035,0,0,12448,0,0,0,0,329,0,0,0,8225,825,14821,6592,0,3368,2554,0,15663,3573,0,0,0,1721,2390,339,7060,0,638,2340,0
5th Or 6th Grade,177432,12299,0,5509,7097,8825,2459,1575,0,0,6942,3846,0,1262,6914,0,0,3349,2384,4548,0,3343,0,10310,0,1046,1756,0,622,706,1451,6439,0,6552,6229,299,7027,3613,1353,13196,429,0,0,5506,10567,671,0,14538,7649,4508,2454,159
7th and 8th grade,1199705,28634,870,13537,14691,39718,10500,13580,3221,159,36224,20111,1090,5005,52095,70642,13755,10388,53982,31797,7338,21765,19226,35468,29743,15194,51957,4302,7537,7068,9049,26512,3495,56517,33847,5530,69542,8357,15585,37282,5958,26467,5114,50359,80686,9820,3815,24035,34088,24057,48565,1428
9th Grade,1548921,49715,2226,15594,22235,78066,25266,18553,3390,211,51483,66802,0,12111,47154,60156,18383,14067,43647,46369,7748,18808,21473,62795,19175,13289,60468,7009,15065,13656,10260,23190,6948,72976,60876,3571,79881,11706,18346,69246,9096,35173,4274,53347,75628,31327,4879,44401,49148,21430,45075,3229
10th Grade,2090560,46200,3809,24374,22547,77177,36560,32323,4927,177,103074,61065,1015,17074,71244,77270,19053,26629,62617,43196,14923,27866,48749,68900,49376,24467,79501,8290,17243,14207,12836,56901,6440,101552,84867,3372,78123,40669,25004,135187,4088,48374,6499,61067,129414,31859,6447,49861,55733,25912,39046,3456
