Source: CPS Annual Social and Economic (March) Supplement 201403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some College But No Degree,2870000,83611,1392,0,13531,286414,5037,44725,12928,31077,166489,233031,3982,0,196505,41125,3758,10841,29119,98538,1230,156713,0,89195,19380,55660,71329,1482,3049,19495,3234,51327,0,122347,109507,1559,47278,25780,7914,74854,5989,38321,1421,69517,361706,23014,951,171166,33945,0,40534,0
Assc degree-occupation/vocation,328566,12895,0,5970,2560,5253,0,11324,0,1280,6531,20509,0,0,0,0,0,0,8300,0,0,7880,0,0,2541,3731,8597,0,0,6931,0,0,0,29479,14899,0,38333,3819,2849,12758,1632,3920,0,9360,64440,0,0,28989,6670,0,7116,0
Assc degree-academic program,624476,4897,0,0,6504,71242,0,4370,3367,6959,115148,35524,0,2041,18164,0,0,2765,0,15559,0,11567,33499,8095,4784,8136,4428,0,0,12103,0,5219,0,62980,25197,0,21632,0,0,18240,0,18271,711,22622,58159,0,0,17855,4438,0,0,0
"Bachelor's degree (BA,AB,BS)",1434128,33063,2842,26845,15538,75466,7210,4557,5274,13088,58416,128117,775,0,76004,15198,6412,3316,7038,22539,3345,91216,17363,33634,16780,17967,17072,0,6924,16854,934,33890,1951,179052,86177,0,40406,3021,0,66358,0,20127,0,38925,121461,3512,1101,82903,5285,2750,23422,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",556853,7768,0,0,3552,46939,2908,0,3003,10981,40128,27982,0,0,27094,9231,0,0,4582,9740,0,32965,14128,3562,8923,12271,5283,0,0,12574,1539,28227,0,77783,9930,0,15701,2434,2476,7491,0,29830,0,21314,32588,0,0,28312,11420,4194,0,0
"Professional school degree (MD,DDS,DVM,L",64836,0,589,0,0,12607,0,0,0,1959,0,0,0,0,6000,0,0,0,0,7683,0,9778,0,0,0,0,0,1800,0,0,0,0,0,5252,0,0,0,0,0,7028,0,8004,0,0,0,0,0,4136,0,0,0,0
"Doctorate degree (PHD,EDD)",72371,0,0,0,0,4235,0,1480,905,492,9612,26341,0,0,0,0,0,0,0,5010,0,8474,0,0,0,0,0,0,0,0,0,0,0,0,5135,0,0,0,0,5836,1360,0,0,0,0,0,0,3491,0,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,7897177,34312,10004,126947,13642,2526010,81168,142178,19005,5772,262747,161221,213482,14829,203213,47022,54342,44132,18318,41783,6876,164087,228423,115848,186185,37673,39004,0,20092,109637,12540,415722,4080,869410,119060,7043,37731,47067,54749,132144,38367,43604,3725,21367,567559,42888,1782,209712,275599,0,62759,2317
Children,1482352,3614,532,29671,5205,431232,11062,24022,4791,553,50547,53998,21641,2724,19954,8773,9629,6017,5931,0,953,33422,24208,19883,70529,9688,4277,0,3920,29625,3599,79756,0,157253,19489,2187,8701,17243,12268,34374,18079,7988,531,3566,81023,19356,0,31217,69054,0,29542,725
Less Than 1st Grade,80640,0,0,8132,0,22030,0,0,0,0,0,0,1689,0,4813,6373,0,0,0,0,0,0,6248,0,0,0,0,0,0,0,0,0,0,18713,0,0,0,0,0,0,969,0,0,0,11673,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",49107,0,0,0,0,8815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535,0,0,0,0,0,1740,0,0,0,13338,6431,696,0,0,0,0,0,4396,0,0,0,0,0,0,0,0,9156,0
5th Or 6th Grade,39099,0,0,0,0,11298,0,0,0,0,0,0,6408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9335,0,12058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,96064,0,1416,0,0,12675,0,4696,0,1089,6654,6277,2449,0,5491,0,0,0,0,0,1624,0,17135,0,2482,0,0,0,0,0,0,8524,0,3691,4471,0,0,0,0,0,1592,0,0,0,13807,0,0,1991,0,0,0,0
9th Grade,134076,0,0,0,0,27890,0,9277,0,0,26465,0,2590,0,0,0,2226,2306,0,0,0,7667,5431,0,0,0,0,0,0,1783,0,10166,0,28142,0,656,0,0,0,0,441,0,0,0,4616,4420,0,0,0,0,0,0
10th Grade,145319,0,716,5102,0,33588,0,9376,0,0,6646,5353,5415,0,3404,0,0,2130,0,0,0,5425,0,0,0,0,0,0,0,0,0,22974,0,16180,0,0,0,6157,0,0,1717,0,0,0,10951,0,0,3030,7155,0,0,0
11th Grade,167764,0,0,0,0,25428,0,8366,0,0,0,6357,3853,3686,0,0,7763,2225,0,0,0,0,0,0,8442,6502,0,0,0,0,0,11243,0,24877,0,0,0,6157,0,0,0,0,0,0,42526,0,0,3243,7096,0,0,0
12th Grade No Diploma,121075,0,905,5102,0,38489,0,2317,0,0,5374,2808,0,0,4002,0,0,0,0,0,0,0,5735,0,12386,3905,0,0,0,0,0,0,0,22315,0,0,0,0,3203,0,0,0,727,5504,0,0,0,0,8303,0,0,0
High school graduate-high school diploma,1058933,0,2505,14792,2506,296516,34824,15515,668,0,50902,0,51672,4115,9953,7167,12558,10740,12387,0,953,21465,10894,24672,19368,0,0,0,2772,29878,0,50107,4080,147017,24348,1762,11210,6796,6724,29147,4347,0,0,0,61854,2489,0,27506,35635,0,8357,732
Some College But No Degree,959562,0,0,28496,0,388093,3489,24467,2572,0,30491,14447,31013,0,28726,0,6486,7543,0,0,3346,14596,40416,16696,8048,0,3994,0,0,20951,1562,25213,0,105704,14884,610,9132,0,0,21383,0,7129,726,0,38328,0,0,32194,24873,0,3954,0
Assc degree-occupation/vocation,168799,0,1357,0,0,56208,0,0,0,0,0,0,14901,0,0,0,0,0,0,3876,0,2958,0,0,0,0,0,0,0,6692,0,0,0,43790,0,0,0,0,0,6618,1615,0,0,0,13765,0,0,17019,0,0,0,0
Assc degree-academic program,180283,0,905,0,0,77395,0,0,0,0,14135,0,14023,0,0,0,0,2285,0,0,0,0,11241,0,0,0,5312,0,3250,1671,0,5234,0,29234,0,0,0,0,2739,0,838,0,0,0,7594,0,0,0,4427,0,0,0
"Bachelor's degree (BA,AB,BS)",1762977,30698,721,14102,5931,739789,19495,26332,4861,1619,39961,16890,39848,2783,39596,7979,6647,4276,0,0,0,32490,31460,13721,31814,11871,15374,0,5244,7953,2476,86461,0,147735,28380,1132,0,10714,20989,18752,4321,10661,1741,5463,121990,11056,743,65632,61129,0,11750,397
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",960253,0,0,11172,0,241942,12298,17810,2309,2511,19378,36632,11765,0,58507,7577,6545,4479,0,0,0,16318,45930,29682,30354,3030,4748,0,4906,4595,3143,94587,0,60253,8667,0,4331,0,5757,16257,4448,13430,0,6834,94072,5567,1039,21969,47411,0,0,0
"Professional school degree (MD,DDS,DVM,L",156513,0,0,10378,0,6685,0,0,1645,0,6859,6941,5287,0,9749,0,2488,0,0,0,0,4189,18546,6659,0,2677,5299,0,0,0,0,12122,0,21451,4640,0,0,0,3069,5613,0,0,0,0,22216,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",334361,0,947,0,0,107937,0,0,2159,0,5335,11518,928,1521,19018,9153,0,2131,0,37907,0,25557,11179,0,2762,0,0,0,0,4749,1760,0,0,17659,7750,0,4357,0,0,0,0,0,0,0,43144,0,0,5911,10516,0,0,463
 -> Total -> Total Female,153814188,2424558,269586,3097732,1438739,18281785,2534443,1800945,470076,324902,9773061,4893952,371961,768356,6357423,3228491,1506020,1349231,2127788,2293485,661022,2927854,3282533,4943278,2612091,1516630,2956486,472918,905532,1237183,641000,4429305,942976,9940102,4836476,315453,5707095,1602043,1853107,6367764,501029,2399858,374422,3177029,12898980,1412245,302048,4114869,3187024,898822,2815649,268831
 -> Total -> Total Female -> Total Hispanic,25426922,110885,12654,1161788,108089,6790540,436435,274852,45981,29069,2391904,386579,12173,103547,912530,115327,59639,155721,67183,130960,9522,269436,248133,155561,104598,29095,102544,23114,100855,276437,28500,731796,516184,1709060,427783,10518,105125,188333,190604,410480,41183,58946,16125,192417,5241046,229376,4642,224974,292165,1746,158589,22179
 -> Total -> Total Female -> Total Hispanic -> Total White Only,23843924,110885,9126,1109965,108089,6608337,423905,221826,26693,25064,2215771,348408,8650,103547,886616,115327,54749,131344,67183,130960,9522,232031,171329,155561,90793,29095,65508,21314,100855,269865,25512,602731,505839,1278688,412116,8689,105125,173815,175409,323661,32729,58946,16125,192417,5157159,229376,4642,213948,292165,1746,158589,22179
Children,6420909,39884,3137,311191,28121,1660004,113770,56321,6700,8407,455610,165543,2259,39204,270405,36282,21941,41956,27431,32061,1312,60666,29153,42862,35379,9106,19793,9764,24282,72629,10819,126780,115092,268574,146173,4405,43757,57471,71388,62212,5072,10350,10724,97339,1437291,95749,1854,66985,91934,1746,60702,9319
Less Than 1st Grade,103801,5305,0,12654,0,57469,3479,0,0,0,0,0,0,0,6591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4704,6039,0,0,0,0,0,0,0,0,0,7560,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",476968,0,0,23872,3958,147046,3885,3417,0,0,28729,7371,0,4426,20348,8525,2762,2436,0,0,0,3779,0,0,4169,8362,0,0,6467,0,0,11494,5596,42685,28425,0,8326,0,9456,0,1392,0,0,0,85808,0,0,0,4234,0,0,0
5th Or 6th Grade,1096797,5481,0,47658,1988,359065,17740,4367,853,1187,72790,17934,0,4743,29257,0,1755,6183,0,0,0,22492,8631,9507,7057,0,0,0,4387,25221,1326,17736,6647,66570,12381,0,0,0,3155,18261,1328,7139,0,0,275911,3122,0,21024,9165,0,4736,0
7th and 8th grade,867924,22097,647,43906,21654,297544,15480,4210,2034,1636,38836,4162,0,3040,42916,0,1743,2651,5130,14977,1490,6069,11936,0,0,0,0,1015,4964,9022,1927,20503,5424,46144,8614,0,0,3893,4517,5972,2047,11114,0,6953,166529,7982,0,13096,6050,0,0,0
9th Grade,1151059,0,0,26085,6084,335513,12672,20657,1360,426,53990,21183,0,6807,48428,0,0,10976,7539,9635,0,2755,0,14263,0,0,5575,0,5275,12980,1048,6896,11328,57453,25621,0,0,4814,11915,35998,1857,5809,0,14827,313131,10197,0,16617,30693,0,0,652
10th Grade,1024177,0,0,56282,0,263041,23949,23988,2121,0,106333,14197,0,4064,31095,10356,2813,0,0,18138,0,10158,11647,8692,0,0,0,0,4930,19261,0,0,35348,49163,52273,0,0,0,3011,4776,2599,5238,714,0,227042,1965,0,4699,15773,0,10511,0
11th Grade,902588,0,0,74607,10477,269936,7506,7811,1850,0,43011,6780,0,3435,24196,14434,5750,9578,0,7003,0,2645,0,11395,2702,0,0,0,5590,0,1335,24011,23567,40820,22783,0,0,8928,0,7199,1894,0,801,0,233578,3984,0,0,12997,0,9916,2069
12th Grade No Diploma,551234,0,0,12422,0,202180,0,2356,720,0,8657,0,0,2106,6750,0,0,0,0,0,0,0,16054,0,0,0,0,0,5568,8064,831,14803,2785,43470,0,0,0,6821,10305,9112,2546,0,1318,0,140362,23978,1201,10530,7027,0,11268,0
High school graduate-high school diploma,4774472,19604,1205,167694,19657,1170336,79659,46937,3431,3195,569741,43172,0,17284,198222,33362,7801,39133,15809,13917,2412,48037,44359,45667,7137,3923,13198,7111,18206,67049,0,175356,145699,280372,62349,2737,12328,58216,22899,64013,5356,8104,529,39981,1055523,35231,844,34990,39030,0,18616,5041
Some College But No Degree,2604422,11123,1929,187933,16150,882780,62038,11366,2261,1788,223709,32014,2890,14613,76953,6717,0,9822,5637,14826,1174,17279,16516,16214,7782,7704,16579,1440,12215,28697,1734,51497,72697,74379,14914,0,17327,21100,8708,40225,4322,0,0,23254,494861,23465,0,32664,14614,0,16043,2469
Assc degree-occupation/vocation,602809,0,0,35098,0,165820,11779,4682,936,0,61104,5428,915,0,50190,0,4927,0,0,0,0,3697,0,0,3990,0,0,1984,4057,6443,0,12325,3131,19731,0,0,9960,0,5906,36389,0,0,0,4917,136112,8682,0,0,3849,0,0,757
Assc degree-academic program,807043,0,0,60969,0,264009,16047,3900,853,0,105600,13146,0,0,6227,0,0,5682,0,0,0,6551,10555,6961,0,0,3955,0,0,5446,1399,35248,23570,40397,13111,1547,5150,0,8590,20545,1253,4572,0,5146,93236,5277,0,3776,23286,0,10145,894
"Bachelor's degree (BA,AB,BS)",1778090,7391,993,36944,0,416561,51495,21834,1931,5295,332591,12557,677,0,50745,5651,5257,2927,5637,20403,1862,30911,15758,0,9126,0,6408,0,4914,15053,5093,87830,46221,96656,19433,0,8277,7828,8317,14719,1007,6620,2039,0,355686,9744,0,5165,28389,0,11167,978
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",446668,0,1215,12650,0,93695,4406,5752,814,3130,79077,0,1909,3825,11490,0,0,0,0,0,1272,14001,6720,0,9120,0,0,0,0,0,0,9435,8734,68827,0,0,0,0,3996,4240,1188,0,0,0,101172,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",136056,0,0,0,0,16030,0,0,829,0,17591,4921,0,0,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8817,0,38934,0,0,0,4744,0,0,868,0,0,0,27697,0,0,4402,5124,0,0,0
"Doctorate degree (PHD,EDD)",98907,0,0,0,0,7308,0,4228,0,0,18402,0,0,0,6704,0,0,0,0,0,0,2991,0,0,4331,0,0,0,0,0,0,0,0,39809,0,0,0,0,3246,0,0,0,0,0,5660,0,743,0,0,0,5485,0
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1286870,0,3528,34511,0,86243,12530,53026,19288,4005,110114,29636,3523,0,11086,0,4890,20176,0,0,0,37405,76804,0,0,0,37036,1800,0,6572,2988,129065,10345,392021,15667,0,0,0,8305,86819,8454,0,0,0,70007,0,0,11026,0,0,0,0
Children,366396,0,878,10915,0,20450,8057,7205,6438,1311,21353,20900,0,0,0,0,2501,12019,0,0,0,15071,26763,0,0,0,24420,0,0,0,2988,27722,4140,88967,0,0,0,0,3982,44484,3446,0,0,0,12386,0,0,0,0,0,0,0
Less Than 1st Grade,11685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",28328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,58580,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12616,0,0,0,0,0,0,45335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,50510,0,0,0,0,0,0,3437,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32974,0,0,0,0,0,12869,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,22792,0,0,0,0,0,4473,6320,3339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,89538,0,0,0,0,0,0,3935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11523,0,0,0,0,0,0,0,0,11443,0,41819,0,0,0,0,0,20818,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,75313,0,629,23596,0,9527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,8012,15667,0,0,0,0,0,0,0,0,0,14767,0,0,0,0,0,0,0
12th Grade No Diploma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,203327,0,0,0,0,9090,0,16595,6355,1673,77763,8736,3523,0,0,0,0,0,0,0,0,0,38518,0,0,0,0,0,0,0,0,9784,3090,25765,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0
Some College But No Degree,157593,0,0,0,0,38013,0,9760,1020,1021,10998,0,0,0,0,0,0,3713,0,0,0,12165,0,0,0,0,0,0,0,0,0,12193,0,31905,0,0,0,0,0,8648,0,0,0,0,28157,0,0,0,0,0,0,0
Assc degree-occupation/vocation,13475,0,0,0,0,0,0,0,0,0,0,0,0,0,11086,0,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,25432,0,0,0,0,9163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13696,0,0,0,0,0,0,2573,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",143888,0,0,0,0,0,0,5774,906,0,0,0,0,0,0,0,0,4444,0,0,0,10169,0,0,0,0,0,0,0,6572,0,33468,0,63535,0,0,0,0,4323,0,0,0,0,0,14697,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",31471,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11026,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",8542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,296128,0,0,17312,0,95960,0,0,0,0,66019,8535,0,0,14828,0,0,4201,0,0,0,0,0,0,13805,0,0,0,0,0,0,0,0,38351,0,1829,0,14518,6890,0,0,0,0,0,13880,0,0,0,0,0,0,0
Children,69575,0,0,0,0,11690,0,0,0,0,44566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,5612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,6745,0,0,0,0,0,0,0,0,0,0,0,0,0,6745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,88805,0,0,8721,0,49885,0,0,0,0,7784,8535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13880,0,0,0,0,0,0,0
Some College But No Degree,10735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,0,8906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",92768,0,0,8591,0,34385,0,0,0,0,13669,0,0,0,0,0,0,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25032,0,0,0,0,6890,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",7736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",8083,0,0,0,0,0,0,0,0,0,0,0,0,0,8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,128387266,2313673,256932,1935944,1330650,11491245,2098008,1526093,424095,295833,7381157,4507373,359788,664809,5444893,3113164,1446381,1193510,2060605,2162525,651500,2658418,3034400,4787717,2507493,1487535,2853942,449804,804677,960746,612500,3697509,426792,8231042,4408693,304935,5601970,1413710,1662503,5957284,459846,2340912,358297,2984612,7657934,1182869,297406,3889895,2894859,897076,2657060,246652
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,99215075,1598530,234550,1607252,1077397,7385421,1879479,1241621,315758,112270,5473967,2687941,106824,638606,4177539,2732766,1338317,1100468,1853296,1358812,637077,1603041,2642337,3898791,2199520,878232,2467227,446351,741613,696148,594250,2844900,403599,5779775,3127271,290458,4771306,1216841,1548181,5079372,397783,1637242,341685,2373416,5403223,1141464,291616,2867434,2501126,863237,2374792,234953
Children,15257575,263174,43144,222866,183922,993182,331819,165293,47431,7459,712770,410274,3872,120002,611141,423833,209712,208653,325970,229597,92624,210523,331254,642310,338126,155160,415313,74663,140282,100251,81770,465911,61192,1002614,436239,50337,810029,146797,204264,809522,46160,283127,58386,362593,761468,250175,37507,511996,322843,140584,365770,33671
Less Than 1st Grade,47086,0,0,0,0,10576,0,0,1852,0,0,0,0,5401,0,0,0,0,0,0,1691,2231,0,0,3909,0,4268,0,0,0,594,0,0,4882,0,0,10462,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",127476,0,0,0,6981,36663,2474,0,0,0,0,0,0,0,0,0,0,0,10484,0,0,7067,9761,12869,3909,0,12938,0,0,0,2510,0,0,0,10005,0,0,0,0,0,2684,0,0,6031,0,2344,0,0,0,0,0,756
5th Or 6th Grade,272469,0,0,0,0,60081,0,3044,1052,0,10739,19036,0,0,0,7416,0,0,0,0,0,10290,13831,0,5412,0,16700,0,0,0,0,0,0,27194,3924,0,0,0,5995,10315,2916,8886,546,39088,0,0,0,18973,0,1827,5204,0
7th and 8th grade,1461068,33750,3894,16173,26481,34050,2651,22882,6045,462,20472,15791,0,0,50368,64465,28941,14193,43252,30637,9031,35092,32484,37026,23728,49831,61724,1225,9304,10423,6441,33685,0,82964,49306,4871,101720,10411,10410,76821,6336,13059,9509,111340,129390,2009,2240,40279,30406,15383,34363,5750
9th Grade,1687361,5270,3352,22852,16511,47443,27584,31268,6486,934,47465,69543,0,15115,39414,42046,10793,13451,52697,29981,11900,40374,61041,61582,40381,26194,58438,4489,13687,5399,8164,5796,1845,32735,93594,2300,129716,50991,27227,127360,9897,15880,8597,34099,167608,12857,4393,62323,25773,22016,35652,2848
10th Grade,2365795,48551,4805,21334,26693,109555,34754,28535,2216,0,117518,113083,0,12876,117790,134233,32204,14739,62103,36372,6929,31529,77914,78859,41369,11697,66982,8375,5229,7189,27625,92090,10868,125704,94252,1687,101991,28858,44371,122159,8019,41575,2170,86468,125484,6112,4314,61636,28207,44279,48577,5916
11th Grade,2068662,49531,8230,12945,20156,84591,17248,19245,8005,288,126543,77613,593,21587,74724,67812,23198,27755,46074,28852,21285,18138,75502,126066,45786,28716,63110,12624,20037,18751,8860,67902,6474,77607,55149,3912,101369,22065,33746,117865,12701,41477,9981,56677,88503,21269,8432,34247,77507,46676,24028,7210
12th Grade No Diploma,762897,13457,2394,13734,9168,88297,16772,3920,976,0,20083,3276,0,1534,37352,11798,0,4691,22837,0,2466,9131,11777,12836,14279,22317,17603,4184,8649,13337,6499,40087,1960,81557,12394,0,40116,24925,14104,42081,6946,15765,2411,21022,45099,3613,825,9636,4858,1594,19420,1117
High school graduate-high school diploma,22894249,470780,44318,382383,359387,1035433,291906,238834,84407,1322,1475975,631450,20864,143269,984872,786773,333750,233946,559718,291637,180212,331548,366165,987631,368849,210967,644468,134954,160805,129372,136964,612671,60013,1201486,853755,59551,1232990,316894,387586,1482975,78295,418499,71049,597096,1128992,229973,62079,662259,524629,270907,566322,53269
Some College But No Degree,16075406,305936,38688,240405,199761,1771145,301553,182153,52035,5563,779865,459784,28987,131985,651012,427370,206913,202707,318102,246520,106702,243013,355635,618424,316639,101576,325591,75296,148189,156663,98707,355140,63552,712141,520214,48059,767568,208537,254207,580959,65065,298701,59107,355444,1065028,189026,52596,386260,435969,114427,398329,48158
Assc degree-occupation/vocation,3664449,44815,6807,114528,24940,193937,47161,45126,10492,0,154928,69895,4409,40534,84028,91064,101389,36607,93150,61921,25800,41005,67441,105319,154768,39249,77981,9324,32666,20947,22107,92431,12805,121074,202018,13065,189643,31412,49297,171357,29397,89996,12587,74734,238036,49781,9072,73115,101068,30065,244218,6940
