Source: CPS Annual Social and Economic (March) Supplement 202103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th Grade No Diploma,342130,3371,0,0,2820,19491,0,0,805,1372,31939,29529,0,0,22145,3795,0,2014,0,16286,0,11842,2791,11857,0,13629,0,0,1735,6288,0,9496,0,30667,19261,0,4435,4904,0,22532,0,9571,640,6969,29229,0,0,10503,11411,425,0,378
High school graduate-high school diploma,5311521,186906,1823,53553,73276,220662,23086,49879,27235,40124,502785,419613,3411,771,165139,69601,18913,25898,63722,219382,2641,191021,58192,163351,45806,157166,125105,1545,11683,48737,0,171726,4231,321438,342341,2125,219728,29838,11372,177773,2781,188178,1224,180356,413236,6283,970,185056,29935,10933,39775,1196
Some College But No Degree,2864574,73987,3070,37095,20816,216669,24124,31451,15081,18818,194631,220810,3784,0,154777,42732,16939,3315,20875,82007,3711,119165,31462,144945,22726,68249,48350,771,7777,23789,0,84431,4335,166060,178347,1334,84140,17914,11389,96019,3269,78692,1180,78857,238772,1166,733,113905,26126,2078,23901,0
Assc degree-occupation/vocation,487892,28756,1330,9668,5108,27895,7944,4230,3914,2993,27089,44256,0,0,23033,10337,4915,3776,2053,24615,0,22632,4494,10245,13031,19519,8832,0,0,3896,0,4256,2110,45165,8245,401,10324,8944,0,4954,0,9137,0,11572,43769,0,0,13770,4824,0,5860,0
Assc degree-academic program,729098,26375,415,8216,955,48851,3660,10110,4304,2044,71558,67259,0,0,42506,4803,0,1427,1802,20433,1564,23297,7807,15139,2145,23480,10569,0,3659,7420,0,22733,2247,35919,55847,595,20866,7492,4597,25842,2793,27646,0,6688,51966,941,0,25398,18889,1062,7779,0
"Bachelor's degree (BA,AB,BS)",2039666,43458,1618,18677,14490,154629,12965,19111,11079,24785,176923,146554,423,1976,101877,36856,8707,9330,10372,30042,2782,130261,50915,43484,13059,26742,17895,0,3886,8797,0,75691,3510,149798,93030,635,53701,16391,5483,57984,4791,45025,510,48264,230463,1575,1343,81965,34417,3076,10156,165
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",800018,21322,0,9367,2173,82339,2071,6183,4819,5660,26915,56833,0,0,40525,10551,2592,5298,13395,8233,562,78211,25687,21609,0,10962,8695,0,0,1200,0,34203,1034,96351,27180,490,11396,7014,0,24213,2986,18629,472,19033,65425,4100,0,39605,2176,509,0,0
"Professional school degree (MD,DDS,DVM,L",119901,1472,0,0,0,13340,0,0,0,3506,5178,8554,545,0,14144,0,1556,944,0,1934,0,17394,0,10269,0,2492,0,0,0,0,0,0,0,12282,10132,397,7146,0,0,0,0,0,0,2447,0,0,173,0,5441,555,0,0
"Doctorate degree (PHD,EDD)",149147,6642,481,2994,0,16693,0,5667,504,1527,8649,6731,1318,460,2128,3560,0,0,0,3179,0,14624,3042,4373,1877,1830,0,0,957,1159,0,2652,0,8001,0,0,5828,0,0,0,987,0,0,0,21909,0,232,17775,3368,0,0,0
 -> Total -> Total Male -> Total Non-Hispanic -> Total Asian Only,9228560,31167,22190,93886,22288,2700253,96067,86595,24434,11652,295637,240485,239538,10253,391423,73810,50410,34941,40492,44572,686,233371,241442,177411,138942,4531,76591,1093,8568,110817,33895,543197,14715,885484,156568,8210,117439,56024,108991,205807,18204,42605,7916,47680,686131,26209,2327,274441,399959,5209,83283,721
Children,1685307,10585,4715,21262,2161,467313,13247,14185,7229,1394,59192,47126,26084,4716,74154,22046,13234,6234,4164,11943,0,30313,46403,36487,27288,0,15610,0,686,11766,7823,94734,3992,146012,46787,2041,22849,10348,26186,41146,2788,8134,2494,7688,114208,5182,644,43350,93729,0,25484,151
Less Than 1st Grade,54580,0,0,0,0,14964,0,0,0,0,0,3395,0,0,2286,4834,2259,0,0,0,0,0,0,0,2308,0,0,0,0,0,0,0,0,6158,1880,0,1617,0,4178,0,0,0,0,0,2076,0,0,4130,4495,0,0,0
"1st,2nd,3rd,or 4th grade",21126,0,0,3182,0,4380,0,0,387,0,2574,0,685,0,0,0,1187,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,3445,0,0,0,0,0,3588,0,0,739,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,35298,1074,318,0,0,19279,0,0,0,0,0,0,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,0,0,0,6529,0,0,0,0,0,4097,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,104467,0,394,0,1489,28238,3553,1816,0,0,0,2652,426,0,5179,0,0,1584,0,2060,0,3366,6645,3627,0,0,0,0,0,0,417,4804,0,15060,2412,0,2573,3032,871,0,786,0,300,0,4464,0,260,0,8459,0,0,0
9th Grade,124790,908,0,0,0,18489,2539,2277,663,0,4383,0,5952,0,2066,0,1125,0,1592,1054,686,9740,1712,1660,3987,0,0,0,449,2543,697,4591,0,16086,2349,0,2926,0,0,9803,0,0,0,0,17218,0,0,5192,1721,0,2382,0
10th Grade,148976,1362,818,2014,0,45591,4076,1975,937,0,0,6391,2146,1001,10311,0,0,0,0,3674,0,0,5877,3639,1477,0,0,0,0,1800,0,8056,0,15374,4129,251,2551,1844,0,4358,0,1099,250,0,3961,715,0,6183,5240,0,1876,0
11th Grade,168722,0,559,0,0,46218,0,0,0,0,2028,2139,4873,0,4007,3917,0,832,0,615,0,4616,3685,0,4764,0,3998,0,482,1771,443,6334,0,29156,2850,0,0,1026,1390,5478,518,0,0,0,21082,0,0,3258,10430,0,2253,0
12th Grade No Diploma,99208,0,269,0,0,26999,0,0,369,0,1619,4841,3388,0,0,0,0,0,0,0,0,3439,2249,0,2870,878,1891,0,0,961,0,0,0,23951,1620,0,0,2159,1071,0,0,0,0,0,20634,0,0,0,0,0,0,0
High school graduate-high school diploma,1178697,7001,7504,0,2837,350520,14810,6197,1326,0,32966,24648,62900,475,31996,8249,10340,6895,14428,5469,0,18131,24068,25703,25730,0,14947,341,624,29504,4351,25900,3121,175439,22354,982,15156,19172,11358,25642,3453,7763,1377,7263,56391,5533,288,14755,38956,1686,9776,372
Some College But No Degree,830290,2238,1771,6294,1905,281760,9523,7758,840,0,16773,8943,26577,430,49858,2061,4606,5306,3714,5261,0,18676,14275,11990,18584,637,7129,344,2009,21693,4605,39022,2584,55486,13977,547,6386,1260,16029,9065,0,5117,1145,5122,64349,4670,0,31525,35218,1077,2151,0
Assc degree-occupation/vocation,140332,0,0,1845,0,27701,3991,2086,0,0,2083,4394,16556,473,17756,0,0,2173,0,0,0,0,3840,2609,10989,0,0,0,0,4059,0,0,0,14975,1613,345,0,2755,2449,0,0,0,0,0,3521,0,0,12374,1745,0,0,0
Assc degree-academic program,263739,0,1827,6699,0,105556,6534,2221,515,0,6942,11337,11827,580,0,0,0,0,0,838,0,9035,3365,8935,1726,0,0,0,0,5592,501,8547,724,16595,1964,325,0,7356,4238,3083,738,0,0,1605,22041,2762,350,1967,7216,0,0,198
"Bachelor's degree (BA,AB,BS)",2308505,5738,3459,11508,8304,688033,10638,32595,5517,3424,96403,61853,52908,1614,104071,21667,8965,4277,5807,4500,0,50763,68727,35499,20472,2152,14304,408,2020,22349,8807,165512,2943,227628,32067,528,34970,6039,15007,41231,5098,9540,851,14121,198618,4890,490,71829,91669,959,27733,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1436937,2261,0,28627,3215,412757,19266,12355,3693,3680,34459,41398,15644,964,63259,3778,5673,4095,9128,4339,0,56938,42157,35495,12710,864,7720,0,763,3212,5732,147295,0,98890,17635,1550,17437,1033,18737,32970,1422,8157,329,7929,110558,912,295,52547,80169,0,4890,0
"Professional school degree (MD,DDS,DVM,L",180326,0,288,5013,1464,33504,0,0,1587,1270,11526,9644,3102,0,10061,0,0,1217,0,0,0,7197,3043,0,2194,0,2708,0,0,0,519,11917,0,12164,4931,590,1852,0,3479,9701,830,0,431,0,13126,1545,0,13187,8152,533,3551,0
"Doctorate degree (PHD,EDD)",447260,0,268,7442,913,128951,7890,3130,1371,1884,24689,11724,3798,0,16419,7258,3021,2328,1659,3860,0,21157,15396,11767,3843,0,8284,0,1535,4238,0,26485,1351,22536,0,1051,9122,0,3998,15645,2571,2795,0,3952,33884,0,0,14144,12760,954,3187,0
 -> Total -> Total Female,158912583,2456428,239126,3522784,1460988,18576840,2685549,1766167,487598,360155,10707724,5304490,451096,884657,6215000,3268877,1541306,1354711,2161707,2310926,667518,2994914,3312280,4886167,2684302,1486172,2990980,505572,911282,1453810,675324,4401363,901694,9555445,5150130,331379,5692841,1611628,2003938,6273139,519567,2570507,392432,3412117,14319508,1551508,304202,4174388,3435021,863756,2859722,263848
 -> Total -> Total Female -> Total Hispanic,28623964,84475,14221,1213385,106247,7191266,497863,285685,43628,34648,2952338,536332,35485,124985,1005505,171108,84901,155493,83856,146111,15184,237293,365729,226200,123584,36400,151050,15669,116029,394622,31197,794686,455405,1740093,628644,11975,259550,240411,207993,439608,62706,169817,13387,241039,5616710,200138,3418,393217,386219,24345,226084,28030
 -> Total -> Total Female -> Total Hispanic -> Total White Only,26710951,81962,12910,1205662,103515,6828371,492022,261147,33097,28240,2753864,476765,27039,124985,943145,165848,79665,149246,79170,126296,15184,213699,312751,206824,109361,35726,148129,15246,112055,357493,24009,709028,446914,1327524,565440,11291,236659,222423,193476,379054,55901,162134,13387,210365,5468793,194461,3172,357757,386219,23250,192500,27777
Children,6404060,24265,3896,264775,34530,1540713,126758,84099,10226,5167,473350,151932,6633,34568,242090,59502,18961,37018,15322,31280,4095,63573,70856,51226,38508,11423,50148,4625,36649,83930,7968,152173,90300,299061,165849,4507,67480,61526,35209,94984,9085,54450,3887,70340,1391075,59187,959,90511,86821,10429,60078,8063
Less Than 1st Grade,177810,0,0,4227,0,72631,1809,1551,0,196,8437,8423,0,1261,3980,0,0,0,2033,4546,0,0,1860,1510,3237,0,0,0,2602,0,0,0,1544,4318,4223,0,1842,0,2044,4368,0,0,268,0,36267,0,0,1513,2965,0,0,155
"1st,2nd,3rd,or 4th grade",428486,1902,0,18434,1459,149723,9789,1859,1245,900,25923,5826,0,2434,18402,1564,0,943,1509,704,0,6541,7639,0,0,0,0,0,5640,5545,841,11710,5795,26821,6264,0,6124,2761,8543,2227,1786,2580,0,2590,74715,991,0,1983,4774,0,0,0
5th Or 6th Grade,1050673,0,507,48455,2953,371189,17584,6037,384,358,42373,26796,0,6392,52847,3970,2440,3992,6947,3822,0,1831,8203,3772,3365,566,6049,0,5430,8422,389,23336,11616,34802,28874,443,4590,12040,10152,15639,1744,5610,319,8044,215666,3301,0,12882,14044,0,11674,824
7th and 8th grade,771437,3149,0,45575,4893,154483,13652,11152,847,987,40349,18884,329,3875,51261,3715,1185,3989,3411,6819,519,7810,10204,4091,1792,718,3792,0,2560,5408,899,23067,12243,45340,29072,0,1820,7812,3350,16849,2493,3990,0,8043,181025,4418,190,9791,12791,385,2253,157
9th Grade,1104507,4032,303,72406,9215,251039,36018,11862,814,377,74585,26629,595,5251,32519,9250,4166,6830,9311,7061,0,11917,15550,4188,11379,528,5751,257,3461,15754,654,19886,24294,54199,23427,0,18570,7652,5100,13040,5970,2699,988,6577,252573,4560,0,7401,17260,0,7673,936
10th Grade,773639,6686,0,44238,4502,182921,14307,1334,1050,731,42780,18496,1035,4554,23799,4136,1558,9584,0,7868,881,1829,11057,10995,0,744,2219,0,3018,8660,0,20874,15865,33596,16833,422,4688,18803,5358,9400,0,7852,0,4756,190156,7072,0,3121,16651,973,7721,516
11th Grade,869513,2126,186,67221,2191,225953,31140,15457,825,776,76638,14600,467,5966,25071,6874,5375,1235,1336,1643,0,5820,6479,0,1696,0,1762,273,7452,12879,0,8185,10595,43395,16451,455,0,7745,8884,22420,1860,2699,339,8268,185483,4089,0,15892,7767,0,3029,516
12th Grade No Diploma,591507,1113,0,27526,1351,176821,5623,0,0,197,46288,10435,394,1805,6331,3314,0,4068,0,5245,0,2368,3435,3934,5609,822,2948,541,1907,2813,0,23677,9790,21218,16544,0,0,9225,4339,7223,0,2596,0,14102,152024,6518,0,1739,4944,354,2132,194
High school graduate-high school diploma,5822210,15257,1602,218382,21466,1530316,86040,51788,8653,4146,656858,107344,5915,32624,202428,29853,21861,30409,20206,18813,2968,50272,69562,47397,18984,9792,28293,4543,18510,99687,3260,164177,108238,324225,126118,1001,54834,56124,51132,60459,12684,37231,1805,55648,1104914,37846,221,62223,91546,1985,45211,7359
Some College But No Degree,3198618,5347,2690,199873,8126,990646,62201,21409,2353,1615,268817,23355,4567,13163,94608,19256,14284,15630,9081,13693,2864,17394,20851,33751,5798,7013,16726,2757,9150,44153,5623,55747,68368,141627,35898,2553,33626,12886,22955,45911,7606,14231,2159,17022,650006,30618,471,56220,37575,5293,17566,3486
Assc degree-occupation/vocation,702953,866,490,32996,3568,171393,9021,2961,1162,163,90832,1863,806,1614,12354,0,1326,11385,1459,6147,725,0,8654,3347,3554,650,7215,267,1867,13071,0,25550,16867,15053,13649,189,6259,3152,6616,6319,533,1245,1006,4518,192319,2171,0,1894,9654,361,5663,179
Assc degree-academic program,1061917,2995,804,40649,850,210904,9035,7644,1722,0,231936,12510,813,3168,36612,5404,1245,6041,2999,2346,641,8414,16561,9704,5395,627,9509,235,2844,17126,2092,40738,18620,62283,24384,0,4199,4676,6206,11252,3775,10509,341,1388,171491,7804,0,14183,19195,1041,7237,1770
"Bachelor's degree (BA,AB,BS)",2715552,8329,1345,89382,6788,598895,44368,34495,3047,6042,486339,34878,4827,6210,102168,17001,7264,13179,3614,12519,1723,31393,40945,15028,10044,737,11734,1748,8608,27896,2283,108091,37199,154435,41752,1037,16327,12146,16152,47999,7767,10723,1523,5133,483991,12088,682,60847,38496,1435,22263,2637
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",833917,5895,862,21412,1623,165049,17691,8071,769,5828,142193,10813,658,2100,33276,2009,0,4943,1942,1022,768,2160,9567,14608,0,2106,0,0,1699,12149,0,28424,14043,56421,16102,249,11559,5875,6366,16748,598,5719,752,3936,152991,11294,466,15691,16342,544,0,584
"Professional school degree (MD,DDS,DVM,L",105941,0,0,6117,0,22581,4983,1428,0,392,26209,0,0,0,3330,0,0,0,0,2021,0,2377,3981,3273,0,0,0,0,658,0,0,1891,1537,6996,0,204,0,0,0,0,0,0,0,0,14414,1482,0,0,1811,0,0,256
"Doctorate degree (PHD,EDD)",98211,0,225,3994,0,13114,2003,0,0,365,19957,3981,0,0,2069,0,0,0,0,747,0,0,7347,0,0,0,1983,0,0,0,0,1502,0,3734,0,231,4741,0,1070,4216,0,0,0,0,19683,1022,183,1866,3583,450,0,145
 -> Total -> Total Female -> Total Hispanic -> Total Black Only,1564639,2513,985,5384,2732,178165,0,20748,10531,5084,178626,59567,1797,0,46267,5260,1289,6247,1975,16838,0,21506,50132,14036,8398,674,2921,423,3974,22122,7188,73437,7724,404085,63204,684,22891,17988,2752,60554,5978,7683,0,17317,134380,5677,246,29725,0,1095,33584,253
Children,372740,0,0,0,0,37150,0,0,5541,2158,37294,6885,0,0,17286,0,0,0,1975,7205,0,12499,14813,6912,0,0,0,0,2907,6889,3841,23996,3269,62501,23400,347,8769,4806,2752,7329,2444,0,0,11474,24283,2728,0,7681,0,0,23606,0
Less Than 1st Grade,5025,0,0,0,0,0,0,0,0,0,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",21298,0,0,0,0,3768,0,0,0,0,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,21011,0,0,0,0,7325,0,0,0,0,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298,0,0,0,0,0,0,0,1512,0,0,5932,0,0,0,0,600,0,0
7th and 8th grade,46442,0,0,0,0,7668,0,2486,0,0,0,2347,0,0,3510,0,0,0,0,0,0,0,3947,0,0,0,0,0,0,0,0,0,0,10863,4227,0,0,2378,0,2154,0,0,0,0,6862,0,0,0,0,0,0,0
9th Grade,26153,0,451,0,0,3246,0,0,0,0,5606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,1441,0,0,0,15234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,35869,0,0,0,0,2417,0,0,0,0,2689,1832,0,0,0,0,1289,0,0,1333,0,0,1184,0,0,0,0,0,0,0,0,5078,0,11528,5207,0,0,0,0,0,0,0,0,0,3312,0,0,0,0,0,0,0
11th Grade,49701,0,0,0,0,0,0,0,0,0,0,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,18720,4508,0,3678,3060,0,3169,0,0,0,0,10628,0,0,0,0,0,0,0
12th Grade No Diploma,18572,0,0,0,0,1817,0,0,0,252,12899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0
High school graduate-high school diploma,327203,1187,0,0,1814,49231,0,5237,1983,259,26125,16571,941,0,11769,0,0,3736,0,3519,0,0,11133,2541,2731,674,0,248,0,5510,0,18901,0,109826,9092,337,0,2196,0,15990,0,0,0,0,19313,1038,0,5048,0,0,0,253
Some College But No Degree,247863,0,0,0,0,23481,0,0,1188,314,35408,12364,0,0,2268,0,0,0,0,2235,0,2938,10939,0,5667,0,0,0,1067,2836,1573,4589,865,71892,6965,0,4017,3789,0,16458,1746,0,0,3647,16826,0,0,4813,0,0,9978,0
Assc degree-occupation/vocation,53747,0,0,2750,0,7606,0,1930,553,0,2744,0,856,0,2631,1798,0,0,0,0,0,0,2014,0,0,0,0,0,0,1427,0,0,0,8504,2690,0,3788,0,0,8627,0,0,0,0,3525,0,0,2304,0,0,0,0
Assc degree-academic program,77052,0,0,0,0,6614,0,2009,0,0,10792,4225,0,0,0,3462,0,2511,0,0,0,2967,0,0,0,0,0,0,0,1482,1774,0,905,17553,4979,0,0,0,0,3629,0,0,0,0,13113,1037,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",177584,0,0,2634,0,19668,0,9086,1266,1288,23469,7570,0,0,8803,0,0,0,0,2546,0,3102,3027,2137,0,0,2921,0,0,2537,0,8114,1637,37350,2136,0,0,1759,0,0,975,4763,0,2196,22600,874,246,4880,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",75257,1326,534,0,918,8174,0,0,0,466,13629,0,0,0,0,0,0,0,0,0,0,0,3075,2446,0,0,0,0,0,0,0,12759,0,14085,0,0,2639,0,0,0,813,1408,0,0,7986,0,0,4999,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",6239,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694,0,0,0,0,0,3198,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",2883,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Hispanic -> Total Asian Only,348374,0,326,2339,0,184730,5841,3790,0,1324,19848,0,6649,0,16093,0,3947,0,2711,2977,0,2088,2846,5340,5825,0,0,0,0,15007,0,12221,767,8484,0,0,0,0,11765,0,827,0,0,13357,13537,0,0,5735,0,0,0,0
Children,107850,0,0,0,0,62680,3173,0,0,512,0,0,1660,0,0,0,0,0,0,1108,0,0,0,2505,0,0,0,0,0,4343,0,4100,0,8484,0,0,0,0,4982,0,0,0,0,3689,7114,0,0,3500,0,0,0,0
Less Than 1st Grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,5081,0,0,0,0,5081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,10513,0,0,0,0,5081,0,0,0,0,0,0,0,0,2597,0,0,0,0,0,0,0,0,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,17182,0,0,0,0,10389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3288,0,0,0,0,1024,0,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,8998,0,0,0,0,6330,2668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,9683,0,0,0,0,8254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0
High school graduate-high school diploma,63191,0,0,0,0,23145,0,0,0,0,5259,0,1285,0,13496,0,0,0,0,1869,0,2088,0,0,2537,0,0,0,0,2667,0,2904,0,0,0,0,0,0,5490,0,0,0,0,2451,0,0,0,0,0,0,0,0
Some College But No Degree,38775,0,0,2339,0,25362,0,0,0,0,2686,0,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,2736,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,8885,0,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,0,0,0,0,0,0,0,0
Assc degree-academic program,15072,0,0,0,0,5747,0,1671,0,0,2940,0,0,0,0,0,3947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",41665,0,326,0,0,23102,0,2119,0,243,6075,0,666,0,0,0,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",10238,0,0,0,0,2037,0,0,0,287,2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,0,0,0,1293,0,827,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",2517,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,0,0,0,0
"Doctorate degree (PHD,EDD)",5336,0,0,0,0,4819,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,130288619,2371953,224905,2309399,1354741,11385574,2187686,1480482,443970,325507,7755386,4768158,415611,759672,5209495,3097769,1456405,1199218,2077851,2164815,652334,2757621,2946551,4659967,2560718,1449772,2839930,489903,795253,1059188,644127,3606677,446289,7815352,4521486,319404,5433291,1371217,1795945,5833531,456861,2400690,379045,3171078,8702798,1351370,300784,3781171,3048802,839411,2633638,235818
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,98566855,1637841,191195,1985006,1090605,7157304,1952875,1154596,309752,136921,5686122,2713046,126798,737899,3895770,2677037,1364070,1086911,1821912,1323769,639145,1476071,2415967,3778705,2204037,844362,2402608,483373,740857,776659,604058,2443081,411143,5463715,3180645,299723,4558949,1196583,1642763,4887102,399452,1621493,358409,2506037,5993330,1312401,293068,2652208,2511951,801381,2386877,231273
Children,14293206,256438,30794,275434,169770,975409,238141,136588,34974,15000,685580,371362,13345,136877,595361,427176,243595,175186,291657,217884,91065,224597,294523,558343,352778,140383,402786,81089,114993,108507,82971,352725,53282,737399,453756,50608,679773,168721,230452,696509,48238,206659,60345,362533,911743,277406,38781,399918,329075,116044,336012,40621
Less Than 1st Grade,103971,0,230,0,0,10863,0,0,0,0,2606,0,0,0,0,0,2443,1607,1608,1109,0,0,0,13493,8222,1304,8849,0,0,0,889,6365,1309,12459,0,230,19587,0,0,6471,0,0,0,0,0,2386,0,0,0,0,1941,0
"1st,2nd,3rd,or 4th grade",78528,0,0,0,0,6739,2250,2979,0,0,14023,0,0,0,3637,3138,0,1459,0,798,1809,0,2538,3649,1618,0,3348,344,0,0,916,7928,0,5583,0,421,0,3469,0,0,622,0,0,6064,4429,0,0,0,0,767,0,0
5th Or 6th Grade,138898,0,0,2287,2655,28482,3928,5279,0,156,12167,2221,0,866,6992,4158,0,957,0,972,1251,0,3074,3278,0,2420,5323,0,634,1102,0,0,407,12865,3347,0,3841,0,2054,6719,0,3082,766,7555,5233,0,0,0,2724,2103,0,0
7th and 8th grade,1099230,21307,452,19367,12095,69899,20209,4185,5913,0,27375,30776,0,9437,38051,61411,19822,7087,47970,19960,3948,17351,25720,28204,29691,15830,25118,5607,7701,7250,5903,10247,1553,24922,37671,6702,105462,17392,10215,64420,2236,19702,5537,35655,38930,6738,2947,32005,17505,21419,48662,1671
9th Grade,1390574,35116,1840,24985,16181,80927,29643,16083,2660,0,55312,62844,1020,11946,56415,42204,21456,25850,44038,36412,4879,12840,39010,45958,28875,21216,57903,5870,5810,9590,5931,21672,1437,77251,27953,3949,62408,19713,13155,69140,5888,33862,5557,43241,73891,25485,3580,24828,24541,20036,27153,3020
10th Grade,1890686,57765,2659,30745,24532,103445,40113,19987,5450,952,87123,97941,1272,10286,78932,44484,25390,13394,62476,31425,9842,34223,22871,65296,25343,20087,55717,8946,14046,13827,6934,51066,5228,81710,64290,6814,100133,29260,36162,96588,7387,24628,8616,49284,119340,23771,5191,47700,46665,24612,43017,3721
