state_code,state_fips,zip_code
ME,23,4660
ME,23,4352
ME,23,4055
ME,23,4553
ME,23,4056
ME,23,4260
ME,23,4554
ME,23,4558
ME,23,4953
ME,23,4261
ME,23,4955
ME,23,4762
ME,23,4956
ME,23,4555
ME,23,4957
ME,23,4958
ME,23,3906
ME,23,4057
ME,23,4662
ME,23,4556
ME,23,4853
ME,23,4265
ME,23,4954
ME,23,4961
ME,23,4664
ME,23,4266
ME,23,4962
ME,23,4061
ME,23,4267
ME,23,4353
ME,23,4062
ME,23,4082
ME,23,4268
ME,23,4763
ME,23,4963
ME,23,3907
ME,23,4063
ME,23,4064
ME,23,4468
ME,23,4964
ME,23,4471
ME,23,4472
ME,23,4469
ME,23,4473
ME,23,4474
ME,23,4066
ME,23,4854
ME,23,4764
ME,23,4270
ME,23,4354
ME,23,4965
ME,23,4271
ME,23,4475
ME,23,4765
ME,23,4666
ME,23,4476
ME,23,4766
ME,23,4667
ME,23,4966
ME,23,4562
ME,23,4967
ME,23,4969
ME,23,4274
ME,23,4768
ME,23,4855
ME,23,4068
ME,23,4101
ME,23,4102
ME,23,4103
ME,23,4104
ME,23,4105
ME,23,4106
ME,23,4107
ME,23,4108
ME,23,4109
ME,23,4110
ME,23,4112
ME,23,4116
ME,23,4122
ME,23,4123
ME,23,4124
ME,23,4069
ME,23,4769
ME,23,4637
ME,23,4668
ME,23,4669
ME,23,4970
ME,23,4071
ME,23,4355
ME,23,4357
ME,23,4671
ME,23,4841
ME,23,4846
ME,23,4856
ME,23,4478
ME,23,4564
ME,23,4275
ME,23,4276
ME,23,4280
ME,23,4072
ME,23,4772
ME,23,4971
ME,23,4773
ME,23,4774
ME,23,4672
ME,23,4972
ME,23,4073
ME,23,4479
ME,23,4070
ME,23,4074
ME,23,4674
ME,23,4675
ME,23,4973
ME,23,4974
ME,23,4565
ME,23,4673
ME,23,4676
ME,23,4076
ME,23,4975
ME,23,4775
ME,23,4776
ME,23,4777
ME,23,4779
ME,23,4976
ME,23,4978
ME,23,4780
ME,23,4781
ME,23,4979
ME,23,4677
ME,23,3908
ME,23,4568
ME,23,4077
ME,23,4358
ME,23,4013
ME,23,4078
ME,23,4359
ME,23,4079
ME,23,4281
ME,23,4858
ME,23,4679
ME,23,4487
ME,23,4083
ME,23,4859
ME,23,4084
ME,23,4085
ME,23,4488
ME,23,4680
ME,23,4489
ME,23,4783
