export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Less Than 1st Grade,5979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,0,0,0,0,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",13169,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,6293,0,0,0,0,0,0,0,0,0,0,0,2344,2743,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,34960,0,0,0,1061,5584,0,0,0,0,5510,0,0,0,0,0,0,0,0,0,0,6308,0,0,0,0,0,0,0,0,0,7165,0,2687,2968,0,0,0,0,0,0,0,0,0,0,856,0,0,2821,0,0,0
7th and 8th grade,37887,0,0,0,989,2798,0,0,0,0,7113,0,0,0,0,0,0,0,0,0,0,8738,2125,0,0,0,0,0,0,0,0,0,567,11832,2505,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0
9th Grade,38295,0,0,0,992,0,0,0,0,0,0,0,0,0,5526,0,0,0,0,0,0,0,0,0,0,0,0,363,0,1970,0,5454,0,8087,5282,0,4835,0,0,0,0,0,438,0,3425,0,0,0,0,1923,0,0
10th Grade,63090,0,0,0,0,7657,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,8668,2337,0,0,0,0,0,0,1382,0,0,0,26730,3244,0,4331,0,0,5318,579,0,0,0,0,0,0,0,0,0,0,0
11th Grade,39877,0,0,0,0,6194,0,3284,0,401,2759,0,0,0,3590,0,0,0,0,0,0,3445,0,0,0,0,0,0,0,0,0,0,1766,12954,0,0,0,0,0,0,1460,1833,0,2191,0,0,0,0,0,0,0,0
12th Grade No Diploma,16353,0,0,0,0,0,0,0,1118,0,0,3881,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,0,294,0,0,0,0,0,7089,1989,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,321267,0,0,0,1072,30436,0,15510,821,1697,29044,5449,0,379,0,4461,0,0,0,1353,0,17664,6427,0,0,0,0,0,0,1899,652,11502,0,84384,17247,0,20477,0,0,18777,3533,4664,0,6757,34264,2078,0,0,0,720,0,0
Some College But No Degree,164072,0,288,2373,0,27882,4677,0,0,226,9179,15323,0,0,11028,0,0,0,1925,0,0,4677,16227,2764,4227,993,0,0,0,0,0,2259,1427,29553,9770,226,0,0,0,2866,0,0,0,0,6703,1018,0,8053,0,0,0,408
Assc degree-occupation/vocation,18189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,0,0,0,0,0,0,0,0,0,0,0,6107,0,0,0,0,0,0,1660,0,0,0,3406,2255,0,0,0,0,2834,0
Assc degree-academic program,21057,0,0,0,0,0,0,0,0,0,2769,0,0,0,0,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,6288,0,0,0,0,0,6276,1428,0,0,0,0,0,0,2236,0,0,0,0
"Bachelor's degree (BA,AB,BS)",161094,0,0,0,685,6534,4489,0,0,1498,11087,35420,0,0,0,3941,0,0,0,0,0,6164,0,0,0,0,0,0,0,738,691,11605,0,56427,0,0,0,0,0,6226,1277,0,0,1899,5624,0,0,6789,0,0,0,0
