export-13
Source: CPS Annual Social and Economic (March) Supplement 202003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: MARSUPWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming; Demographic - race of respondent (PRDTRACE): White Only, Black Only, Asian Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selected Geographies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographics, Educational attainment (A_HGA)",Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"1st,2nd,3rd,or 4th grade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5th Or 6th Grade,6073,0,0,0,0,6073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7th and 8th grade,6821,0,0,0,0,5208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Grade,4339,0,0,0,0,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0
10th Grade,7315,0,0,0,0,5243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11th Grade,3311,0,0,0,0,2194,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12th Grade No Diploma,2207,0,0,0,0,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High school graduate-high school diploma,63355,0,0,0,0,23839,0,10654,0,0,5677,0,3198,0,0,0,0,0,0,0,0,0,0,5211,0,0,0,0,0,1434,0,3099,0,0,0,0,0,0,1659,4435,0,0,0,0,3527,0,0,0,0,622,0,0
Some College But No Degree,38500,0,0,0,0,29647,0,0,0,0,3732,0,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-occupation/vocation,13598,0,0,0,0,9083,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assc degree-academic program,22291,0,0,0,0,7464,0,2897,0,0,0,0,0,0,0,0,4471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3587,2892,980,0,0,0,0,0,0,0,0,0,0,0
"Bachelor's degree (BA,AB,BS)",52136,0,0,0,0,19057,0,0,574,371,0,0,2513,0,0,0,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,3219,13453,0,0,0,0,0,1419,0,0,0,10191,0,0,0,0,0,0,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",13000,0,0,0,0,3222,0,0,0,0,3250,0,0,0,3566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Professional school degree (MD,DDS,DVM,L",2970,0,0,0,0,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doctorate degree (PHD,EDD)",4235,0,0,0,0,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 -> Total -> Total Female -> Total Non-Hispanic,130267633,2342429,226358,2179106,1360272,11522595,2103961,1468520,453810,325900,7789196,4789168,410563,775271,5055452,3065378,1433222,1177549,2133634,2165010,636226,2720271,2943295,4629340,2603320,1456058,2868309,484634,825446,1078407,639854,3658470,456980,7817651,4540690,325314,5420467,1436824,1738560,5884146,435233,2422703,367162,3134966,8710068,1340316,304318,3785933,3075902,850272,2661464,237640
 -> Total -> Total Female -> Total Non-Hispanic -> Total White Only,98821723,1605337,193438,1870470,1099674,7477761,1918932,1191540,321313,143261,5697941,2724295,130564,758678,3702602,2655248,1320409,1076613,1910605,1346760,617333,1504571,2405788,3737466,2277780,854890,2439265,477177,754766,781411,607600,2475219,423006,5433410,3181659,309232,4492174,1254272,1593163,4941277,386925,1668847,351102,2499553,5874208,1294583,297151,2656039,2636060,818837,2397905,233613
Children,14538172,252726,36659,233223,177262,981101,266195,165462,43706,17688,611103,415658,17241,143993,516815,409211,220847,184473,314263,225736,82519,231890,286264,553232,380666,139841,397982,75403,133965,113519,87221,406137,43901,747902,497059,59258,665748,191032,199430,744709,45146,226377,61424,382162,873091,290543,39619,424110,389308,119058,377375,38919
Less Than 1st Grade,115540,2098,0,0,1686,15151,0,0,0,0,1602,3291,553,1170,14596,3625,2372,0,0,0,0,0,9254,17819,0,0,6809,0,0,3773,1097,5974,1175,10777,0,0,0,1699,0,0,0,0,572,5182,1815,0,0,0,3018,0,0,432
"1st,2nd,3rd,or 4th grade",58557,1678,0,0,0,2309,2987,2567,0,0,8704,0,0,0,0,0,0,0,0,0,0,0,6961,1937,0,0,0,426,0,1003,0,3270,0,1848,0,286,0,0,0,6473,3438,2085,0,0,6623,2119,0,3627,0,0,0,216
5th Or 6th Grade,144623,1999,234,0,1904,23605,3508,4959,0,0,9375,0,0,0,6076,0,0,0,3143,5009,1239,0,0,2063,0,1117,12737,0,709,0,0,6840,0,18443,0,246,4646,4871,0,3967,688,2959,368,8190,5208,0,658,8166,0,1404,0,292
7th and 8th grade,1004681,12157,658,6933,16069,49522,20711,12731,5703,0,30238,30893,0,7984,31240,54465,13866,11414,46060,17684,8616,8386,17577,23117,36271,14054,31746,4940,9941,3679,3992,6853,1953,41898,31388,7438,82971,16838,7527,39021,2529,14892,4535,31105,68762,9444,3064,32419,11621,18400,39446,1930
9th Grade,1405907,36696,2136,12182,20567,50564,23247,21428,3850,797,63337,41210,987,5756,39123,35090,21026,15772,35137,26722,9566,19684,34736,61666,36572,16469,59906,9212,6529,11338,7037,26513,631,67725,36989,4927,73278,18215,32317,86662,4011,15086,2524,49427,109222,17773,4137,30493,49962,18845,26831,1997
10th Grade,1954747,30974,2391,34908,20718,103858,27442,24424,4773,573,93495,90983,1583,13588,73534,69141,23483,17900,73430,27607,9329,16089,47566,80969,43948,22959,31864,7051,16998,10629,11992,39745,10542,75587,68576,5130,89395,19824,29601,119754,10730,37057,6513,85050,107302,27809,6880,49266,47051,28355,53470,2911
11th Grade,1931910,34268,2193,37242,28887,96542,23532,26074,6995,303,148329,71564,2505,18473,59952,57915,30262,23250,35954,45278,12929,22920,49608,69498,37470,23340,67347,7791,17838,17253,10401,37757,7332,68194,61282,5374,133093,33003,33776,71189,9759,36980,7543,72164,70361,28686,4565,38314,58873,22495,38813,6444
12th Grade No Diploma,874421,20230,4065,14467,22157,58949,10814,12587,2091,574,65621,31500,0,5572,28727,14452,3022,6768,25691,11638,4134,2477,6613,29923,11309,11290,25877,3396,8879,10534,6083,14291,3357,64847,26211,954,70467,13461,10280,35875,2736,16241,4941,24122,61654,14272,1193,17189,5112,6641,20271,866
High school graduate-high school diploma,20635263,391904,36386,372789,257536,1127559,261464,260707,91646,3297,1342767,577498,18870,145497,669906,694344,337964,228182,472902,319748,160976,266220,435835,827405,368627,197456,537200,109505,151096,165724,118955,549046,81247,1119688,659578,53161,1101950,287164,327049,1342942,78451,364592,61655,561470,1040000,210614,59083,486666,475538,263554,513468,48382
Some College But No Degree,14448880,264659,32473,383841,184441,1340333,307513,147356,37893,5118,884153,355207,19638,147799,561075,369018,178941,175662,280244,207661,91163,206106,320740,644332,363852,133071,365596,76847,109925,156391,88997,249036,68345,524654,429952,48815,567367,228132,248889,534630,45552,236036,50686,316119,978587,229337,35259,302375,429721,115847,325453,44043
Assc degree-occupation/vocation,3747148,72605,6405,62075,34718,207455,83881,37273,10640,630,189071,100150,4947,30257,127858,117855,76725,38449,108200,42813,27968,31009,71618,108492,148453,34657,66504,33155,41107,31759,23765,93638,12901,122856,188381,15069,173093,31112,45929,157848,11895,84127,24991,122327,237503,52785,7504,67276,102457,39523,177473,7966
Assc degree-academic program,5888651,86989,12470,102408,50375,540100,92505,55698,24292,695,403417,194881,13979,40802,219380,139697,70143,56385,108950,47006,36995,51607,112161,297251,126286,52054,122056,23324,37593,46347,60415,111747,26594,359289,252739,27899,239230,70024,83280,251070,26988,106080,28526,132587,300351,80999,15119,133580,250912,38330,111522,15524
"Bachelor's degree (BA,AB,BS)",20228416,252468,35309,393978,176194,1778195,460722,232735,51362,54524,1192838,516277,24572,142707,922139,468622,267225,200417,257182,257906,104358,333083,499287,619342,491329,133631,435725,89824,152824,141803,115548,593315,82991,1242624,590651,61049,800042,225831,393161,1002332,85425,331261,76083,468510,1382618,222122,71747,620269,510428,88776,534085,42970
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",9487205,117089,16703,166486,75137,826078,252333,151298,32909,36193,511027,228913,16876,48477,339403,178699,61395,98111,128131,94780,48503,259716,382000,351224,169717,63667,229584,29345,55355,52905,58703,278762,67657,807506,305477,16275,419158,96225,139333,441424,51788,144936,19251,174011,509961,90105,40887,330101,250379,47544,157833,17835
"Professional school degree (MD,DDS,DVM,L",965296,7299,1808,17087,13438,97660,39934,10176,3510,14489,50223,20323,4422,1251,42546,6927,6256,2955,12714,10931,6845,25333,63557,28271,19694,5076,20946,2108,2533,6825,7350,35267,5393,49771,4196,763,48155,3593,15030,31806,2620,36680,664,26630,61448,7995,2529,47604,23213,3060,5928,464
"Doctorate degree (PHD,EDD)",1392306,19498,3548,32851,18585,178780,42144,26065,1943,8380,92641,45947,4391,5352,50232,36187,6882,16875,8604,6241,12193,30051,62011,20925,43586,6208,27386,4850,9474,7929,6044,17028,8987,109801,29180,2588,23581,13248,27561,71575,5169,13458,826,40497,59702,9980,4907,64584,28467,7005,15937,2422
 -> Total -> Total Female -> Total Non-Hispanic -> Total Black Only,21362861,699846,10459,179538,239043,1101222,113320,170647,114595,165181,1799129,1787088,8344,6842,946111,330625,56163,68622,184382,790700,10424,911911,277176,708643,187564,590779,373793,2524,46317,150898,8892,618365,21184,1400137,1172074,10951,767707,131627,39680,707689,28874,727491,6580,597036,1863370,10049,3532,856557,146328,26716,184020,2116
Children,4126543,129410,4044,29324,50164,196246,17490,16943,18046,28130,381401,349119,3017,1650,171396,80416,20163,11526,47431,172008,933,153262,57644,136525,57064,119031,74444,988,15702,28586,0,107163,5627,197018,215179,3522,147989,31193,12680,136875,9140,138975,4095,117890,378726,4803,645,147213,33570,7158,54431,548
Less Than 1st Grade,47763,0,0,2010,0,1916,0,0,528,210,9157,0,0,0,0,0,1458,0,0,3152,678,0,4079,4663,3740,845,0,0,4112,0,0,0,0,2034,0,0,4096,0,0,0,1380,1145,0,1815,0,745,0,0,0,0,0,0
"1st,2nd,3rd,or 4th grade",59766,3279,0,0,0,12439,0,0,0,261,4633,5787,0,0,3608,0,2636,0,2210,3538,0,0,1330,0,0,644,0,0,0,0,0,0,0,4776,2481,0,0,0,0,0,0,1453,0,0,0,0,0,10691,0,0,0,0
5th Or 6th Grade,101471,6194,0,2608,621,4370,0,2558,0,463,4648,6716,0,0,2913,2513,0,0,1416,1786,0,4516,0,11163,3392,2977,0,0,0,0,0,4556,0,13048,5626,0,0,0,0,0,0,1334,0,0,7571,0,0,4355,0,0,6127,0
7th and 8th grade,264337,12690,0,4724,5190,7074,0,0,2877,731,25976,31897,0,0,16949,4783,3132,0,0,5595,925,6049,3297,0,9253,8603,6950,0,1007,2374,0,6662,0,19096,10879,244,6599,1531,0,10212,1160,7436,0,7819,17972,0,225,5233,4661,0,4532,0
9th Grade,386535,9736,0,6572,4964,17054,0,3114,1416,1207,31330,37450,0,1486,17488,15820,0,0,0,9353,0,20662,7079,7671,3861,14285,8902,842,2564,0,0,5739,0,25799,26556,234,13914,1590,0,8668,0,5794,0,7633,32556,0,266,26912,3387,2795,1836,0
10th Grade,501928,21055,0,2951,995,9263,0,1623,2785,3424,36951,23857,0,0,24034,10377,959,0,2084,23488,0,20294,0,6003,2896,21437,8332,0,2496,1438,841,43088,645,50271,34756,0,15274,0,0,18448,1291,14358,594,15599,39241,0,536,20658,8567,0,11019,0
11th Grade,721876,17540,425,5886,9763,24048,3702,4570,5346,6749,66332,62182,0,536,36690,8442,3069,1643,3354,43379,1086,26405,4116,22379,3174,25355,10380,0,3528,11447,0,8286,981,22657,34969,877,52937,6710,0,32919,755,28508,0,9439,63178,1324,224,35677,0,0,10909,0
12th Grade No Diploma,342301,10271,0,2036,5468,21203,0,0,1386,4984,26161,61087,0,0,21224,0,0,0,0,20718,0,7118,0,10512,0,10587,1955,0,851,8712,841,4543,0,29387,15895,0,6838,0,0,9197,0,19860,0,2276,34973,0,0,4218,0,0,0,0
High school graduate-high school diploma,5005985,179887,510,31527,61816,187278,26057,46989,34332,38569,441085,386012,0,1348,178610,89761,9103,14993,55277,194075,1598,171460,55009,208428,32768,146617,81324,370,4374,33381,1976,180171,4715,362217,248588,2514,194923,32919,5790,160267,4623,186514,514,190875,443606,0,167,217442,21891,5254,28163,298
Some College But No Degree,3380379,131942,2499,30902,33408,221624,30943,29226,16125,24271,227591,222084,850,718,152276,57393,2988,18793,24746,127722,5204,127588,41761,146422,19745,101305,57476,324,3324,27913,1946,62857,2858,191840,195552,1203,151322,20696,7460,125832,4822,99542,837,112573,336514,1992,490,121158,23011,3981,26274,456
Assc degree-occupation/vocation,713506,20042,0,10890,3195,51386,0,8704,2637,1121,96787,51477,0,0,28672,7470,2329,2032,4060,35295,0,34342,10993,8355,11341,14770,28692,0,1239,5236,662,2133,0,32103,59391,393,36490,1801,0,25242,0,11502,0,13775,63239,0,0,19835,3139,0,2736,0
Assc degree-academic program,1065998,26994,0,12412,4866,46466,4226,2299,5589,6093,83089,128467,0,0,59817,13622,2177,6123,2036,30390,0,39424,14200,35208,0,35190,24676,0,676,3369,1272,13128,772,114256,58526,766,25219,7007,4643,34024,0,43064,0,20739,84206,0,0,58548,8312,1201,2448,458
"Bachelor's degree (BA,AB,BS)",2908285,78714,756,24690,44994,180364,21395,38668,16620,23642,259298,284469,949,0,159208,24985,7030,7118,24580,70453,0,202628,47012,63687,27982,56962,28907,0,3023,17813,1354,106970,2919,229511,143443,1198,64647,11447,4323,84240,2885,94661,540,46636,239916,1185,979,114239,17190,3168,20887,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1424820,46100,2225,11321,12069,101485,9507,14082,6908,18842,92739,107902,1950,730,62672,15043,1119,6394,12815,42469,0,77633,24180,43868,8301,25205,36913,0,3421,9815,0,46034,2284,95176,110822,0,40443,10221,4784,49223,2154,60993,0,33109,99567,0,0,43469,16476,2543,11814,0
"Professional school degree (MD,DDS,DVM,L",133345,1306,0,0,0,13052,0,1871,0,4517,11951,11932,0,0,5254,0,0,0,0,3949,0,7744,1461,3759,0,2974,0,0,0,0,0,4310,383,2513,2649,0,2742,4335,0,5648,664,0,0,5644,14232,0,0,10871,6124,616,2844,0
"Doctorate degree (PHD,EDD)",178023,4686,0,1685,1530,5954,0,0,0,1967,0,16650,1578,374,5300,0,0,0,4373,3330,0,12786,5015,0,4047,3992,4842,0,0,814,0,22725,0,8435,6762,0,4274,2177,0,6894,0,12352,0,11214,7873,0,0,16038,0,0,0,356
 -> Total -> Total Female -> Total Non-Hispanic -> Total Asian Only,10083049,37246,22461,129098,21555,2943612,71709,106333,17902,17458,292126,277785,271655,9751,406739,79505,56650,32314,38647,27550,8469,303789,260331,183231,137976,10389,55251,4933,24363,146098,23362,564886,12790,984104,186957,5131,160586,50925,105717,235180,19434,26365,9480,38377,972490,35684,3635,273337,293514,4719,79539,1911
Children,1526966,9675,2951,23751,4372,352418,15129,19081,1867,1989,38027,56162,19588,765,66657,15192,16612,5066,6083,2938,444,49791,33563,34031,19264,1038,13126,1439,2529,17645,2755,92686,554,144966,28006,165,32823,14502,20659,45552,4954,6353,3592,1576,191825,6898,696,33659,47012,0,16229,311
Less Than 1st Grade,93768,0,0,0,0,34963,4532,0,0,228,4967,0,611,0,3143,2008,2687,0,0,0,0,0,0,1849,5055,0,0,0,756,0,0,8521,571,8194,0,0,2757,1501,0,0,728,0,300,0,5428,0,0,2661,2114,0,0,194
"1st,2nd,3rd,or 4th grade",78557,0,0,2155,0,13868,0,0,0,186,7301,0,905,0,5168,0,0,0,0,0,0,0,1743,0,3461,0,0,0,0,1088,0,2013,0,14498,0,240,0,0,0,0,0,0,323,2302,5927,1789,0,7363,5257,0,2970,0
5th Or 6th Grade,114168,0,218,0,0,47503,0,1999,612,0,0,2347,4120,0,8468,0,0,1239,0,0,800,0,3501,0,2843,0,0,0,0,3496,0,4516,551,16623,0,0,0,0,2233,0,0,0,0,0,5614,0,0,5013,2241,0,0,231
7th and 8th grade,140235,0,1006,0,661,28928,0,0,0,232,2254,0,1978,0,5150,0,0,4554,3239,1088,0,4117,2750,0,1914,0,0,0,642,1114,428,4505,0,29009,6709,0,3887,0,0,2998,0,0,366,2218,9359,0,0,2462,12752,0,5661,254
9th Grade,163293,0,256,9845,0,37767,0,0,0,0,6861,12724,2804,0,0,0,1191,0,0,1918,0,2548,9228,0,0,0,0,513,2544,0,336,9830,0,13397,0,0,0,1620,1289,11899,0,0,333,0,26063,878,0,0,7635,0,1814,0
10th Grade,214279,2472,0,0,0,52989,0,1586,591,0,12708,13864,3214,0,2720,1969,4216,0,0,0,689,12310,5402,2199,2378,0,3086,0,1194,2394,776,11904,0,20564,0,317,0,4460,0,5577,0,0,0,0,31304,0,298,7269,3502,0,2327,0
11th Grade,170755,0,551,0,0,36371,0,4070,0,204,11435,0,4864,0,8764,3664,0,1033,0,2862,0,11969,4889,4053,4159,778,0,0,1281,2074,1423,5846,0,18864,4550,0,2809,1369,2273,2201,674,1859,0,0,13481,988,0,6453,2847,0,2097,0
12th Grade No Diploma,106763,0,753,0,2009,28500,0,1796,0,281,12595,9182,2482,0,2271,0,1376,0,0,731,0,2534,1828,4249,2072,764,0,692,0,1126,0,0,0,19444,0,228,0,1248,0,0,0,1387,467,0,5378,1101,0,2269,0,0,0,0
High school graduate-high school diploma,1425017,3734,5020,19595,3095,399685,8711,12922,1417,423,42822,40938,67282,1659,63849,13882,9352,2376,13156,5959,2427,34506,38749,22114,21245,1942,5561,608,4040,18400,4574,45336,2733,166448,28909,1703,25640,9275,6244,41991,4187,3353,1339,7849,118630,3604,286,40490,37861,918,7447,731
Some College But No Degree,837432,6418,3491,9813,1193,291781,9200,11148,2337,506,32632,5813,31769,1775,33288,8050,5297,4059,5196,1730,975,25219,10324,11664,27356,1702,0,974,3581,27306,318,34882,584,27519,4916,823,12856,4343,17229,14897,821,0,0,3494,86453,5383,278,24068,13454,0,10517,0
Assc degree-occupation/vocation,180101,0,272,1942,1031,56683,0,0,944,0,3254,0,13982,0,7949,1809,1534,0,0,0,848,0,0,1973,2018,0,5052,0,0,4825,1249,7341,0,19587,0,0,2481,0,3731,2643,520,0,0,0,11428,987,0,2385,21720,0,1913,0
Assc degree-academic program,341852,1081,1624,4445,0,118059,1216,5318,1411,0,8524,8922,23146,559,11018,6846,0,1247,0,0,0,9814,0,2358,4335,1030,0,0,0,2673,1021,13037,1962,36102,2068,0,2932,1715,2844,9901,1581,1424,308,0,44351,2533,270,4214,1963,0,0,0
"Bachelor's degree (BA,AB,BS)",2874005,7741,4809,33358,2591,928555,11685,40260,3785,4800,68263,90317,71315,2139,120301,23685,3682,5469,4124,7487,1555,74577,65274,45845,21745,2218,20807,0,4997,53289,8531,161950,2951,281899,67312,794,38199,8035,22070,48411,4486,7653,1623,12959,255218,9629,1298,101769,93315,1989,19241,0
"Master's degree (MA,MS,MENG,MED,MSW,MBA)",1368222,6125,1241,15738,3383,386599,19087,6414,3878,6561,19852,34995,18445,1840,62229,0,7186,6030,4132,2837,731,50410,62844,34711,20131,0,4742,707,2206,5244,1951,135387,1232,122242,34460,334,24886,1399,17915,35839,1483,4336,480,5276,132839,946,304,28793,18687,1812,9323,0
"Professional school degree (MD,DDS,DVM,L",162607,0,0,5595,0,43161,0,1739,0,1037,3043,2521,3454,0,0,0,1394,0,0,0,0,4750,7899,1904,0,0,0,0,593,2406,0,18026,1144,20234,0,209,4710,0,1156,2413,0,0,0,0,19246,0,0,2267,13706,0,0,0
"Doctorate degree (PHD,EDD)",285029,0,269,2861,3220,85782,2149,0,1060,1011,17588,0,1696,1014,5764,2400,2123,1241,2717,0,0,21244,12337,16281,0,917,2877,0,0,3018,0,9106,508,24514,10027,318,6606,1458,8074,10858,0,0,349,2703,9946,948,205,2202,9448,0,0,190
